chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr16,45222911,45223061,x,x,x,,,x,x
chr16,45223758,45224384,x,x,x,x,x,x,x
chr16,45227128,45227526,x,x,x,,,,x
chr16,45233360,45233851,x,,x,x,x,,x
chr16,45234533,45234738,,,,x,x,x,
chr16,45236822,45236972,,,,,,x,
chr16,45251973,45252235,x,x,x,x,x,x,x
chr16,45257338,45257488,,,,,,,
chr16,45259722,45259923,x,,,,,,x
chr16,45261446,45261796,x,x,x,x,x,x,x
chr16,45275754,45275939,x,,,,x,,x
chr16,45283197,45283347,,,,,x,,
chr16,45286368,45286652,,x,x,,x,x,
chr16,45306597,45306747,,,x,,,,
chr16,45310503,45310680,,x,x,,x,,
chr16,45328469,45328619,,,,,,x,
chr16,45331943,45332093,,x,,,,,
chr16,45332525,45332688,,,,,,x,x
chr16,45333865,45334015,,,,,x,,
chr16,45334415,45334827,,,,x,,,x
chr16,45345019,45345169,,,,,x,,
chr16,45346764,45347175,,x,x,x,x,x,
chr16,45349761,45349911,,,,x,,,
chr16,45352781,45353142,x,x,x,x,x,,x
chr16,45361275,45361537,,,,x,x,x,
chr16,45382222,45382372,,,,,,,
chr16,45383769,45383919,,,,x,,,
chr16,45389616,45390097,x,x,x,x,x,x,x
chr16,45407706,45407917,x,,,,,,x
chr16,45408447,45408948,x,x,x,x,x,x,x
chr16,45413542,45413825,,x,x,x,x,x,
chr16,45437378,45437669,,,x,x,,,
chr16,45451054,45451204,,,,x,,,
chr16,45464527,45464677,,,,x,,,
chr16,45513484,45513634,,,,,,,x
chr16,45565771,45566057,x,,,x,,,
chr16,45570796,45570946,,,,x,,,
