chr,start,end
chr8,72318942,72319266
chr8,72319486,72319636
chr8,72320190,72320340
chr8,72322073,72322223
chr8,72322340,72322555
chr8,72324284,72324469
chr8,72329825,72329981
chr8,72329983,72330289
chr8,72331001,72331425
chr8,72343762,72344083
chr8,72349853,72350003
chr8,72350794,72351027
chr8,72351200,72351508
chr8,72351551,72351794
chr8,72354127,72354388
chr8,72354464,72354614
chr8,72360173,72360482
chr8,72363515,72363715
chr8,72365015,72365181
chr8,72365592,72365825
chr8,72365951,72366214
chr8,72370137,72370426
chr8,72382453,72382740
chr8,72385852,72386076
chr8,72396936,72397086
chr8,72400320,72400678
chr8,72402208,72402358
chr8,72409424,72409695
chr8,72421324,72421583
chr8,72429716,72430000
chr8,72433683,72433833
chr8,72438430,72438644
