#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed MACS2_DKO_Tfh_peaks.Klf2.sig.bed MACS2_DKO_Th1_peaks.Klf2.sig.bed MACS2_Naive_peaks.Klf2.sig.bed MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed MACS2_WT_Tfh_peaks.Klf2.sig.bed MACS2_WT_Th1_peaks.Klf2.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed	MACS2_DKO_Tfh_peaks.Klf2.sig.bed	MACS2_DKO_Th1_peaks.Klf2.sig.bed	MACS2_Naive_peaks.Klf2.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed	MACS2_WT_Tfh_peaks.Klf2.sig.bed	MACS2_WT_Th1_peaks.Klf2.sig.bed
Merged-chr8-72397011-1	chr8	72396936	72397086	+	0.000000	MACS2_DKO_Tfh_peaks.Klf2.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246085					
Merged-chr8-72433758-1	chr8	72433683	72433833	+	0.000000	MACS2_DKO_Tfh_peaks.Klf2.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246091					
Merged-chr8-72351385-10	chr8	72351200	72351508	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Naive_peaks.Klf2.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292444a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292444c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246078a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246078b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246078c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201275a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201275b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201275c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352542a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352542c			
Merged-chr8-72343914-7	chr8	72343762	72344083	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Naive_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292443	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246077	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201274	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352540	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342594	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261681	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247165
Merged-chr8-72421445-9	chr8	72421324	72421583	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Naive_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	9	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292457	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246089	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201285	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352547a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352547b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352547c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342608	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261692	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247179
Merged-chr8-72429867-7	chr8	72429716	72430000	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Naive_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292458	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246090	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201286	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352548	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342609	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261693	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247180
Merged-chr8-72360291-12	chr8	72360173	72360482	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Naive_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	12	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292446	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246080a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246080b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201278a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201278b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352544	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342598a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342598b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261685a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261685b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261685c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247169
Merged-chr8-72331170-10	chr8	72331001	72331425	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Klf2.sig.bed|MACS2_DKO_Tfh_peaks.Klf2.sig.bed|MACS2_DKO_Th1_peaks.Klf2.sig.bed|MACS2_Naive_peaks.Klf2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Th1_peaks.Klf2.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_292442	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_246076	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_201273	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_352539	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342593c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342593a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342593b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261680a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261680b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_247164
Merged-chr8-72324376-2	chr8	72324284	72324469	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed	2					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342592	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261678	
Merged-chr8-72438537-2	chr8	72438430	72438644	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Klf2.sig.bed|MACS2_WT_Tfh_peaks.Klf2.sig.bed	2					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_342610	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_261694	
