#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Runx3.sig.bed MACS2_DKO_Tfh_peaks.Runx3.sig.bed MACS2_DKO_Th1_peaks.Runx3.sig.bed MACS2_Naive_peaks.Runx3.sig.bed MACS2_Prdm1KO_Tfh_peaks.Runx3.sig.bed MACS2_WT_Tfh_peaks.Runx3.sig.bed MACS2_WT_Th1_peaks.Runx3.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Runx3.sig.bed	MACS2_DKO_Tfh_peaks.Runx3.sig.bed	MACS2_DKO_Th1_peaks.Runx3.sig.bed	MACS2_Naive_peaks.Runx3.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Runx3.sig.bed	MACS2_WT_Tfh_peaks.Runx3.sig.bed	MACS2_WT_Th1_peaks.Runx3.sig.bed
Merged-chr4-135219837-3	chr4	135219731	135219929	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Th1_peaks.Runx3.sig.bed	3	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_219979				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_255445		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_185879
Merged-chr4-135067990-1	chr4	135067915	135068065	+	0.000000	MACS2_DKO_Tfh_peaks.Runx3.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_183237					
Merged-chr4-135140470-1	chr4	135140395	135140545	+	0.000000	MACS2_DKO_Tfh_peaks.Runx3.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_183251					
Merged-chr4-135174913-1	chr4	135174838	135174988	+	0.000000	MACS2_DKO_Tfh_peaks.Runx3.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_183261					
Merged-chr4-135080285-12	chr4	135080110	135080481	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx3.sig.bed|MACS2_DKO_Tfh_peaks.Runx3.sig.bed|MACS2_DKO_Th1_peaks.Runx3.sig.bed|MACS2_Naive_peaks.Runx3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Th1_peaks.Runx3.sig.bed	12	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_219949	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_183241	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_150506a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_150506b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_268179a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_268179b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_268179c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_255423a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_255423b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_194380	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_185848a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_185848b
Merged-chr4-135098553-8	chr4	135098397	135098807	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx3.sig.bed|MACS2_DKO_Tfh_peaks.Runx3.sig.bed|MACS2_DKO_Th1_peaks.Runx3.sig.bed|MACS2_Naive_peaks.Runx3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Th1_peaks.Runx3.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_219953	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_183244	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_150509a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_150509b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_268180	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_255425	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_194382	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_185851
Merged-chr4-135120422-7	chr4	135120325	135120526	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx3.sig.bed|MACS2_DKO_Tfh_peaks.Runx3.sig.bed|MACS2_DKO_Th1_peaks.Runx3.sig.bed|MACS2_Naive_peaks.Runx3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Th1_peaks.Runx3.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_219960	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_183249	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_150515	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_268181	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_255430	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_194388	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_185858
Merged-chr4-135157498-7	chr4	135157344	135157616	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx3.sig.bed|MACS2_DKO_Tfh_peaks.Runx3.sig.bed|MACS2_DKO_Th1_peaks.Runx3.sig.bed|MACS2_Naive_peaks.Runx3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Th1_peaks.Runx3.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_219969	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_183255	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_150523	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_268189	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_255437	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_194395	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_185867
Merged-chr4-135197930-10	chr4	135197712	135198125	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx3.sig.bed|MACS2_DKO_Tfh_peaks.Runx3.sig.bed|MACS2_DKO_Th1_peaks.Runx3.sig.bed|MACS2_Naive_peaks.Runx3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Th1_peaks.Runx3.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_219976	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_183263	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_150533a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_150533b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_268194	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_255442a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_255442b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_194400a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_194400b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_185876
Merged-chr4-135203498-7	chr4	135203350	135203651	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx3.sig.bed|MACS2_DKO_Tfh_peaks.Runx3.sig.bed|MACS2_DKO_Th1_peaks.Runx3.sig.bed|MACS2_Naive_peaks.Runx3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Tfh_peaks.Runx3.sig.bed|MACS2_WT_Th1_peaks.Runx3.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_219977	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_183264	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_150534	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_268195	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_255443	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_194401	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_185877b
