#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Runx2.sig.bed MACS2_DKO_Tfh_peaks.Runx2.sig.bed MACS2_DKO_Th1_peaks.Runx2.sig.bed MACS2_Naive_peaks.Runx2.sig.bed MACS2_Prdm1KO_Tfh_peaks.Runx2.sig.bed MACS2_WT_Tfh_peaks.Runx2.sig.bed MACS2_WT_Th1_peaks.Runx2.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Runx2.sig.bed	MACS2_DKO_Tfh_peaks.Runx2.sig.bed	MACS2_DKO_Th1_peaks.Runx2.sig.bed	MACS2_Naive_peaks.Runx2.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Runx2.sig.bed	MACS2_WT_Tfh_peaks.Runx2.sig.bed	MACS2_WT_Th1_peaks.Runx2.sig.bed
Merged-chr17-44418953-3	chr17	44418811	44419097	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx2.sig.bed|MACS2_WT_Tfh_peaks.Runx2.sig.bed	3	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_130512				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150018	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_114140	
Merged-chr17-44425738-1	chr17	44425663	44425813	+	0.000000	MACS2_DKO_Tfh_peaks.Runx2.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106881					
Merged-chr17-44600045-1	chr17	44599970	44600120	+	0.000000	MACS2_DKO_Tfh_peaks.Runx2.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106897					
Merged-chr17-44624254-1	chr17	44624179	44624329	+	0.000000	MACS2_DKO_Tfh_peaks.Runx2.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106901					
Merged-chr17-44670908-1	chr17	44670833	44670983	+	0.000000	MACS2_DKO_Tfh_peaks.Runx2.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106910					
Merged-chr17-44735965-15	chr17	44735835	44736152	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx2.sig.bed|MACS2_DKO_Tfh_peaks.Runx2.sig.bed|MACS2_DKO_Th1_peaks.Runx2.sig.bed|MACS2_Naive_peaks.Runx2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx2.sig.bed|MACS2_WT_Th1_peaks.Runx2.sig.bed	15	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_130564	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106922a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106922b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_89457a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_89457b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_159426a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_159426b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_159426c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150057a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150057b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150057c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150057d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150057e		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_109792a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_109792b
Merged-chr17-44702865-12	chr17	44702734	44702974	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx2.sig.bed|MACS2_DKO_Tfh_peaks.Runx2.sig.bed|MACS2_DKO_Th1_peaks.Runx2.sig.bed|MACS2_Naive_peaks.Runx2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx2.sig.bed|MACS2_WT_Tfh_peaks.Runx2.sig.bed|MACS2_WT_Th1_peaks.Runx2.sig.bed	12	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_130555a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_130555b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106916a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106916b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_89449	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_159423	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150050a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150050b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_114169	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_109784b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_109784a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_109784c
Merged-chr17-44718380-12	chr17	44718237	44718492	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx2.sig.bed|MACS2_DKO_Tfh_peaks.Runx2.sig.bed|MACS2_DKO_Th1_peaks.Runx2.sig.bed|MACS2_Naive_peaks.Runx2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx2.sig.bed|MACS2_WT_Tfh_peaks.Runx2.sig.bed|MACS2_WT_Th1_peaks.Runx2.sig.bed	12	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_130559a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_130559b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106919a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106919b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_89453a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_89453b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_159424	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150053a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150053b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_114171	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_109789a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_109789b
Merged-chr17-44662135-14	chr17	44661872	44662316	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx2.sig.bed|MACS2_DKO_Tfh_peaks.Runx2.sig.bed|MACS2_DKO_Th1_peaks.Runx2.sig.bed|MACS2_Naive_peaks.Runx2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx2.sig.bed|MACS2_WT_Tfh_peaks.Runx2.sig.bed|MACS2_WT_Th1_peaks.Runx2.sig.bed	14	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_130546a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_130546b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106907c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106907a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106907b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_89439a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_89439b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_159418	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150043a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150043b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_114161a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_114161b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_109774b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_109774a
Merged-chr17-44569429-9	chr17	44569305	44569607	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Runx2.sig.bed|MACS2_DKO_Tfh_peaks.Runx2.sig.bed|MACS2_DKO_Th1_peaks.Runx2.sig.bed|MACS2_Naive_peaks.Runx2.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Runx2.sig.bed|MACS2_WT_Tfh_peaks.Runx2.sig.bed|MACS2_WT_Th1_peaks.Runx2.sig.bed	9	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_130527	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_106895	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_89425	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_159412	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150032a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150032b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_150032c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_114150	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_109758
