#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed MACS2_DKO_Tfh_peaks.Tbx21.sig.bed MACS2_DKO_Th1_peaks.Tbx21.sig.bed MACS2_Naive_peaks.Tbx21.sig.bed MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed MACS2_WT_Tfh_peaks.Tbx21.sig.bed MACS2_WT_Th1_peaks.Tbx21.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed	MACS2_DKO_Th1_peaks.Tbx21.sig.bed	MACS2_Naive_peaks.Tbx21.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed	MACS2_WT_Tfh_peaks.Tbx21.sig.bed	MACS2_WT_Th1_peaks.Tbx21.sig.bed
Merged-chr11-97083257-4	chr11	97082974	97083533	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53590				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62182	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47174	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45646
Merged-chr11-97093609-1	chr11	97093534	97093684	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44936					
Merged-chr11-97129043-1	chr11	97128968	97129118	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44948					
Merged-chr11-97115153-3	chr11	97115037	97115312	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	3		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44943					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45659b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45659c
Merged-chr11-97101974-7	chr11	97101850	97102070	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Naive_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53600	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44938	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37674	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_63080	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62185	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47176	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45655
Merged-chr11-97127197-9	chr11	97127064	97127319	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Naive_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	9	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53608	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44947a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44947b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37683	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_63083a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_63083b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62192	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47183	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45664
Merged-chr11-97141033-7	chr11	97140900	97141162	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Naive_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53611	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44952	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37687	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_63084	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62194	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47185	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45667
Merged-chr11-97142372-8	chr11	97142236	97142511	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Naive_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53612	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44953a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44953b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37688	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_63085	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62195	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47186	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45668
Merged-chr11-97090296-1	chr11	97090221	97090371	+	0.000000	MACS2_WT_Th1_peaks.Tbx21.sig.bed	1							/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45650
Merged-chr11-97146025-1	chr11	97145950	97146100	+	0.000000	MACS2_WT_Tfh_peaks.Tbx21.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47188	
Merged-chr11-97104209-3	chr11	97104069	97104319	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	3					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62186	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47177	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45656
