chr,start,end
chr17,44418811,44419097
chr17,44421625,44421775
chr17,44425432,44425637
chr17,44425663,44425813
chr17,44430402,44430655
chr17,44431181,44431331
chr17,44432870,44433118
chr17,44433969,44434119
chr17,44434122,44434272
chr17,44436725,44436953
chr17,44447358,44447508
chr17,44455670,44455820
chr17,44456163,44456391
chr17,44457868,44458112
chr17,44459025,44459325
chr17,44460296,44460446
chr17,44463783,44464003
chr17,44468383,44468533
chr17,44475976,44476126
chr17,44528150,44528430
chr17,44536462,44536804
chr17,44541132,44541282
chr17,44545404,44545554
chr17,44556023,44556252
chr17,44557210,44557479
chr17,44566818,44567336
chr17,44569305,44569607
chr17,44591098,44591262
chr17,44599385,44599568
chr17,44599611,44599771
chr17,44599970,44600120
chr17,44602043,44602390
chr17,44602391,44602541
chr17,44609270,44609624
chr17,44610976,44611126
chr17,44611675,44611881
chr17,44612056,44612341
chr17,44612427,44612610
chr17,44613909,44614226
chr17,44614416,44614566
chr17,44620576,44620762
chr17,44623942,44624092
chr17,44624179,44624329
chr17,44624474,44624624
chr17,44626001,44626151
chr17,44626176,44626337
chr17,44626372,44626666
chr17,44630007,44630223
chr17,44630233,44630383
chr17,44633704,44633983
chr17,44650250,44650529
chr17,44654642,44654913
chr17,44660225,44660525
chr17,44661872,44662316
chr17,44664001,44664151
chr17,44665617,44665884
chr17,44668364,44668519
chr17,44670833,44670983
chr17,44671150,44671549
chr17,44671857,44672119
chr17,44672354,44672827
chr17,44674816,44675217
chr17,44676470,44676620
chr17,44677946,44678236
chr17,44690557,44691025
chr17,44696133,44696283
chr17,44697361,44697511
chr17,44702734,44702974
chr17,44708377,44708719
chr17,44713799,44714103
chr17,44714106,44714312
chr17,44718237,44718492
chr17,44720098,44720248
chr17,44722279,44722464
chr17,44727807,44727957
chr17,44728451,44728697
chr17,44734589,44734739
chr17,44735531,44735681
chr17,44735835,44736152
chr17,44737939,44738415
chr17,44745472,44745666
chr17,44760668,44760889
chr17,44766275,44766617
chr17,44767482,44767665
chr17,44768625,44768775
chr17,44772658,44773188
chr17,44777157,44777403
chr17,44792075,44792256
chr17,44814728,44814878
chr17,44818954,44819215
chr17,44890175,44890349
chr17,44893576,44893804
chr17,44942462,44942612
chr17,44959616,44959766
chr17,44973602,44973752
chr17,45011650,45011800
