chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr4,135219731,135219929,x,,,,x,,x
chr4,135067915,135068065,,x,,,,,
chr4,135140395,135140545,,x,,,,,
chr4,135174838,135174988,,x,,,,,
chr4,135080110,135080481,x,x,x,x,x,x,x
chr4,135098397,135098807,x,x,x,x,x,x,x
chr4,135120325,135120526,x,x,x,x,x,x,x
chr4,135157344,135157616,x,x,x,x,x,x,x
chr4,135197712,135198125,x,x,x,x,x,x,x
chr4,135203350,135203651,x,x,x,x,x,x,x
chr4,135206151,135206441,x,x,x,x,x,x,x
chr4,135152474,135152789,x,x,x,x,x,x,x
chr4,135155433,135155798,x,x,x,x,x,x,x
chr4,135127540,135127690,,,,,,,x
chr4,135153609,135153759,,,,,,,x
chr4,135074256,135074406,,,,,,x,
chr4,135085767,135085917,,,,,,x,
chr4,135074674,135074924,,,,,x,x,x
chr4,135158825,135159124,,x,x,x,x,x,
chr4,135085432,135085708,x,x,x,,,,x
chr4,135086117,135086449,x,x,x,,x,,
chr4,135077167,135077457,x,x,x,,x,,x
chr4,135153861,135154152,x,x,x,,x,x,
chr4,135072740,135072966,x,x,x,,x,x,x
chr4,135073564,135073786,x,x,x,,x,x,x
chr4,135102893,135103166,x,x,x,,x,x,x
chr4,135103933,135104267,x,x,x,,x,x,x
chr4,135108717,135109001,x,x,x,,x,x,x
chr4,135168118,135168413,x,x,x,,x,x,x
chr4,135169147,135169443,x,x,x,,x,x,x
chr4,135136629,135136929,x,,x,,,,x
chr4,135067377,135067602,x,,x,,,,x
chr4,135114503,135114878,,x,x,,x,x,
chr4,135179181,135179396,x,x,,x,x,x,x
chr4,135141144,135141294,,,x,,,,
chr4,135186331,135186481,,,x,,,,
chr4,135190846,135190996,,,x,,,,
chr4,135179019,135179169,,,x,,,,
chr4,135128715,135128947,,,x,,,,x
chr4,135161563,135161721,,,x,,,,x
chr4,135150475,135150709,x,,,x,x,x,x
chr4,135066902,135067199,,x,,x,x,x,
chr4,135128985,135129160,,x,,x,x,x,
chr4,135154340,135154490,,,,x,,,
chr4,135140884,135141052,,,,x,,,x
chr4,135185648,135185815,,,,x,,,x
chr4,135127713,135127863,x,,,,,,
chr4,135187392,135187542,x,,,,,,
chr4,135188098,135188248,x,,,,,,
chr4,135140733,135140883,x,,,,,,
chr4,135118977,135119216,x,,,,,,x
chr4,135114903,135115075,x,,,,,,x
chr4,135159371,135159557,x,,,,,,x
chr4,135221623,135221873,x,,,,,x,x
