Motif	Num	Protection_Score_WT-Tfh	Protection_Score_WT-Th1	Protection_Diff_WT-Tfh_WT-Th1	TC_WT-Tfh	TC_WT-Th1	TC_Diff_WT-Tfh_WT-Th1	TF_Activity	Z_score	P_values
MA0740.1.KLF14	222	0.21080647230361	0.29511228570581377	0.08430581340220378	0.4577666673615504	0.5745236199838066	0.11675695262225622	0.20106276602446	1.764285872301072	0.07768386131915805
MA0496.2.MAFK	194	-0.06138967739152444	-0.07651722090128507	-0.01512754350976063	0.47140669331982593	0.5235859009886688	0.05217920766884282	0.03705166415908219	0.34901861316887256	0.727075335905468
MA0591.1.Bach1::Mafk	294	0.03433390462514715	0.11441611118078075	0.08008220655563361	0.43319413471823187	0.44250843274104373	0.009314298022811862	0.08939650457844547	0.8007071756347961	0.42330118746282674
MA0690.1.TBX21	174	0.054297914107163434	0.20474952903240418	0.15045161492524073	0.3727541192921234	0.35928316408254796	-0.01347095520957542	0.1369806597156653	1.211315336016838	0.2257745733230685
MA0659.1.MAFG	106	0.00903858979450627	0.04411289971016554	0.03507430991565927	0.4663661262026506	0.5634897784405649	0.0971236522379143	0.13219796215357357	1.1700449878942107	0.24198286497135424
MA0002.2.RUNX1	592	0.11288313115824682	0.10888775365233627	-0.003995377505910544	0.4231680027120698	0.4600782260947087	0.03691022338263894	0.032914845876728396	0.31332161823739263	0.7540363274413855
MA0741.1.KLF16	920	0.08695712855562517	0.07950596691551085	-0.0074511616401143205	0.40065914913365935	0.428636711323156	0.027977562189496652	0.02052640054938233	0.20642055566338816	0.8364624154745189
MA0501.1.MAF::NFE2	296	0.00028899931172102645	0.0	-0.00028899931172102645	0.4538687577787073	0.4490429285946811	-0.004825829184026187	-0.005114828495747213	-0.014840026935880147	0.9881598062147653
MA1107.1.KLF9	766	-0.10488235247568825	-0.1460694767538208	-0.041187124278132536	0.40335698637049067	0.47021476210018376	0.06685777572969309	0.025670651451560556	0.25081078164083465	0.8019604054238471
MA0140.2.GATA1::TAL1	94	-0.05770726682005655	-0.140036569703913	-0.08232930288385645	0.41159684511269334	0.40327471166099577	-0.008322133451697578	-0.09065143633555403	-0.7529434794221289	0.4514838790077914
MA1421.1.TCF7L1	688	0.3163357138473037	0.17873818187079044	-0.13759753197651325	0.44959306792554304	0.36496961379871534	-0.0846234541268277	-0.22222098610334096	-1.8882695272768248	0.058989776043100385
MA0768.1.LEF1	852	0.3313316052689367	0.18452755199973003	-0.14680405326920665	0.41763652497178433	0.32141100357288127	-0.09622552139890306	-0.2430295746681097	-2.0678287996036615	0.03865612453367758
MA0463.1.Bcl6	142	0.13948365480552438	0.016283743353775706	-0.12319991145174868	0.3351909661159202	0.31709276347789006	-0.018098202638030136	-0.14129811408977883	-1.1899784361667527	0.23405486762549643
MA0482.1.Gata4	184	-0.019526301322370897	-0.05082573227475566	-0.031299430952384764	0.3420870965003437	0.32692792451919955	-0.015159171981144137	-0.0464586029335289	-0.37159935398903843	0.7101911701487322
MA0731.1.BCL6B	70	0.13793937148446328	0.15507034643012224	0.01713097494565896	0.37453305584052327	0.39675188969579755	0.02221883385527429	0.03934980880093325	0.36884951992682835	0.7122398915204806
MA1104.1.GATA6	148	0.09508077355622949	0.1316432254864169	0.03656245193018742	0.37093983997627245	0.3584376941967543	-0.012502145779518137	0.024060306150669286	0.23691496023406497	0.8127227637614707
MA0036.3.GATA2	184	0.006508767107456981	0.05082573227475571	0.04431696516729873	0.3174565514989672	0.29473192493913836	-0.02272462655982882	0.02159233860746991	0.2156186356513671	0.8292850283285756
MA0769.1.Tcf7	938	0.2717205251923287	0.14145859803770655	-0.13026192715462215	0.4302252396126676	0.3309795158620072	-0.09924572375066043	-0.22950765090528258	-1.9511468447581968	0.05103958005188828
MA0523.1.TCF7L2	1072	0.3704728960997024	0.22193013900027636	-0.14854275709942605	0.43036384750407897	0.3192624779443691	-0.11110136955970984	-0.2596441266591359	-2.2111973349687224	0.027022174862736066
MA0766.1.GATA5	108	-0.050692620011516726	-0.05743346164078601	-0.006740841629269287	0.30848133709404724	0.24852733879394703	-0.0599539983001002	-0.06669483992936949	-0.546219750672677	0.5849148912361917
MA0035.3.Gata1	214	0.012871543176989641	0.04994357670790417	0.037072033530914525	0.3682969699887393	0.3450871147202394	-0.02320985526849989	0.013862178262414634	0.14891435332065833	0.8816212151880631
MA0511.2.RUNX2	350	0.03892242730259271	0.04294255747295689	0.004020130170364178	0.43417040931582584	0.4712746874520571	0.03710427813623124	0.04112440830659542	0.384162706350619	0.7008578574878224
MA0495.2.MAFF	174	0.051621256369486265	0.0825396538911879	0.03091839752170164	0.45988803730060185	0.4843606046172809	0.024472567316679072	0.05539096483838071	0.5072701675550889	0.6119652675946659
MA0684.1.RUNX3	356	0.2014711256707718	0.14072935501437175	-0.060741770656400046	0.43592160432024013	0.4656594364873456	0.02973783216710546	-0.031003938489294586	-0.23823959760649466	0.8116952666692416
MA0037.3.GATA3	90	-0.058930170763388245	-0.005301550305303326	0.05362862045808492	0.31681245906809	0.2468929230262497	-0.06991953604184031	-0.016290915583755394	-0.11127953597503655	0.9113946825344736
MA0508.2.PRDM1	330	0.11774513102675026	0.1900525457931464	0.07230741476639614	0.4081157036490021	0.41051561852397994	0.0023999148749778154	0.07470732964137396	0.6739529003713658	0.5003412583593446
MA0089.1.MAFG::NFE2L1	512	-0.04350704013390798	-0.1696081914079463	-0.12610115127403831	0.44602213214752984	0.4609194598064463	0.014897327658916437	-0.11120382361512188	-0.9302919667071696	0.3522199360126338
MA0493.1.Klf1	428	-0.009513749304731346	0.017948472879403	0.027462222184134345	0.44202116351735493	0.5014893680949916	0.05946820457763663	0.08693042676177097	0.7794271576804236	0.4357281312451413
MA0742.1.Klf12	186	-0.06116841346147745	-0.1475028109136812	-0.08633439745220375	0.479066029368073	0.5604279309469312	0.0813619015788582	-0.004972495873345556	-0.013611825319645443	0.9891396701043694
MA0599.1.KLF5	860	0.18598591778062584	0.24855640501143	0.06257048723080416	0.44205821723224886	0.5272876877254913	0.08522947049324242	0.14779995772404658	1.3046760784538023	0.1920031703924121
MA0039.3.KLF4	280	-0.34131974711504376	-0.39244726135007835	-0.05112751423503459	0.39451448147943113	0.39075216039719834	-0.003762321082232789	-0.05488983531726738	-0.4443532530307904	0.6567872053994499
MA0117.2.Mafb	198	0.2116992937980955	0.28523216931838524	0.07353287552028975	0.3891554667550784	0.37450008553960834	-0.014655381215470054	0.0588774943048197	0.5373557589920694	0.5910218966476933
MA0657.1.KLF13	100	0.023247784633222912	0.08448176339451	0.06123397876128708	0.4386012741184974	0.5488147493917848	0.11021347527328734	0.17144745403457443	1.508732553339326	0.13136714293539148
