Motif	Num	Protection_Score_DKO	Protection_Score_Bcl6KO	Protection_Diff_DKO_Bcl6KO	TC_DKO	TC_Bcl6KO	TC_Diff_DKO_Bcl6KO	TF_Activity	Z_score	P_values
MA0740.1.KLF14	30	-0.021739970502200348	0.14153299226471788	0.16327296276691822	0.7551636455906827	0.715990431456808	-0.039173214133874756	0.12409974863304346	0.5914576845884164	0.554213799745664
MA0496.2.MAFK	28	0.0560753207398018	0.005616388581933486	-0.050458932157868314	0.6949026285524673	0.7190520348770693	0.02414940632460194	-0.026309525833266373	0.002078143789985116	0.998341882348323
MA0591.1.Bach1::Mafk	34	0.4334292438358805	0.16056263828350403	-0.27286660555237646	0.9456405891437693	0.8641032307622963	-0.08153735838147291	-0.3544039639338494	-1.2835616543698973	0.19929537396249064
MA0690.1.TBX21	56	0.577575803619959	0.19376540607669768	-0.3838103975432613	0.7802690048700068	0.8518973487287345	0.07162834385872763	-0.31218205368453367	-1.1181148748234127	0.2635179342771006
MA0659.1.MAFG	18	0.05495381432500537	0.06290355211765268	0.007949737792647307	0.6036196748079999	0.6050098589093653	0.001390184101365377	0.009339921894012684	0.14177069403845852	0.8872611329880176
MA0002.2.RUNX1	116	0.15836444029619906	0.2635441924929234	0.10517975219672432	0.753481336988231	0.7659092553272645	0.01242791833903345	0.11760767053575777	0.566018442085702	0.571381243811806
MA0741.1.KLF16	122	0.13667669979661828	0.17517608058993756	0.03849938079331927	0.7950657978356377	0.7729972744052336	-0.022068523430404108	0.016430857362915163	0.1695565623322994	0.8653588860289472
MA0501.1.MAF::NFE2	24	-0.1934598565523168	0.01684916574579961	0.2103090222981164	0.8654592647728447	0.8088052492546943	-0.056654015518150413	0.153655006779966	0.7072701206008913	0.4793986300601859
MA0731.1.BCL6B	4	1.0156642468996608	0.7297794913649518	-0.28588475553470905	0.5452715427589863	0.7922770762644527	0.2470055335054664	-0.038879222029242655	-0.04717627750981099	0.9623727342705624
MA0140.2.GATA1::TAL1	4	0.24937024987817724	0.39545983132788803	0.1460895814497108	0.8841515325826457	0.8294761431907641	-0.054675389391881546	0.09141419205782925	0.4633791575601121	0.6430926155633702
MA1421.1.TCF7L1	14	0.8441884649555624	0.32166589151072267	-0.5225225734448398	0.6675633421404964	0.7028509139676475	0.03528757182715114	-0.4872350016176886	-1.80406078098071	0.0712217790671336
MA0768.1.LEF1	10	0.4844907711918882	0.4650369745840729	-0.01945379660781532	0.86609237323281	0.7403849541589808	-0.1257074190738292	-0.14516121568164453	-0.4636428340852516	0.6429036602609863
MA0463.1.Bcl6	16	0.5299117809911271	0.4014637761354981	-0.12844800485562902	0.5809193321025735	0.5591310055377565	-0.021788326564816995	-0.150236331420446	-0.4835297020609608	0.6287196754035578
MA0495.2.MAFF	22	-0.05780855792630462	0.04181656589639404	0.09962512382269867	0.6394625666909759	0.6301077408148936	-0.009354825876082273	0.0902702979466164	0.45889680241026615	0.6463082751034785
MA0482.1.Gata4	14	-0.5248650021245452	-0.5560224696113922	-0.031157467486847	0.4589912569186301	0.5868830468721201	0.12789178995349004	0.09673432246664304	0.4842261168215025	0.6282254038254325
MA1107.1.KLF9	158	-0.2548942744007959	-0.20229662923912745	0.05259764516166843	0.6558365932977539	0.6502970234409071	-0.005539569856846782	0.047058075304821645	0.28956947849444453	0.7721456196512382
MA1104.1.GATA6	12	-0.6672963168036417	-0.019657360036766353	0.6476389567668753	0.5725051629147639	0.7829484678473754	0.21044330493261143	0.8580822616994868	3.467572060115676	0.0005251829109345578
MA0036.3.GATA2	12	-0.21196471239645093	-0.18871065635295736	0.023254056043493565	0.5106986053060687	0.7287707584156964	0.2180721531096277	0.24132620915312125	1.0508101927093472	0.29334577352113544
MA0769.1.Tcf7	10	-0.025692692411690754	-0.012866635660428923	0.012826056751261831	0.8119706443123302	0.7473541073025843	-0.0646165370097459	-0.05179048025848407	-0.09776911145094373	0.922115635334534
MA0766.1.GATA5	14	0.4037423093265734	-0.14442142067828392	-0.5481637300048573	0.5323959467544709	0.6641888756168113	0.1317929288623404	-0.4163708011425169	-1.526379035069092	0.12691549572744731
MA0035.3.Gata1	8	-0.3532745206607517	-0.3715241046948846	-0.018249584034132904	0.5578018747275026	0.6918356135045088	0.1340337387770062	0.11578415474287329	0.5588729857668518	0.5762484070846965
MA0511.2.RUNX2	54	0.2093478640952604	0.12122038689339287	-0.08812747720186753	0.8605614673811668	0.7894341186987495	-0.07112734868241732	-0.15925482588428486	-0.5188687205134507	0.6038522917521141
