"","seqnames","start","end","width","strand","V4","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr15",101135444,101135688,245,"*","Merged-chr15-101135569-5","Exon (uc007xsm.2/11482, exon 4 of 11)",15,101128522,101145336,16815,1,"11482","uc007xsq.2",6922,"ENSMUSG00000000530","Acvrl1","activin A receptor, type II-like 1"
"2","chr15",74769031,74769544,514,"*","Merged-chr15-74769291-9","Downstream (1-2kb)",15,74762056,74763567,1512,2,"17068","uc007wfx.1",-5464,"ENSMUSG00000034634","Ly6d","lymphocyte antigen 6 complex, locus D"
"3","chr7",28808916,28809598,683,"*","Merged-chr7-28809284-68","Promoter (1-2kb)",7,28810890,28822266,11377,1,"15388","uc009fzz.2",-1292,"ENSMUSG00000015165","Hnrnpl","heterogeneous nuclear ribonucleoprotein L"
"4","chr18",5592475,5593523,1049,"*","Merged-chr18-5592886-93","Promoter (<=1kb)",18,5566664,5592437,25774,2,"791318","uc008dyw.1",-38,"ENSMUSG00000063087","Gm10125","predicted gene 10125"
"5","chr7",24445455,24445987,533,"*","Merged-chr7-24445764-20","Promoter (<=1kb)",7,24431926,24445682,13757,2,"210145","uc009fpp.1",0,"ENSMUSG00000062028","Irgc1","immunity-related GTPase family, cinema 1"
"6","chr6",82872124,82872675,552,"*","Merged-chr6-82872396-48","Distal Intergenic",6,82877866,82881853,3988,2,"69652","uc009clm.1",9178,"ENSMUSG00000100291","2310069B03Rik","RIKEN cDNA 2310069B03 gene"
"7","chr14",121696461,121696659,199,"*","Merged-chr14-121696559-1","Promoter (1-2kb)",14,121542039,121698417,156379,2,"105445","uc007vah.2",1758,"ENSMUSG00000025558","Dock9","dedicator of cytokinesis 9"
"8","chr8",95020452,95020960,509,"*","Merged-chr8-95020727-36","Promoter (2-3kb)",8,95017692,95045250,27559,1,"54672","uc009mxp.3",2760,"ENSMUSG00000060470","Adgrg3","adhesion G protein-coupled receptor G3"
"9","chr13",111807417,111807803,387,"*","Merged-chr13-111807584-21","Promoter (1-2kb)",13,111746433,111808983,62551,2,"26401","uc007rwa.2",1180,"ENSMUSG00000021754","Map3k1","mitogen-activated protein kinase kinase kinase 1"
"10","chr1",106759746,106759944,199,"*","Merged-chr1-106759844-2","Promoter (<=1kb)",1,106731202,106759742,28541,2,"70750","uc057avg.1",-4,"ENSMUSG00000009905","Kdsr","3-ketodihydrosphingosine reductase"
"11","chr14",122035784,122036212,429,"*","Merged-chr14-122036030-34","Promoter (1-2kb)",14,122034674,122038422,3749,1,"223262","uc007var.1",1110,"ENSMUSG00000071229","Timm8a2","translocase of inner mitochondrial membrane 8A2"
"12","chr11",99163002,99163593,592,"*","Merged-chr11-99163230-42","Distal Intergenic",11,99144199,99155077,10879,2,"12775","uc056yok.1",-7925,"ENSMUSG00000037944","Ccr7","chemokine (C-C motif) receptor 7"
