"","seqnames","start","end","width","strand","V4","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr15",74769031,74769544,514,"*","Merged-chr15-74769291-9","Downstream (1-2kb)",15,74762056,74763567,1512,2,"17068","uc007wfx.1",-5464,"ENSMUSG00000034634","Ly6d","lymphocyte antigen 6 complex, locus D"
"2","chr6",108170118,108170573,456,"*","Merged-chr6-108170388-8","Intron (uc009ddf.2/58911, intron 3 of 8)",6,108107021,108185583,78563,2,"58911","uc009ddf.2",15010,"ENSMUSG00000030101","Sumf1","sulfatase modifying factor 1"
"3","chr17",5885479,5885788,310,"*","Merged-chr17-5885650-6","Intron (uc008afj.1/66616, intron 1 of 17)",17,5841380,5930711,89332,1,"66616","uc008afj.1",44099,"ENSMUSG00000002365","Snx9","sorting nexin 9"
"4","chr6",65818205,65818829,625,"*","Merged-chr6-65818480-32","Intron (uc009cej.1/70779, intron 2 of 2)",6,65778962,65936377,157416,1,"70779","uc012emx.1",39243,"ENSMUSG00000029913","Prdm5","PR domain containing 5"
"5","chr16",45942157,45942650,494,"*","Merged-chr16-45942365-39","Promoter (2-3kb)",16,45945606,45957292,11687,1,"100503378","uc007zjd.1",-2956,"ENSMUSG00000085826","Gm15638","predicted gene 15638"
"6","chr19",21173960,21174636,677,"*","Merged-chr19-21174384-14","Intron (uc008gyv.1/uc008gyv.1, intron 4 of 5)",19,21104710,21105538,829,1,"75354","uc008gys.2",69250,NA,"4930554I06Rik","RIKEN cDNA 4930554I06 gene"
"7","chr2",178664601,178665336,736,"*","Merged-chr2-178664985-9","Distal Intergenic",2,178430515,178487366,56852,1,"381409","uc008ohs.2",234086,"ENSMUSG00000039155","Cdh26","cadherin-like 26"
"8","chr10",100701688,100702341,654,"*","Merged-chr10-100702034-18","Distal Intergenic",10,100592386,100618391,26006,1,"66605","uc007gxz.1",109302,"ENSMUSG00000056912","1700017N19Rik","RIKEN cDNA 1700017N19 gene"
"9","chr3",81925798,81926201,404,"*","Merged-chr3-81925986-23","Distal Intergenic",3,81932601,81943001,10401,1,"229445","uc008pom.2",-6400,"ENSMUSG00000028015","Ctso","cathepsin O"
"10","chr2",62352022,62352520,499,"*","Merged-chr2-62352277-29","Exon (uc008jvg.2/13482, exon 20 of 26)",2,62317455,62326743,9289,1,"94229","uc033hnc.1",34567,"ENSMUSG00000026904","Slc4a10","solute carrier family 4, sodium bicarbonate cotransporter-like, member 10"
