"","seqnames","start","end","width","strand","V4","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr8",10438763,10439226,464,"*","Merged-chr8-10438986-14","Exon (uc009kus.3/244281, exon 18 of 35)",8,10272534,10634742,362209,1,"244281","uc012fzh.2",166229,"ENSMUSG00000039057","Myo16","myosin XVI"
"2","chr17",88757912,88758454,543,"*","Merged-chr17-88758216-29","Exon (uc012ayp.1/16867, exon 5 of 7)",17,88716483,88774056,57574,2,"16867","uc012ayp.1",15602,"ENSMUSG00000024107","Lhcgr","luteinizing hormone/choriogonadotropin receptor"
"3","chr5",144165713,144166238,526,"*","Merged-chr5-144166019-31","Intron (uc009alg.1/231876, intron 8 of 13)",5,144190286,144194441,4156,1,"17341","uc009alh.1",-24048,"ENSMUSG00000052271","Bhlha15","basic helix-loop-helix family, member a15"
"4","chr2",65792273,65792836,564,"*","Merged-chr2-65792584-31","Distal Intergenic",2,65845767,65878818,33052,1,"77771","uc012bwe.1",-52931,"ENSMUSG00000044647","Csrnp3","cysteine-serine-rich nuclear protein 3"
"5","chr6",134348338,134349202,865,"*","Merged-chr6-134348726-53","Intron (uc009ekg.1/74064, intron 3 of 8)",6,134396329,134438724,42396,1,"66813","uc009ekh.1",-47127,"ENSMUSG00000030200","Bcl2l14","BCL2-like 14 (apoptosis facilitator)"
"6","chr6",142977989,142978325,337,"*","Merged-chr6-142978155-9","Distal Intergenic",6,142821541,142964452,142912,2,"20449","uc009epv.1",-13537,"ENSMUSG00000030283","St8sia1","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
"7","chr9",20765203,20765750,548,"*","Merged-chr9-20765445-35","Distal Intergenic",9,20667986,20728214,60229,2,"244723","uc009oje.1",-36989,"ENSMUSG00000032172","Olfm2","olfactomedin 2"
"8","chr7",110824113,110824568,456,"*","Merged-chr7-110824322-44","Intron (uc009jfp.1/67150, intron 4 of 5)",7,110816535,110837529,20995,2,"67150","uc009jfp.1",12961,"ENSMUSG00000030788","Rnf141","ring finger protein 141"
"9","chr7",16874056,16874524,469,"*","Merged-chr7-16874249-24","Promoter (<=1kb)",7,16875317,16887301,11985,1,"629378","uc009fij.1",-793,"ENSMUSG00000078794","Dact3","dishevelled-binding antagonist of beta-catenin 3"
"10","chr3",21952330,21952528,199,"*","Merged-chr3-21952428-1","Distal Intergenic",3,22076652,22216594,139943,1,"81004","uc008osw.1",-124124,"ENSMUSG00000027630","Tbl1xr1","transducin (beta)-like 1X-linked receptor 1"
"11","chr18",60501909,60502840,932,"*","Merged-chr18-60502470-34","Promoter (<=1kb)",18,60474191,60501983,27793,2,"106878","uc008fag.1",0,"ENSMUSG00000038059","Smim3","small integral membrane protein 3"
"12","chr6",135375236,135375434,199,"*","Merged-chr6-135375334-1","Intron (uc009elo.1/13730, intron 1 of 4)",6,135367493,135383173,15681,1,"13730","uc033ivp.1",7743,"ENSMUSG00000030208","Emp1","epithelial membrane protein 1"
"13","chr17",8190028,8190974,947,"*","Merged-chr17-8190546-24","Intron (uc008ajb.2/75296, intron 9 of 11)",17,8165518,8196470,30953,1,"75296","uc008ajc.2",24510,"ENSMUSG00000069135","Fgfr1op","Fgfr1 oncogene partner"
"14","chr8",106948813,106949255,443,"*","Merged-chr8-106949012-29","Intron (uc009ngt.1/20650, intron 1 of 6)",8,106935750,107014192,78443,1,"20650","uc012gjx.1",13063,"ENSMUSG00000041308","Sntb2","syntrophin, basic 2"
"15","chr2",23005989,23006668,680,"*","Merged-chr2-23006422-36","Intron (uc008inr.2/11308, intron 1 of 9)",2,22939989,23040241,100253,2,"11308","uc008inr.2",33573,"ENSMUSG00000058835","Abi1","abl-interactor 1"
"16","chr7",117098898,117099530,633,"*","Merged-chr7-117099224-15","Distal Intergenic",7,117380979,117635185,254207,1,"233781","uc009jjl.1",-281449,"ENSMUSG00000030657","Xylt1","xylosyltransferase 1"
"17","chr14",105482834,105483688,855,"*","Merged-chr14-105483315-60","Distal Intergenic",14,105498788,105505629,6842,1,"74864","uc007uxt.4",-15100,"ENSMUSG00000022116","4930449E01Rik","RIKEN cDNA 4930449E01 gene"
"18","chrX",59951121,59951583,463,"*","Merged-chrX-59951386-23","Distal Intergenic",20,59999464,60030760,31297,1,"14071","uc009thw.2",-47881,"ENSMUSG00000031138","F9","coagulation factor IX"
"19","chr4",41240896,41241279,384,"*","Merged-chr4-41241074-39","Intron (uc008sik.1/68926, intron 2 of 28)",4,41194315,41275135,80821,2,"68926","uc008sik.1",33856,"ENSMUSG00000028433","Ubap2","ubiquitin-associated protein 2"
"20","chr1",79751769,79752819,1051,"*","Merged-chr1-79752241-78","Intron (uc007bqu.2/69368, intron 1 of 11)",1,79702262,79761769,59508,2,"69368","uc007bqu.2",8950,"ENSMUSG00000073643","Wdfy1","WD repeat and FYVE domain containing 1"
"21","chr1",69768753,69769239,487,"*","Merged-chr1-69769016-55","Distal Intergenic",1,69826970,69926250,99281,1,"66722","uc033fjj.1",-57731,"ENSMUSG00000053153","Spag16","sperm associated antigen 16"
"22","chr5",71903261,71903874,614,"*","Merged-chr5-71903621-28","Intron (uc008xrb.1/14400, intron 4 of 8)",5,71700016,72137244,437229,1,"14400","uc008xrb.1",203245,"ENSMUSG00000029212","Gabrb1","gamma-aminobutyric acid (GABA) A receptor, subunit beta 1"
"23","chr7",27740946,27741355,410,"*","Merged-chr7-27741137-12","Exon (uc009fwz.1/22718, exon 4 of 5)",7,27731409,27751689,20281,1,"22718","uc009fxa.1",9537,"ENSMUSG00000037640","Zfp60","zinc finger protein 60"
"24","chr10",26995544,26996347,804,"*","Merged-chr10-26995981-48","Intron (uc007esf.2/16773, intron 38 of 44)",10,26981285,27212254,230970,2,"16773","uc007esf.2",215907,"ENSMUSG00000019899","Lama2","laminin, alpha 2"
"25","chr16",96208429,96208836,408,"*","Merged-chr16-96208613-13","Intron (uc008acu.1/50795, intron 2 of 7)",16,96200470,96228933,28464,1,"50795","uc008acu.1",7959,"ENSMUSG00000040666","Sh3bgr","SH3-binding domain glutamic acid-rich protein"
"26","chr3",52647821,52648580,760,"*","Merged-chr3-52648133-66","Distal Intergenic",3,52739724,52776654,36931,1,"329639","uc008pek.3",-91144,"ENSMUSG00000102785","Gm2447","predicted gene 2447"
"27","chr9",7472666,7473253,588,"*","Merged-chr9-7473003-16","Intron (uc009ocp.1/83995, intron 7 of 10)",9,7464141,7476869,12729,1,"83995","uc009ocp.1",8525,"ENSMUSG00000043089","Mmp1a","matrix metallopeptidase 1a (interstitial collagenase)"
"28","chr2",157118634,157118832,199,"*","Merged-chr2-157118732-1","Intron (uc008non.2/56045, intron 6 of 16)",2,157097529,157135222,37694,2,"56045","uc008non.2",16390,"ENSMUSG00000027639","Samhd1","SAM domain and HD domain, 1"
"29","chr2",25828544,25828850,307,"*","Merged-chr2-25828697-14","Distal Intergenic",2,25823153,25825537,2385,1,"77704","uc008itm.1",5391,"ENSMUSG00000023210","Lcn9","lipocalin 9"
"30","chr6",100479359,100480100,742,"*","Merged-chr6-100479761-33","Distal Intergenic",6,100527400,100533426,6027,1,"73395","uc009dbx.1",-47300,"ENSMUSG00000101553","1700049E22Rik","RIKEN cDNA 1700049E22 gene"
"31","chr2",25620293,25620901,609,"*","Merged-chr2-25620603-21","Promoter (1-2kb)",2,25620066,25622002,1937,2,"51875","uc008isy.2",1101,"ENSMUSG00000026939","Tmem141","transmembrane protein 141"
"32","chr7",128376165,128376622,458,"*","Merged-chr7-128376440-37","Intron (uc009jyw.1/67865, intron 4 of 4)",7,128373625,128418172,44548,2,"67865","uc009jyw.1",41550,"ENSMUSG00000030844","Rgs10","regulator of G-protein signalling 10"
"33","chr5",146861619,146861971,353,"*","Merged-chr5-146861818-11","Distal Intergenic",5,146845416,146847726,2311,1,"68895","uc009ann.1",16203,"ENSMUSG00000029641","Rasl11a","RAS-like, family 11, member A"
"34","chr18",50051344,50051852,509,"*","Merged-chr18-50051621-24","Promoter (1-2kb)",18,50053282,50093229,39948,1,"106869","uc008ewv.2",-1430,"ENSMUSG00000062210","Tnfaip8","tumor necrosis factor, alpha-induced protein 8"
"35","chr1",9883090,9883641,552,"*","Merged-chr1-9883358-36","Intron (uc007agu.2/170755, intron 11 of 17)",1,9908638,9922525,13888,1,"240697","uc007agz.1",-24997,"ENSMUSG00000046101","Mcmdc2","minichromosome maintenance domain containing 2"
"36","chr17",63405353,63405866,514,"*","Merged-chr17-63405591-44","Intron (uc008dfj.3/50758, intron 1 of 5)",17,63045949,63451698,405750,2,"50758","uc008dfj.3",45832,"ENSMUSG00000023965","Fbxl17","F-box and leucine-rich repeat protein 17"
"37","chr11",109410120,109410974,855,"*","Merged-chr11-109410653-15","Distal Intergenic",11,109425946,109453359,27414,1,"100503496","uc007mci.2",-14972,NA,"Gm45916","predicted gene, 45916"
"38","chr7",114356428,114356784,357,"*","Merged-chr7-114356592-29","Intron (uc009jia.2/71045, intron 1 of 3)",7,114315479,114415161,99683,2,"71045","uc009jia.2",58377,"ENSMUSG00000087475","4933406I18Rik","RIKEN cDNA 4933406I18 gene"
"39","chr10",18469489,18470073,585,"*","Merged-chr10-18469759-32","Promoter (<=1kb)",10,18469981,18533892,63912,1,"215819","uc007emj.3",0,"ENSMUSG00000039835","Nhsl1","NHS-like 1"
"40","chr15",58731955,58732890,936,"*","Merged-chr15-58732350-53","Distal Intergenic",15,58782269,58823427,41159,2,"74868","uc007vto.1",90537,"ENSMUSG00000062373","Tmem65","transmembrane protein 65"
"41","chr1",189781085,189781283,199,"*","Merged-chr1-189781183-1","Intron (uc007eas.1/19250, intron 1 of 9)",1,189786636,189876695,90060,1,"19250","uc011wyk.2",-5353,"ENSMUSG00000026604","Ptpn14","protein tyrosine phosphatase, non-receptor type 14"
"42","chr13",16641843,16642723,881,"*","Merged-chr13-16642164-24","Distal Intergenic",13,15944764,16023423,78660,2,"100503142","uc007pnv.1",-618420,NA,"B230303A05Rik","U1 small nuclear ribonucleoprotein 1C pseudogene"
