#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_up.bed
NR368--MA0690.1.TBX21	chr11	99099208	99099217	+	0.000	0.000	Merged-chr11-99099093-22
NR1694--MA0690.1.TBX21	chr6	142338627	142338636	-	0.000	0.000	Merged-chr6-142338590-4
NR1944--MA0690.1.TBX21	chr8	126200423	126200432	+	0.000	0.000	Merged-chr8-126200294-39
NR892--MA0690.1.TBX21	chr17	47171340	47171349	+	0.000	0.000	Merged-chr17-47171280-54
NR1699--MA0690.1.TBX21	chr6	143425396	143425405	-	0.000	0.000	Merged-chr6-143425516-71
NR1413--MA0690.1.TBX21	chr4	98436801	98436810	+	0.000	0.000	Merged-chr4-98436733-103
NR632--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR903--MA0690.1.TBX21	chr17	66074026	66074035	+	0.000	0.000	Merged-chr17-66074199-45
NR1535--MA0690.1.TBX21	chr5	110594732	110594741	-	0.000	0.000	Merged-chr5-110594723-25
NR1405--MA0690.1.TBX21	chr4	86722062	86722071	-	0.000	0.000	Merged-chr4-86721990-52
NR84--MA0690.1.TBX21	chr1	136600956	136600965	-	0.000	0.000	Merged-chr1-136600909-41
NR380--MA0690.1.TBX21	chr11	107668341	107668350	-	0.000	0.000	Merged-chr11-107668374-46
NR948--MA0690.1.TBX21	chr18	32598387	32598396	-	0.000	0.000	Merged-chr18-32598271-33
NR786--MA0690.1.TBX21	chr16	23308242	23308251	-	0.000	0.000	Merged-chr16-23308226-35
NR1328--MA0690.1.TBX21	chr3	142533283	142533292	+	0.000	0.000	Merged-chr3-142533345-44
