#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_dn.bed
NR31--MA0523.1.TCF7L2	chr1	36646630	36646643	+	0.000	0.000	Merged-chr1-36646512-17
NR1258--MA0769.1.Tcf7	chr11	108334393	108334404	+	0.000	0.000	Merged-chr11-108334513-21
NR4583--MA1421.1.TCF7L1	chr4	32560503	32560514	-	0.000	0.000	Merged-chr4-32560610-21
NR1368--MA0523.1.TCF7L2	chr12	32999924	32999937	-	0.000	0.000	Merged-chr12-32999849-21
NR3872--MA0523.1.TCF7L2	chr2	139934967	139934980	-	0.000	0.000	Merged-chr2-139934935-45
NR2053--MA0769.1.Tcf7	chr14	21507260	21507271	-	0.000	0.000	Merged-chr14-21507188-15
NR4374--MA0523.1.TCF7L2	chr3	133760434	133760447	-	0.000	0.000	Merged-chr3-133760332-18
NR4121--MA0769.1.Tcf7	chr3	55660069	55660080	+	0.000	0.000	Merged-chr3-55660012-44
NR716--MA1421.1.TCF7L1	chr10	58351891	58351902	+	0.000	0.000	Merged-chr10-58351765-21
NR1391--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR2227--MA0523.1.TCF7L2	chr14	87349055	87349068	-	0.000	0.000	Merged-chr14-87349015-16
NR6749--MA0769.1.Tcf7	chr9	82967388	82967399	+	0.000	0.000	Merged-chr9-82967336-26
NR5355--MA0769.1.Tcf7	chr5	148377582	148377593	+	0.000	0.000	Merged-chr5-148377759-34
NR861--MA1421.1.TCF7L1	chr10	96201432	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR5791--MA0523.1.TCF7L2	chr6	143115265	143115278	-	0.000	0.000	Merged-chr6-143115192-122
NR1591--MA0769.1.Tcf7	chr12	110861507	110861518	-	0.000	0.000	Merged-chr12-110861556-21
NR4331--MA0523.1.TCF7L2	chr3	126589727	126589740	+	0.000	0.000	Merged-chr3-126589665-27
NR1589--MA1421.1.TCF7L1	chr12	110861507	110861518	-	0.000	0.000	Merged-chr12-110861556-21
NR2250--MA1421.1.TCF7L1	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR3631--MA0523.1.TCF7L2	chr2	68884858	68884871	+	0.000	0.000	Merged-chr2-68884857-23
NR5820--MA1421.1.TCF7L1	chr6	145469522	145469533	+	0.000	0.000	Merged-chr6-145469437-17
NR1395--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR4691--MA0523.1.TCF7L2	chr4	86725321	86725334	+	0.000	0.000	Merged-chr4-86725378-12
NR5566--MA1421.1.TCF7L1	chr6	85075138	85075149	+	0.000	0.000	Merged-chr6-85075148-16
NR4898--MA0769.1.Tcf7	chr4	144986271	144986282	+	0.000	0.000	Merged-chr4-144986370-39
