#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_up.bed
NR12473--MA0599.1.KLF5	chr11	118731921	118731930	+	0.000	0.000	Merged-chr11-118731916-25
NR57107--MA1107.1.KLF9	chr7	116484542	116484554	-	0.000	0.000	Merged-chr7-116484434-42
NR37960--MA0493.1.Klf1	chr3	28402423	28402433	-	0.000	0.000	Merged-chr3-28402386-46
NR5716--MA1107.1.KLF9	chr10	71399679	71399691	+	0.000	0.000	Merged-chr10-71399794-69
NR45304--MA0741.1.KLF16	chr4	152120730	152120740	-	0.000	0.000	Merged-chr4-152120692-77
NR53831--MA0741.1.KLF16	chr6	145002395	145002405	-	0.000	0.000	Merged-chr6-145002461-23
NR44623--MA0599.1.KLF5	chr4	140833017	140833026	-	0.000	0.000	Merged-chr4-140833040-18
NR1379--MA1107.1.KLF9	chr1	90739032	90739044	-	0.000	0.000	Merged-chr1-90739110-18
NR16018--MA0599.1.KLF5	chr13	44507199	44507208	+	0.000	0.000	Merged-chr13-44507226-54
NR62709--MA1107.1.KLF9	chr9	53706273	53706285	-	0.000	0.000	Merged-chr9-53706205-55
NR1908--MA0493.1.Klf1	chr1	128713043	128713053	+	0.000	0.000	Merged-chr1-128713010-21
NR15837--MA0599.1.KLF5	chr13	36369642	36369651	+	0.000	0.000	Merged-chr13-36369600-5
NR8896--MA0741.1.KLF16	chr11	30986477	30986487	+	0.000	0.000	Merged-chr11-30986417-66
NR46615--MA0740.1.KLF14	chr5	63943573	63943586	-	0.000	0.000	Merged-chr5-63943362-36
NR55191--MA0039.3.KLF4	chr7	34630505	34630515	-	0.000	0.000	Merged-chr7-34630517-24
NR27627--MA0740.1.KLF14	chr17	56425178	56425191	-	0.000	0.000	Merged-chr17-56425045-2
NR2394--MA0599.1.KLF5	chr1	147237214	147237223	+	0.000	0.000	Merged-chr1-147237183-6
NR57932--MA0741.1.KLF16	chr7	136894458	136894468	+	0.000	0.000	Merged-chr7-136894538-85
NR32491--MA0741.1.KLF16	chr2	3118331	3118341	-	0.000	0.000	Merged-chr2-3118423-48
NR45176--MA0599.1.KLF5	chr4	150518993	150519002	+	0.000	0.000	Merged-chr4-150519164-27
NR54685--MA0599.1.KLF5	chr7	24482004	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR23132--MA0742.1.Klf12	chr15	100060746	100060760	+	0.000	0.000	Merged-chr15-100060928-68
NR61660--MA0493.1.Klf1	chr8	128420724	128420734	+	0.000	0.000	Merged-chr8-128420826-46
NR39711--MA0599.1.KLF5	chr3	109444053	109444062	+	0.000	0.000	Merged-chr3-109444108-35
NR17685--MA0493.1.Klf1	chr13	108100601	108100611	+	0.000	0.000	Merged-chr13-108100820-31
NR53021--MA1107.1.KLF9	chr6	129049279	129049291	-	0.000	0.000	Merged-chr6-129049251-27
NR17327--MA0493.1.Klf1	chr13	99781082	99781092	-	0.000	0.000	Merged-chr13-99781144-21
NR66523--MA0493.1.Klf1	chrX	113181121	113181131	-	0.000	0.000	Merged-chrX-113181070-1
NR14719--MA0039.3.KLF4	chr12	109445245	109445255	+	0.000	0.000	Merged-chr12-109445419-17
NR56510--MA1107.1.KLF9	chr7	98797413	98797425	-	0.000	0.000	Merged-chr7-98797577-28
NR44609--MA0657.1.KLF13	chr4	140750570	140750587	+	0.000	0.000	Merged-chr4-140750542-28
NR66069--MA0740.1.KLF14	chrX	57185035	57185048	+	0.000	0.000	Merged-chrX-57185087-24
NR14527--MA1107.1.KLF9	chr12	106016399	106016411	-	0.000	0.000	Merged-chr12-106016418-37
NR1854--MA1107.1.KLF9	chr1	127796457	127796469	-	0.000	0.000	Merged-chr1-127796546-56
NR43202--MA0741.1.KLF16	chr4	117835297	117835307	+	0.000	0.000	Merged-chr4-117835233-2
NR28174--MA0741.1.KLF16	chr17	74864999	74865009	-	0.000	0.000	Merged-chr17-74864979-18
NR32515--MA0039.3.KLF4	chr2	4454952	4454962	-	0.000	0.000	Merged-chr2-4454837-7
NR41954--MA0599.1.KLF5	chr4	42866051	42866060	+	0.000	0.000	Merged-chr4-42865977-16
NR1421--MA0599.1.KLF5	chr1	91831310	91831319	+	0.000	0.000	Merged-chr1-91831329-12
NR41264--MA0493.1.Klf1	chr3	154683893	154683903	-	0.000	0.000	Merged-chr3-154683777-15
NR24106--MA0493.1.Klf1	chr16	24834894	24834904	+	0.000	0.000	Merged-chr16-24834930-16
NR61657--MA0742.1.Klf12	chr8	128420724	128420738	+	0.000	0.000	Merged-chr8-128420826-46
NR24052--MA0741.1.KLF16	chr16	24160876	24160886	+	0.000	0.000	Merged-chr16-24160756-32
NR50903--MA0740.1.KLF14	chr6	47621483	47621496	+	0.000	0.000	Merged-chr6-47621326-39
NR39285--MA1107.1.KLF9	chr3	100582913	100582925	-	0.000	0.000	Merged-chr3-100582913-18
NR53836--MA0741.1.KLF16	chr6	145002400	145002410	-	0.000	0.000	Merged-chr6-145002461-23
NR66528--MA0493.1.Klf1	chrX	113298149	113298159	-	0.000	0.000	Merged-chrX-113298172-75
NR60695--MA0039.3.KLF4	chr8	111355354	111355364	+	0.000	0.000	Merged-chr8-111355388-12
NR27628--MA0657.1.KLF13	chr17	56425175	56425192	-	0.000	0.000	Merged-chr17-56425045-2
NR33879--MA0741.1.KLF16	chr2	59482659	59482669	+	0.000	0.000	Merged-chr2-59482840-22
NR46023--MA0039.3.KLF4	chr5	28269731	28269741	-	0.000	0.000	Merged-chr5-28269924-54
NR4476--MA0599.1.KLF5	chr10	5448588	5448597	-	0.000	0.000	Merged-chr10-5448562-35
NR10781--MA1107.1.KLF9	chr11	90257463	90257475	+	0.000	0.000	Merged-chr11-90257307-51
NR33883--MA1107.1.KLF9	chr2	59513711	59513723	-	0.000	0.000	Merged-chr2-59513816-12
NR53917--MA1107.1.KLF9	chr6	146081156	146081168	-	0.000	0.000	Merged-chr6-146081045-99
NR60812--MA1107.1.KLF9	chr8	115136875	115136887	+	0.000	0.000	Merged-chr8-115136921-34
NR61472--MA1107.1.KLF9	chr8	125727532	125727544	-	0.000	0.000	Merged-chr8-125727602-12
NR16014--MA0741.1.KLF16	chr13	43789137	43789147	-	0.000	0.000	Merged-chr13-43789112-65
NR59910--MA1107.1.KLF9	chr8	77268570	77268582	+	0.000	0.000	Merged-chr8-77268341-22
NR32490--MA0599.1.KLF5	chr2	3118332	3118341	-	0.000	0.000	Merged-chr2-3118423-48
NR39957--MA1107.1.KLF9	chr3	121495132	121495144	-	0.000	0.000	Merged-chr3-121495033-1
NR20737--MA0741.1.KLF16	chr15	8616193	8616203	+	0.000	0.000	Merged-chr15-8616259-27
NR35630--MA0599.1.KLF5	chr2	132180759	132180768	-	0.000	0.000	Merged-chr2-132180846-32
NR7611--MA0493.1.Klf1	chr10	118766025	118766035	-	0.000	0.000	Merged-chr10-118766153-45
