#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_dn.bed
NR1904--MA0690.1.TBX21	chr8	88592927	88592936	+	0.000	0.000	Merged-chr8-88592850-20
NR2065--MA0690.1.TBX21	chr9	117911001	117911010	+	0.000	0.000	Merged-chr9-117910970-21
NR1965--MA0690.1.TBX21	chr9	27023912	27023921	-	0.000	0.000	Merged-chr9-27023866-37
NR1439--MA0690.1.TBX21	chr4	129571820	129571829	+	0.000	0.000	Merged-chr4-129571823-22
NR1081--MA0690.1.TBX21	chr2	25148061	25148070	-	0.000	0.000	Merged-chr2-25148103-14
NR47--MA0690.1.TBX21	chr1	78478125	78478134	-	0.000	0.000	Merged-chr1-78478073-15
NR348--MA0690.1.TBX21	chr11	83640445	83640454	-	0.000	0.000	Merged-chr11-83640282-44
NR1932--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR2003--MA0690.1.TBX21	chr9	69362280	69362289	+	0.000	0.000	Merged-chr9-69362247-25
NR1935--MA0690.1.TBX21	chr8	121176417	121176426	+	0.000	0.000	Merged-chr8-121176463-20
NR1268--MA0690.1.TBX21	chr3	84630990	84630999	+	0.000	0.000	Merged-chr3-84630888-13
NR262--MA0690.1.TBX21	chr10	117969969	117969978	+	0.000	0.000	Merged-chr10-117970017-9
NR1035--MA0690.1.TBX21	chr19	40665958	40665967	+	0.000	0.000	Merged-chr19-40666029-20
NR865--MA0690.1.TBX21	chr17	23748324	23748333	-	0.000	0.000	Merged-chr17-23748319-15
NR1136--MA0690.1.TBX21	chr2	73346543	73346552	+	0.000	0.000	Merged-chr2-73346607-35
NR1367--MA0690.1.TBX21	chr4	6476637	6476646	+	0.000	0.000	Merged-chr4-6476530-28
NR706--MA0690.1.TBX21	chr15	38122283	38122292	+	0.000	0.000	Merged-chr15-38122272-49
NR2092--MA0690.1.TBX21	chrX	13552555	13552564	+	0.000	0.000	Merged-chrX-13552455-23
NR2039--MA0690.1.TBX21	chr9	105499677	105499686	-	0.000	0.000	Merged-chr9-105499679-15
NR1326--MA0690.1.TBX21	chr3	139033342	139033351	+	0.000	0.000	Merged-chr3-139033383-15
NR1034--MA0690.1.TBX21	chr19	40665903	40665912	-	0.000	0.000	Merged-chr19-40666029-20
NR872--MA0690.1.TBX21	chr17	28591047	28591056	-	0.000	0.000	Merged-chr17-28590948-24
NR102--MA0690.1.TBX21	chr1	153645481	153645490	-	0.000	0.000	Merged-chr1-153645501-10
NR1082--MA0690.1.TBX21	chr2	25148090	25148099	-	0.000	0.000	Merged-chr2-25148103-14
NR1215--MA0690.1.TBX21	chr2	168429753	168429762	-	0.000	0.000	Merged-chr2-168429700-17
NR349--MA0690.1.TBX21	chr11	83657676	83657685	+	0.000	0.000	Merged-chr11-83657668-22
NR458--MA0690.1.TBX21	chr12	102641790	102641799	+	0.000	0.000	Merged-chr12-102641833-10
NR1532--MA0690.1.TBX21	chr5	107533901	107533910	-	0.000	0.000	Merged-chr5-107533890-8
