#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_up.bed
NR1799--MA0731.1.BCL6B	chr7	67308327	67308343	-	0.000	0.000	Merged-chr7-67308311-16
NR1154--MA0463.1.Bcl6	chr2	117374548	117374561	-	0.000	0.000	Merged-chr2-117374468-47
NR907--MA0463.1.Bcl6	chr17	50084090	50084103	+	0.000	0.000	Merged-chr17-50084129-24
NR1728--MA0731.1.BCL6B	chr6	127617401	127617417	-	0.000	0.000	Merged-chr6-127617353-34
NR2052--MA0463.1.Bcl6	chr9	78074163	78074176	-	0.000	0.000	Merged-chr9-78074095-46
NR1287--MA0731.1.BCL6B	chr3	95909392	95909408	+	0.000	0.000	Merged-chr3-95909537-31
NR634--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR868--MA0463.1.Bcl6	chr17	3521440	3521453	-	0.000	0.000	Merged-chr17-3521498-21
NR59--MA0731.1.BCL6B	chr1	106601003	106601019	-	0.000	0.000	Merged-chr1-106601056-67
NR407--MA0463.1.Bcl6	chr12	17387994	17388007	-	0.000	0.000	Merged-chr12-17388017-60
NR345--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR382--MA0731.1.BCL6B	chr11	106958393	106958409	-	0.000	0.000	Merged-chr11-106958567-20
NR1020--MA0463.1.Bcl6	chr19	16255597	16255610	-	0.000	0.000	Merged-chr19-16255427-25
NR1963--MA0731.1.BCL6B	chr8	107505469	107505485	-	0.000	0.000	Merged-chr8-107505522-28
NR1840--MA0463.1.Bcl6	chr7	110824201	110824214	+	0.000	0.000	Merged-chr7-110824322-44
NR1392--MA0731.1.BCL6B	chr4	10770224	10770240	+	0.000	0.000	Merged-chr4-10770192-53
NR156--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR1975--MA0463.1.Bcl6	chr8	119946328	119946341	+	0.000	0.000	Merged-chr8-119946472-42
NR1246--MA0731.1.BCL6B	chr3	19240210	19240226	-	0.000	0.000	Merged-chr3-19240113-21
NR1682--MA0731.1.BCL6B	chr6	87394950	87394966	-	0.000	0.000	Merged-chr6-87395104-19
NR1477--MA0731.1.BCL6B	chr4	132748936	132748952	+	0.000	0.000	Merged-chr4-132748989-25
NR154--MA0463.1.Bcl6	chr1	176827398	176827411	+	0.000	0.000	Merged-chr1-176827492-35
NR1087--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR125--MA0463.1.Bcl6	chr1	162094332	162094345	+	0.000	0.000	Merged-chr1-162094499-16
NR1962--MA0463.1.Bcl6	chr8	107505472	107505485	+	0.000	0.000	Merged-chr8-107505522-28
NR1613--MA0463.1.Bcl6	chr5	121796140	121796153	-	0.000	0.000	Merged-chr5-121796162-9
NR548--MA0731.1.BCL6B	chr13	51776548	51776564	-	0.000	0.000	Merged-chr13-51776600-43
NR1458--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR1476--MA0463.1.Bcl6	chr4	132748936	132748949	-	0.000	0.000	Merged-chr4-132748989-25
NR479--MA0731.1.BCL6B	chr12	102651551	102651567	+	0.000	0.000	Merged-chr12-102651576-1
NR1088--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR1661--MA0463.1.Bcl6	chr6	54956222	54956235	-	0.000	0.000	Merged-chr6-54956270-34
NR2118--MA0731.1.BCL6B	chr9	121675081	121675097	-	0.000	0.000	Merged-chr9-121675261-45
NR1864--MA0731.1.BCL6B	chr7	125593318	125593334	-	0.000	0.000	Merged-chr7-125593204-10
NR1604--MA0731.1.BCL6B	chr5	110650347	110650363	+	0.000	0.000	Merged-chr5-110650328-3
NR1040--MA0463.1.Bcl6	chr19	56756642	56756655	-	0.000	0.000	Merged-chr19-56756635-43
NR1381--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR478--MA0463.1.Bcl6	chr12	102350886	102350899	+	0.000	0.000	Merged-chr12-102350976-38
NR677--MA0731.1.BCL6B	chr14	65330861	65330877	+	0.000	0.000	Merged-chr14-65330788-23
NR330--MA0731.1.BCL6B	chr11	62507993	62508009	+	0.000	0.000	Merged-chr11-62507903-32
NR547--MA0463.1.Bcl6	chr13	51776549	51776562	-	0.000	0.000	Merged-chr13-51776600-43
NR1041--MA0463.1.Bcl6	chr19	56771430	56771443	-	0.000	0.000	Merged-chr19-56771635-4
NR1089--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR1531--MA0731.1.BCL6B	chr5	21255528	21255544	+	0.000	0.000	Merged-chr5-21255594-85
NR1727--MA0463.1.Bcl6	chr6	127617404	127617417	+	0.000	0.000	Merged-chr6-127617353-34
NR1455--MA0463.1.Bcl6	chr4	107006366	107006379	-	0.000	0.000	Merged-chr4-107006366-21
