#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR5981--MA0523.1.TCF7L2	chr3	152127434	152127447	+	0.000	0.000	Merged-chr3-152127515-20
NR7875--MA0523.1.TCF7L2	chr7	98797476	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR4976--MA0523.1.TCF7L2	chr2	107005953	107005966	+	0.000	0.000	Merged-chr2-107005967-12
NR2286--MA0769.1.Tcf7	chr13	52008135	52008146	-	0.000	0.000	Merged-chr13-52008191-11
NR672--MA1421.1.TCF7L1	chr1	184197641	184197652	-	0.000	0.000	Merged-chr1-184197455-33
NR489--MA0523.1.TCF7L2	chr1	152053401	152053414	+	0.000	0.000	Merged-chr1-152053412-31
NR863--MA0523.1.TCF7L2	chr10	41615634	41615647	+	0.000	0.000	Merged-chr10-41615681-31
NR3291--MA0769.1.Tcf7	chr15	93694650	93694661	-	0.000	0.000	Merged-chr15-93694661-9
NR4142--MA0523.1.TCF7L2	chr18	54860625	54860638	+	0.000	0.000	Merged-chr18-54860804-67
NR6310--MA0769.1.Tcf7	chr4	102393684	102393695	+	0.000	0.000	Merged-chr4-102393739-36
NR5332--MA0523.1.TCF7L2	chr2	170247922	170247935	-	0.000	0.000	Merged-chr2-170247949-28
NR8293--MA0769.1.Tcf7	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR6447--MA1421.1.TCF7L1	chr4	144986271	144986282	+	0.000	0.000	Merged-chr4-144986370-39
NR8717--MA0523.1.TCF7L2	chr9	68966890	68966903	-	0.000	0.000	Merged-chr9-68966744-26
NR7106--MA0769.1.Tcf7	chr6	34277819	34277830	+	0.000	0.000	Merged-chr6-34277890-22
NR8657--MA0769.1.Tcf7	chr9	50852881	50852892	-	0.000	0.000	Merged-chr9-50852835-21
NR830--MA0769.1.Tcf7	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR6674--MA1421.1.TCF7L1	chr5	64455558	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR1651--MA0769.1.Tcf7	chr11	116418606	116418617	+	0.000	0.000	Merged-chr11-116418803-35
NR3289--MA1421.1.TCF7L1	chr15	93694650	93694661	-	0.000	0.000	Merged-chr15-93694661-9
NR9144--MA0769.1.Tcf7	chrX	132288201	132288212	+	0.000	0.000	Merged-chrX-132288230-18
NR822--MA1421.1.TCF7L1	chr10	26373061	26373072	-	0.000	0.000	Merged-chr10-26373188-33
NR3250--MA1421.1.TCF7L1	chr15	84168879	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR4389--MA0769.1.Tcf7	chr19	21507751	21507762	+	0.000	0.000	Merged-chr19-21507788-24
NR1650--MA0523.1.TCF7L2	chr11	116418606	116418619	+	0.000	0.000	Merged-chr11-116418803-35
NR5595--MA1421.1.TCF7L1	chr3	84023024	84023035	-	0.000	0.000	Merged-chr3-84022944-34
NR2813--MA1421.1.TCF7L1	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR3629--MA1421.1.TCF7L1	chr16	84646515	84646526	+	0.000	0.000	Merged-chr16-84646422-13
NR2765--MA1421.1.TCF7L1	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR1671--MA0523.1.TCF7L2	chr12	3791935	3791948	-	0.000	0.000	Merged-chr12-3791945-40
NR4495--MA1421.1.TCF7L1	chr19	55768424	55768435	-	0.000	0.000	Merged-chr19-55768445-7
NR4574--MA0769.1.Tcf7	chr2	11617019	11617030	+	0.000	0.000	Merged-chr2-11617013-39
NR2255--MA0523.1.TCF7L2	chr13	44317656	44317669	-	0.000	0.000	Merged-chr13-44317703-16
NR491--MA0523.1.TCF7L2	chr1	152053525	152053538	+	0.000	0.000	Merged-chr1-152053412-31
NR6030--MA0523.1.TCF7L2	chr4	4792517	4792530	+	0.000	0.000	Merged-chr4-4792385-2
