#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR1487--MA0508.2.PRDM1	chr3	96883898	96883907	+	0.000	0.000	Merged-chr3-96883800-5
NR919--MA0508.2.PRDM1	chr16	19761874	19761883	-	0.000	0.000	Merged-chr16-19761931-27
NR2467--MA0508.2.PRDM1	chrX	12151831	12151840	+	0.000	0.000	Merged-chrX-12151801-24
NR1783--MA0508.2.PRDM1	chr5	34822677	34822686	-	0.000	0.000	Merged-chr5-34822830-22
NR2146--MA0508.2.PRDM1	chr7	90145981	90145990	+	0.000	0.000	Merged-chr7-90145874-1
NR2306--MA0508.2.PRDM1	chr8	95679322	95679331	-	0.000	0.000	Merged-chr8-95679341-1
NR2388--MA0508.2.PRDM1	chr9	60243971	60243980	+	0.000	0.000	Merged-chr9-60243855-4
NR1534--MA0508.2.PRDM1	chr3	130749379	130749388	+	0.000	0.000	Merged-chr3-130749369-18
NR1409--MA0508.2.PRDM1	chr3	8718383	8718392	+	0.000	0.000	Merged-chr3-8718167-60
NR27--MA0508.2.PRDM1	chr1	37496185	37496194	+	0.000	0.000	Merged-chr1-37496227-52
NR828--MA0508.2.PRDM1	chr15	6523811	6523820	-	0.000	0.000	Merged-chr15-6523761-2
NR2469--MA0508.2.PRDM1	chrX	23697449	23697458	-	0.000	0.000	Merged-chrX-23697547-21
NR446--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR1894--MA0508.2.PRDM1	chr5	140215979	140215988	-	0.000	0.000	Merged-chr5-140215756-33
NR1798--MA0508.2.PRDM1	chr5	44180998	44181007	+	0.000	0.000	Merged-chr5-44180865-15
NR1071--MA0508.2.PRDM1	chr17	88042613	88042622	+	0.000	0.000	Merged-chr17-88042729-54
NR40--MA0508.2.PRDM1	chr1	52100604	52100613	+	0.000	0.000	Merged-chr1-52100715-41
NR593--MA0508.2.PRDM1	chr13	16021028	16021037	-	0.000	0.000	Merged-chr13-16020821-23
NR280--MA0508.2.PRDM1	chr10	81249703	81249712	-	0.000	0.000	Merged-chr10-81249714-12
NR997--MA0508.2.PRDM1	chr17	12692069	12692078	+	0.000	0.000	Merged-chr17-12692013-52
NR2508--MA0508.2.PRDM1	chrX	167231346	167231355	+	0.000	0.000	Merged-chrX-167231316-28
NR1670--MA0508.2.PRDM1	chr4	87669637	87669646	-	0.000	0.000	Merged-chr4-87669731-33
NR296--MA0508.2.PRDM1	chr10	93195069	93195078	+	0.000	0.000	Merged-chr10-93194947-1
