#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR2499--MA0140.2.GATA1::TAL1	chr15	12588890	12588907	+	0.000	0.000	Merged-chr15-12588856-30
NR2486--MA0766.1.GATA5	chr15	8073376	8073383	+	0.000	0.000	Merged-chr15-8073323-37
NR3172--MA0037.3.GATA3	chr17	79603740	79603747	-	0.000	0.000	Merged-chr17-79603742-19
NR607--MA0035.3.Gata1	chr1	189841524	189841534	-	0.000	0.000	Merged-chr1-189841407-2
NR2936--MA0035.3.Gata1	chr17	5798686	5798696	-	0.000	0.000	Merged-chr17-5798527-14
NR613--MA1104.1.GATA6	chr1	191391468	191391480	-	0.000	0.000	Merged-chr1-191391579-39
NR4605--MA0482.1.Gata4	chr3	136611951	136611961	-	0.000	0.000	Merged-chr3-136611929-48
NR617--MA0766.1.GATA5	chr1	191803663	191803670	-	0.000	0.000	Merged-chr1-191803516-12
NR1438--MA0482.1.Gata4	chr11	119352714	119352724	-	0.000	0.000	Merged-chr11-119352857-1
NR1468--MA0037.3.GATA3	chr12	16185623	16185630	-	0.000	0.000	Merged-chr12-16185844-40
NR4836--MA0766.1.GATA5	chr4	83785597	83785604	-	0.000	0.000	Merged-chr4-83785408-9
NR939--MA0036.3.GATA2	chr10	111583205	111583215	-	0.000	0.000	Merged-chr10-111583294-13
NR3310--MA0766.1.GATA5	chr18	55107111	55107118	-	0.000	0.000	Merged-chr18-55107186-34
NR6195--MA0036.3.GATA2	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR3833--MA0140.2.GATA1::TAL1	chr2	58907066	58907083	+	0.000	0.000	Merged-chr2-58907164-60
NR2485--MA1104.1.GATA6	chr15	8073373	8073385	+	0.000	0.000	Merged-chr15-8073323-37
NR1439--MA1104.1.GATA6	chr11	119352714	119352726	+	0.000	0.000	Merged-chr11-119352857-1
NR1442--MA0035.3.Gata1	chr11	119352715	119352725	-	0.000	0.000	Merged-chr11-119352857-1
NR611--MA0037.3.GATA3	chr1	191391470	191391477	-	0.000	0.000	Merged-chr1-191391579-39
NR7060--MA0140.2.GATA1::TAL1	chr9	120057222	120057239	-	0.000	0.000	Merged-chr9-120057282-6
NR2203--MA0766.1.GATA5	chr14	27268429	27268436	+	0.000	0.000	Merged-chr14-27268313-23
NR1256--MA0037.3.GATA3	chr11	90225057	90225064	-	0.000	0.000	Merged-chr11-90225249-59
NR2260--MA0037.3.GATA3	chr14	47476788	47476795	+	0.000	0.000	Merged-chr14-47476839-9
NR3311--MA0035.3.Gata1	chr18	55107110	55107120	+	0.000	0.000	Merged-chr18-55107186-34
NR1819--MA0035.3.Gata1	chr13	32829188	32829198	-	0.000	0.000	Merged-chr13-32829119-10
NR2028--MA0036.3.GATA2	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR5463--MA0482.1.Gata4	chr6	15743688	15743698	+	0.000	0.000	Merged-chr6-15743639-18
NR4835--MA0037.3.GATA3	chr4	83785597	83785604	-	0.000	0.000	Merged-chr4-83785408-9
NR3791--MA0766.1.GATA5	chr2	38927191	38927198	+	0.000	0.000	Merged-chr2-38927385-1
NR1437--MA0037.3.GATA3	chr11	119352717	119352724	+	0.000	0.000	Merged-chr11-119352857-1
NR3608--MA0036.3.GATA2	chr19	41339337	41339347	-	0.000	0.000	Merged-chr19-41339315-54
NR3911--MA0140.2.GATA1::TAL1	chr2	83659998	83660015	-	0.000	0.000	Merged-chr2-83659972-2
NR3788--MA0482.1.Gata4	chr2	38927188	38927198	-	0.000	0.000	Merged-chr2-38927385-1
NR5096--MA0766.1.GATA5	chr5	21248921	21248928	-	0.000	0.000	Merged-chr5-21249086-19
NR940--MA0766.1.GATA5	chr10	111583207	111583214	+	0.000	0.000	Merged-chr10-111583294-13
NR5923--MA0482.1.Gata4	chr7	19332941	19332951	+	0.000	0.000	Merged-chr7-19332998-44
