#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR14291--MA0495.2.MAFF	chr9	48538398	48538418	-	0.000	0.000	Merged-chr9-48538454-59
NR8117--MA0591.1.Bach1::Mafk	chr2	114059831	114059845	+	0.000	0.000	Merged-chr2-114059851-34
NR6584--MA0495.2.MAFF	chr17	86063692	86063712	-	0.000	0.000	Merged-chr17-86063661-27
NR13592--MA0501.1.MAF::NFE2	chr8	69967958	69967972	+	0.000	0.000	Merged-chr8-69967994-19
NR5272--MA0591.1.Bach1::Mafk	chr15	66795456	66795470	+	0.000	0.000	Merged-chr15-66795478-40
NR10316--MA0591.1.Bach1::Mafk	chr4	121000303	121000317	+	0.000	0.000	Merged-chr4-121000350-3
NR1789--MA0591.1.Bach1::Mafk	chr10	85829474	85829488	-	0.000	0.000	Merged-chr10-85829298-76
NR645--MA0089.1.MAFG::NFE2L1	chr1	121220533	121220538	+	0.000	0.000	Merged-chr1-121220429-14
NR6116--MA0659.1.MAFG	chr17	5126119	5126139	+	0.000	0.000	Merged-chr17-5126157-22
NR13720--MA0496.2.MAFK	chr8	83131933	83131951	-	0.000	0.000	Merged-chr8-83131891-13
NR5043--MA0089.1.MAFG::NFE2L1	chr15	9466674	9466679	+	0.000	0.000	Merged-chr15-9466691-10
NR14293--MA0659.1.MAFG	chr9	48538398	48538418	+	0.000	0.000	Merged-chr9-48538454-59
NR5726--MA0501.1.MAF::NFE2	chr16	44140578	44140592	+	0.000	0.000	Merged-chr16-44140552-3
