#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR1763--MA0690.1.TBX21	chr7	117406455	117406464	+	0.000	0.000	Merged-chr7-117406595-16
NR1938--MA0690.1.TBX21	chr9	40997241	40997250	-	0.000	0.000	Merged-chr9-40997373-39
NR1633--MA0690.1.TBX21	chr6	127103071	127103080	+	0.000	0.000	Merged-chr6-127103000-20
NR259--MA0690.1.TBX21	chr10	119031129	119031138	-	0.000	0.000	Merged-chr10-119031155-35
NR1864--MA0690.1.TBX21	chr8	68218616	68218625	-	0.000	0.000	Merged-chr8-68218689-19
NR1102--MA0690.1.TBX21	chr2	160657931	160657940	+	0.000	0.000	Merged-chr2-160657923-30
NR1463--MA0690.1.TBX21	chr5	112343083	112343092	-	0.000	0.000	Merged-chr5-112343084-79
NR1638--MA0690.1.TBX21	chr6	129747367	129747376	-	0.000	0.000	Merged-chr6-129747542-62
NR1713--MA0690.1.TBX21	chr7	79249797	79249806	+	0.000	0.000	Merged-chr7-79249720-34
NR1346--MA0690.1.TBX21	chr4	129365427	129365436	+	0.000	0.000	Merged-chr4-129365384-41
NR1203--MA0690.1.TBX21	chr3	115799524	115799533	-	0.000	0.000	Merged-chr3-115799463-50
NR510--MA0690.1.TBX21	chr13	101707431	101707440	+	0.000	0.000	Merged-chr13-101707362-90
NR1033--MA0690.1.TBX21	chr2	68430657	68430666	+	0.000	0.000	Merged-chr2-68430660-54
NR1699--MA0690.1.TBX21	chr7	58759486	58759495	+	0.000	0.000	Merged-chr7-58759463-23
NR980--MA0690.1.TBX21	chr2	25170441	25170450	+	0.000	0.000	Merged-chr2-25170502-21
NR470--MA0690.1.TBX21	chr13	60935247	60935256	-	0.000	0.000	Merged-chr13-60935285-22
NR993--MA0690.1.TBX21	chr2	32166597	32166606	+	0.000	0.000	Merged-chr2-32166737-9
NR1806--MA0690.1.TBX21	chr7	143644106	143644115	+	0.000	0.000	Merged-chr7-143644190-29
NR1896--MA0690.1.TBX21	chr8	116645515	116645524	+	0.000	0.000	Merged-chr8-116645599-31
NR592--MA0690.1.TBX21	chr14	73476543	73476552	+	0.000	0.000	Merged-chr14-73476572-35
