#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR1383--MA0690.1.TBX21	chr4	154936066	154936075	+	0.000	0.000	Merged-chr4-154936025-18
NR1925--MA0690.1.TBX21	chr9	7177047	7177056	-	0.000	0.000	Merged-chr9-7176976-53
NR158--MA0690.1.TBX21	chr1	191520000	191520009	+	0.000	0.000	Merged-chr1-191519897-26
NR1872--MA0690.1.TBX21	chr8	79534598	79534607	+	0.000	0.000	Merged-chr8-79534488-18
NR1110--MA0690.1.TBX21	chr2	169398756	169398765	-	0.000	0.000	Merged-chr2-169398588-9
NR1755--MA0690.1.TBX21	chr7	115218901	115218910	+	0.000	0.000	Merged-chr7-115218920-27
NR1070--MA0690.1.TBX21	chr2	117541615	117541624	-	0.000	0.000	Merged-chr2-117541730-22
NR1721--MA0690.1.TBX21	chr7	84149056	84149065	-	0.000	0.000	Merged-chr7-84149073-24
NR1516--MA0690.1.TBX21	chr5	150458016	150458025	+	0.000	0.000	Merged-chr5-150458118-21
NR1843--MA0690.1.TBX21	chr8	34692846	34692855	+	0.000	0.000	Merged-chr8-34692786-9
NR1585--MA0690.1.TBX21	chr6	90984328	90984337	+	0.000	0.000	Merged-chr6-90984346-4
NR1508--MA0690.1.TBX21	chr5	143631003	143631012	+	0.000	0.000	Merged-chr5-143630947-39
NR911--MA0690.1.TBX21	chr18	86601952	86601961	-	0.000	0.000	Merged-chr18-86601765-23
NR1686--MA0690.1.TBX21	chr7	35729784	35729793	+	0.000	0.000	Merged-chr7-35729754-35
NR1285--MA0690.1.TBX21	chr4	42945316	42945325	-	0.000	0.000	Merged-chr4-42945382-5
NR6--MA0690.1.TBX21	chr1	13267326	13267335	+	0.000	0.000	Merged-chr1-13267455-62
NR502--MA0690.1.TBX21	chr13	95742509	95742518	+	0.000	0.000	Merged-chr13-95742219-17
NR611--MA0690.1.TBX21	chr14	103363151	103363160	+	0.000	0.000	Merged-chr14-103363341-36
NR1025--MA0690.1.TBX21	chr2	61490913	61490922	+	0.000	0.000	Merged-chr2-61490794-61
NR23--MA0690.1.TBX21	chr1	46912658	46912667	+	0.000	0.000	Merged-chr1-46912759-14
NR1399--MA0690.1.TBX21	chr5	27995453	27995462	+	0.000	0.000	Merged-chr5-27995403-19
NR1474--MA0690.1.TBX21	chr5	118590818	118590827	+	0.000	0.000	Merged-chr5-118590932-25
NR1745--MA0690.1.TBX21	chr7	108991402	108991411	-	0.000	0.000	Merged-chr7-108991327-33
NR1139--MA0690.1.TBX21	chr3	21996115	21996124	-	0.000	0.000	Merged-chr3-21996009-51
NR800--MA0690.1.TBX21	chr17	47923034	47923043	-	0.000	0.000	Merged-chr17-47922947-16
NR162--MA0690.1.TBX21	chr1	193285698	193285707	-	0.000	0.000	Merged-chr1-193285975-30
NR446--MA0690.1.TBX21	chr13	41345832	41345841	+	0.000	0.000	Merged-chr13-41345949-16
NR839--MA0690.1.TBX21	chr17	93158864	93158873	+	0.000	0.000	Merged-chr17-93158612-24
NR901--MA0690.1.TBX21	chr18	83465362	83465371	-	0.000	0.000	Merged-chr18-83465273-18
NR372--MA0690.1.TBX21	chr12	40427693	40427702	-	0.000	0.000	Merged-chr12-40427719-34
NR895--MA0690.1.TBX21	chr18	80642663	80642672	+	0.000	0.000	Merged-chr18-80642669-13
NR500--MA0690.1.TBX21	chr13	93073216	93073225	-	0.000	0.000	Merged-chr13-93073224-49
NR818--MA0690.1.TBX21	chr17	70942722	70942731	+	0.000	0.000	Merged-chr17-70942808-10
NR744--MA0690.1.TBX21	chr16	64796853	64796862	+	0.000	0.000	Merged-chr16-64796887-9
NR369--MA0690.1.TBX21	chr12	33220643	33220652	+	0.000	0.000	Merged-chr12-33220672-27
NR444--MA0690.1.TBX21	chr13	35841997	35842006	+	0.000	0.000	Merged-chr13-35841945-14
NR282--MA0690.1.TBX21	chr11	17005008	17005017	+	0.000	0.000	Merged-chr11-17005179-7
NR553--MA0690.1.TBX21	chr14	20479912	20479921	-	0.000	0.000	Merged-chr14-20479960-47
NR837--MA0690.1.TBX21	chr17	88701105	88701114	+	0.000	0.000	Merged-chr17-88701095-28
NR218--MA0690.1.TBX21	chr10	61560030	61560039	+	0.000	0.000	Merged-chr10-61559785-43
NR144--MA0690.1.TBX21	chr1	177676766	177676775	-	0.000	0.000	Merged-chr1-177676690-44
NR667--MA0690.1.TBX21	chr15	64249418	64249427	+	0.000	0.000	Merged-chr15-64249418-10
NR1632--MA0690.1.TBX21	chr6	124911746	124911755	+	0.000	0.000	Merged-chr6-124911783-36
NR388--MA0690.1.TBX21	chr12	84877011	84877020	-	0.000	0.000	Merged-chr12-84876943-28
NR128--MA0690.1.TBX21	chr1	164990068	164990077	+	0.000	0.000	Merged-chr1-164989943-18
NR1680--MA0690.1.TBX21	chr7	24467977	24467986	+	0.000	0.000	Merged-chr7-24468111-23
NR1998--MA0690.1.TBX21	chr9	112185873	112185882	-	0.000	0.000	Merged-chr9-112185998-1
NR1053--MA0690.1.TBX21	chr2	102034538	102034547	+	0.000	0.000	Merged-chr2-102034492-49
NR1011--MA0690.1.TBX21	chr2	51588219	51588228	-	0.000	0.000	Merged-chr2-51588305-7
NR591--MA0690.1.TBX21	chr14	73472648	73472657	-	0.000	0.000	Merged-chr14-73472602-8
NR1590--MA0690.1.TBX21	chr6	94636273	94636282	+	0.000	0.000	Merged-chr6-94636290-6
NR22--MA0690.1.TBX21	chr1	43767976	43767985	+	0.000	0.000	Merged-chr1-43767994-5
NR1874--MA0690.1.TBX21	chr8	81558766	81558775	+	0.000	0.000	Merged-chr8-81558760-48
NR841--MA0690.1.TBX21	chr18	11967343	11967352	+	0.000	0.000	Merged-chr18-11967276-33
NR1234--MA0690.1.TBX21	chr3	146173282	146173291	-	0.000	0.000	Merged-chr3-146173193-9
NR1138--MA0690.1.TBX21	chr3	21598181	21598190	-	0.000	0.000	Merged-chr3-21598278-24
NR562--MA0690.1.TBX21	chr14	30014621	30014630	+	0.000	0.000	Merged-chr14-30014704-42
NR1160--MA0690.1.TBX21	chr3	61344351	61344360	-	0.000	0.000	Merged-chr3-61344207-16
NR716--MA0690.1.TBX21	chr16	38549714	38549723	-	0.000	0.000	Merged-chr16-38549784-1
NR1335--MA0690.1.TBX21	chr4	120044820	120044829	-	0.000	0.000	Merged-chr4-120044912-16
NR62--MA0690.1.TBX21	chr1	89646887	89646896	+	0.000	0.000	Merged-chr1-89646801-35
NR1319--MA0690.1.TBX21	chr4	99100056	99100065	+	0.000	0.000	Merged-chr4-99100196-17
