#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR264--MA0463.1.Bcl6	chr10	111446208	111446221	-	0.000	0.000	Merged-chr10-111446386-39
NR394--MA0463.1.Bcl6	chr11	116377272	116377285	-	0.000	0.000	Merged-chr11-116377399-54
NR954--MA0463.1.Bcl6	chr18	32880600	32880613	-	0.000	0.000	Merged-chr18-32880667-46
NR992--MA0731.1.BCL6B	chr18	74789488	74789504	+	0.000	0.000	Merged-chr18-74789604-25
NR1430--MA0463.1.Bcl6	chr4	88179521	88179534	+	0.000	0.000	Merged-chr4-88179548-21
NR1799--MA0731.1.BCL6B	chr7	67308327	67308343	-	0.000	0.000	Merged-chr7-67308311-16
NR1663--MA0463.1.Bcl6	chr6	57814058	57814071	-	0.000	0.000	Merged-chr6-57814077-20
NR2077--MA0463.1.Bcl6	chr9	96785330	96785343	-	0.000	0.000	Merged-chr9-96785400-18
NR1346--MA0463.1.Bcl6	chr3	131250572	131250585	+	0.000	0.000	Merged-chr3-131250529-24
NR1154--MA0463.1.Bcl6	chr2	117374548	117374561	-	0.000	0.000	Merged-chr2-117374468-47
NR374--MA0463.1.Bcl6	chr11	98948149	98948162	+	0.000	0.000	Merged-chr11-98948156-24
NR1942--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR907--MA0463.1.Bcl6	chr17	50084090	50084103	+	0.000	0.000	Merged-chr17-50084129-24
NR1728--MA0731.1.BCL6B	chr6	127617401	127617417	-	0.000	0.000	Merged-chr6-127617353-34
NR88--MA0731.1.BCL6B	chr1	134098103	134098119	+	0.000	0.000	Merged-chr1-134098207-8
NR817--MA0731.1.BCL6B	chr16	50298933	50298949	+	0.000	0.000	Merged-chr16-50299012-15
NR2052--MA0463.1.Bcl6	chr9	78074163	78074176	-	0.000	0.000	Merged-chr9-78074095-46
NR961--MA0463.1.Bcl6	chr18	38365161	38365174	+	0.000	0.000	Merged-chr18-38365063-36
NR798--MA0731.1.BCL6B	chr16	21672094	21672110	+	0.000	0.000	Merged-chr16-21672078-13
NR1287--MA0731.1.BCL6B	chr3	95909392	95909408	+	0.000	0.000	Merged-chr3-95909537-31
NR634--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR523--MA0463.1.Bcl6	chr13	21750310	21750323	-	0.000	0.000	Merged-chr13-21750455-56
NR868--MA0463.1.Bcl6	chr17	3521440	3521453	-	0.000	0.000	Merged-chr17-3521498-21
NR59--MA0731.1.BCL6B	chr1	106601003	106601019	-	0.000	0.000	Merged-chr1-106601056-67
NR765--MA0463.1.Bcl6	chr15	77789313	77789326	-	0.000	0.000	Merged-chr15-77789452-41
NR407--MA0463.1.Bcl6	chr12	17387994	17388007	-	0.000	0.000	Merged-chr12-17388017-60
NR886--MA0463.1.Bcl6	chr17	32424202	32424215	-	0.000	0.000	Merged-chr17-32424197-48
NR1778--MA0463.1.Bcl6	chr7	38090387	38090400	-	0.000	0.000	Merged-chr7-38090413-30
NR1492--MA0463.1.Bcl6	chr4	138975489	138975502	+	0.000	0.000	Merged-chr4-138975429-9
NR552--MA0731.1.BCL6B	chr13	55513333	55513349	+	0.000	0.000	Merged-chr13-55513377-73
