#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR1560--MA0768.1.LEF1	chr2	132691812	132691826	+	0.000	0.000	Merged-chr2-132691913-20
NR1202--MA0768.1.LEF1	chr18	12876590	12876604	+	0.000	0.000	Merged-chr18-12876665-8
NR2762--MA0768.1.LEF1	chrX	159828200	159828214	+	0.000	0.000	Merged-chrX-159828290-35
NR2306--MA0768.1.LEF1	chr6	142567723	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR88--MA0768.1.LEF1	chr1	98088346	98088360	+	0.000	0.000	Merged-chr1-98088226-2
NR1060--MA0768.1.LEF1	chr16	84982743	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR827--MA0768.1.LEF1	chr14	78687432	78687446	+	0.000	0.000	Merged-chr14-78687431-2
NR1728--MA0768.1.LEF1	chr3	103862399	103862413	+	0.000	0.000	Merged-chr3-103862515-1
NR2608--MA0768.1.LEF1	chr9	42463999	42464013	+	0.000	0.000	Merged-chr9-42464013-7
NR2411--MA0768.1.LEF1	chr7	115218910	115218924	+	0.000	0.000	Merged-chr7-115218920-27
NR519--MA0768.1.LEF1	chr12	70713663	70713677	+	0.000	0.000	Merged-chr12-70713725-41
NR2535--MA0768.1.LEF1	chr8	95679373	95679387	+	0.000	0.000	Merged-chr8-95679341-1
NR980--MA0768.1.LEF1	chr16	7419921	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR32--MA0768.1.LEF1	chr1	52100603	52100617	-	0.000	0.000	Merged-chr1-52100715-41
NR1993--MA0768.1.LEF1	chr5	24894949	24894963	-	0.000	0.000	Merged-chr5-24894966-9
NR1550--MA0768.1.LEF1	chr2	127923292	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR341--MA0768.1.LEF1	chr10	111446559	111446573	-	0.000	0.000	Merged-chr10-111446386-39
NR1699--MA0768.1.LEF1	chr3	81489540	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR1082--MA0768.1.LEF1	chr16	95134312	95134326	-	0.000	0.000	Merged-chr16-95134376-1
NR298--MA0768.1.LEF1	chr10	81249641	81249655	-	0.000	0.000	Merged-chr10-81249714-12
NR974--MA0768.1.LEF1	chr15	102165933	102165947	+	0.000	0.000	Merged-chr15-102165758-28
NR71--MA0768.1.LEF1	chr1	85961046	85961060	+	0.000	0.000	Merged-chr1-85961052-28
NR1692--MA0768.1.LEF1	chr3	79129253	79129267	-	0.000	0.000	Merged-chr3-79129160-12
NR684--MA0768.1.LEF1	chr13	85505140	85505154	-	0.000	0.000	Merged-chr13-85505133-53
NR317--MA0768.1.LEF1	chr10	93050741	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR1058--MA0768.1.LEF1	chr16	78595986	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR1672--MA0768.1.LEF1	chr3	61368867	61368881	+	0.000	0.000	Merged-chr3-61368860-22
NR897--MA0768.1.LEF1	chr15	31649926	31649940	+	0.000	0.000	Merged-chr15-31649789-27
NR1700--MA0768.1.LEF1	chr3	84569605	84569619	+	0.000	0.000	Merged-chr3-84569742-8
NR365--MA0768.1.LEF1	chr10	128039312	128039326	-	0.000	0.000	Merged-chr10-128039274-35
NR1205--MA0768.1.LEF1	chr18	15331923	15331937	-	0.000	0.000	Merged-chr18-15331866-28
NR2550--MA0768.1.LEF1	chr8	111941182	111941196	+	0.000	0.000	Merged-chr8-111941211-2
NR1595--MA0768.1.LEF1	chr2	150134372	150134386	-	0.000	0.000	Merged-chr2-150134419-14
NR2587--MA0768.1.LEF1	chr9	24331761	24331775	+	0.000	0.000	Merged-chr9-24331833-14
NR256--MA0768.1.LEF1	chr10	50650805	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR2395--MA0768.1.LEF1	chr7	101635945	101635959	+	0.000	0.000	Merged-chr7-101636183-33
NR2549--MA0768.1.LEF1	chr8	111582535	111582549	-	0.000	0.000	Merged-chr8-111582684-27
NR1379--MA0768.1.LEF1	chr2	6716854	6716868	-	0.000	0.000	Merged-chr2-6716828-13
NR2008--MA0768.1.LEF1	chr5	44180969	44180983	-	0.000	0.000	Merged-chr5-44180865-15
NR1970--MA0768.1.LEF1	chr4	155082287	155082301	+	0.000	0.000	Merged-chr4-155082260-14
NR239--MA0768.1.LEF1	chr10	25387443	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR1731--MA0768.1.LEF1	chr3	107185841	107185855	-	0.000	0.000	Merged-chr3-107185785-15
NR2248--MA0768.1.LEF1	chr6	103565084	103565098	+	0.000	0.000	Merged-chr6-103565102-16
NR1861--MA0768.1.LEF1	chr4	54855960	54855974	+	0.000	0.000	Merged-chr4-54855897-1
NR2181--MA0768.1.LEF1	chr6	51509992	51510006	-	0.000	0.000	Merged-chr6-51509825-65
NR2607--MA0768.1.LEF1	chr9	42423787	42423801	+	0.000	0.000	Merged-chr9-42423784-11
NR102--MA0768.1.LEF1	chr1	108038613	108038627	-	0.000	0.000	Merged-chr1-108038539-17
NR1115--MA0768.1.LEF1	chr17	23969057	23969071	+	0.000	0.000	Merged-chr17-23969178-28
NR899--MA0768.1.LEF1	chr15	35917965	35917979	+	0.000	0.000	Merged-chr15-35918069-6
NR1339--MA0768.1.LEF1	chr19	38837528	38837542	-	0.000	0.000	Merged-chr19-38837457-3
NR2143--MA0768.1.LEF1	chr6	5147853	5147867	+	0.000	0.000	Merged-chr6-5147663-1
