#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1633--MA0690.1.TBX21	chr6	127103071	127103080	+	0.000	0.000	Merged-chr6-127103000-20
NR1917--MA0690.1.TBX21	chr8	126856168	126856177	-	0.000	0.000	Merged-chr8-126856288-57
NR1484--MA0690.1.TBX21	chr5	124084492	124084501	-	0.000	0.000	Merged-chr5-124084583-83
NR259--MA0690.1.TBX21	chr10	119031129	119031138	-	0.000	0.000	Merged-chr10-119031155-35
NR1864--MA0690.1.TBX21	chr8	68218616	68218625	-	0.000	0.000	Merged-chr8-68218689-19
NR1102--MA0690.1.TBX21	chr2	160657931	160657940	+	0.000	0.000	Merged-chr2-160657923-30
NR1638--MA0690.1.TBX21	chr6	129747367	129747376	-	0.000	0.000	Merged-chr6-129747542-62
NR1713--MA0690.1.TBX21	chr7	79249797	79249806	+	0.000	0.000	Merged-chr7-79249720-34
NR1617--MA0690.1.TBX21	chr6	114883657	114883666	+	0.000	0.000	Merged-chr6-114883519-32
NR1203--MA0690.1.TBX21	chr3	115799524	115799533	-	0.000	0.000	Merged-chr3-115799463-50
NR510--MA0690.1.TBX21	chr13	101707431	101707440	+	0.000	0.000	Merged-chr13-101707362-90
NR1033--MA0690.1.TBX21	chr2	68430657	68430666	+	0.000	0.000	Merged-chr2-68430660-54
NR980--MA0690.1.TBX21	chr2	25170441	25170450	+	0.000	0.000	Merged-chr2-25170502-21
NR31--MA0690.1.TBX21	chr1	58739651	58739660	+	0.000	0.000	Merged-chr1-58739567-20
NR470--MA0690.1.TBX21	chr13	60935247	60935256	-	0.000	0.000	Merged-chr13-60935285-22
NR993--MA0690.1.TBX21	chr2	32166597	32166606	+	0.000	0.000	Merged-chr2-32166737-9
NR1949--MA0690.1.TBX21	chr9	55388247	55388256	+	0.000	0.000	Merged-chr9-55388103-42
NR1806--MA0690.1.TBX21	chr7	143644106	143644115	+	0.000	0.000	Merged-chr7-143644190-29
NR611--MA0690.1.TBX21	chr14	103363151	103363160	+	0.000	0.000	Merged-chr14-103363341-36
NR592--MA0690.1.TBX21	chr14	73476543	73476552	+	0.000	0.000	Merged-chr14-73476572-35
NR1038--MA0690.1.TBX21	chr2	72365494	72365503	-	0.000	0.000	Merged-chr2-72365558-19
NR1352--MA0690.1.TBX21	chr4	132775100	132775109	-	0.000	0.000	Merged-chr4-132775105-24
NR1190--MA0690.1.TBX21	chr3	100442894	100442903	-	0.000	0.000	Merged-chr3-100442814-47
NR680--MA0690.1.TBX21	chr15	78564067	78564076	+	0.000	0.000	Merged-chr15-78564204-56
NR1907--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR1126--MA0690.1.TBX21	chr2	180074455	180074464	+	0.000	0.000	Merged-chr2-180074483-5
NR964--MA0690.1.TBX21	chr2	9801707	9801716	+	0.000	0.000	Merged-chr2-9801686-39
NR1649--MA0690.1.TBX21	chr6	140314167	140314176	-	0.000	0.000	Merged-chr6-140314075-23
NR1105--MA0690.1.TBX21	chr2	163426683	163426692	-	0.000	0.000	Merged-chr2-163426594-15
NR576--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR1195--MA0690.1.TBX21	chr3	104780691	104780700	-	0.000	0.000	Merged-chr3-104780834-109
NR1989--MA0690.1.TBX21	chr9	107334440	107334449	-	0.000	0.000	Merged-chr9-107334469-86
NR271--MA0690.1.TBX21	chr10	127141095	127141104	-	0.000	0.000	Merged-chr10-127141144-2
NR1607--MA0690.1.TBX21	chr6	108310211	108310220	-	0.000	0.000	Merged-chr6-108310107-36
NR826--MA0690.1.TBX21	chr17	84166760	84166769	+	0.000	0.000	Merged-chr17-84166652-22
NR1567--MA0690.1.TBX21	chr6	72660174	72660183	+	0.000	0.000	Merged-chr6-72660096-30
NR861--MA0690.1.TBX21	chr18	39282325	39282334	+	0.000	0.000	Merged-chr18-39282313-47
NR1275--MA0690.1.TBX21	chr4	32127001	32127010	+	0.000	0.000	Merged-chr4-32126903-56
NR330--MA0690.1.TBX21	chr11	95000797	95000806	-	0.000	0.000	Merged-chr11-95001009-42
