#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1960--MA0690.1.TBX21	chr7	4464371	4464380	-	0.000	0.000	Merged-chr7-4464501-45
NR1986--MA0690.1.TBX21	chr7	47113533	47113542	-	0.000	0.000	Merged-chr7-47113657-15
NR1747--MA0690.1.TBX21	chr5	115526696	115526705	-	0.000	0.000	Merged-chr5-115526646-4
NR1203--MA0690.1.TBX21	chr2	34494373	34494382	+	0.000	0.000	Merged-chr2-34494375-14
NR980--MA0690.1.TBX21	chr17	35817691	35817700	+	0.000	0.000	Merged-chr17-35817739-6
NR1046--MA0690.1.TBX21	chr18	12473266	12473275	+	0.000	0.000	Merged-chr18-12473315-14
NR884--MA0690.1.TBX21	chr16	30009096	30009105	-	0.000	0.000	Merged-chr16-30009046-56
NR1230--MA0690.1.TBX21	chr2	60165887	60165896	-	0.000	0.000	Merged-chr2-60166003-27
NR1277--MA0690.1.TBX21	chr2	117313830	117313839	+	0.000	0.000	Merged-chr2-117313708-68
NR1405--MA0690.1.TBX21	chr3	68790886	68790895	-	0.000	0.000	Merged-chr3-68790735-6
NR92--MA0690.1.TBX21	chr1	126400133	126400142	+	0.000	0.000	Merged-chr1-126400157-1
NR420--MA0690.1.TBX21	chr11	83640445	83640454	-	0.000	0.000	Merged-chr11-83640282-44
NR1099--MA0690.1.TBX21	chr18	81385711	81385720	+	0.000	0.000	Merged-chr18-81385709-31
NR2090--MA0690.1.TBX21	chr7	142435690	142435699	-	0.000	0.000	Merged-chr7-142435660-33
NR1689--MA0690.1.TBX21	chr5	68033433	68033442	+	0.000	0.000	Merged-chr5-68033501-23
NR242--MA0690.1.TBX21	chr10	26228357	26228366	+	0.000	0.000	Merged-chr10-26228346-20
NR417--MA0690.1.TBX21	chr11	83541052	83541061	+	0.000	0.000	Merged-chr11-83541106-19
NR68--MA0690.1.TBX21	chr1	91507402	91507411	-	0.000	0.000	Merged-chr1-91507469-20
NR2223--MA0690.1.TBX21	chr9	22650014	22650023	+	0.000	0.000	Merged-chr9-22649822-33
NR221--MA0690.1.TBX21	chr10	18923680	18923689	+	0.000	0.000	Merged-chr10-18923473-26
NR125--MA0690.1.TBX21	chr1	151581916	151581925	-	0.000	0.000	Merged-chr1-151582085-10
NR1961--MA0690.1.TBX21	chr7	4464490	4464499	+	0.000	0.000	Merged-chr7-4464501-45
NR2324--MA0690.1.TBX21	chr9	118374902	118374911	+	0.000	0.000	Merged-chr9-118374902-24
NR322--MA0690.1.TBX21	chr10	117969955	117969964	+	0.000	0.000	Merged-chr10-117970017-9
NR845--MA0690.1.TBX21	chr15	82912242	82912251	-	0.000	0.000	Merged-chr15-82912110-22
NR348--MA0690.1.TBX21	chr11	5005454	5005463	+	0.000	0.000	Merged-chr11-5005546-13
NR566--MA0690.1.TBX21	chr13	19457280	19457289	+	0.000	0.000	Merged-chr13-19457344-7
NR2263--MA0690.1.TBX21	chr9	61722032	61722041	-	0.000	0.000	Merged-chr9-61722013-20
NR131--MA0690.1.TBX21	chr1	156923093	156923102	-	0.000	0.000	Merged-chr1-156923049-12
NR2351--MA0690.1.TBX21	chrX	103394314	103394323	+	0.000	0.000	Merged-chrX-103394131-19
NR537--MA0690.1.TBX21	chr12	110559567	110559576	+	0.000	0.000	Merged-chr12-110559537-7
NR1462--MA0690.1.TBX21	chr3	135579533	135579542	-	0.000	0.000	Merged-chr3-135579457-44
NR1746--MA0690.1.TBX21	chr5	115313773	115313782	+	0.000	0.000	Merged-chr5-115313738-19
NR2295--MA0690.1.TBX21	chr9	95845004	95845013	-	0.000	0.000	Merged-chr9-95845141-41
NR1821--MA0690.1.TBX21	chr6	32779659	32779668	-	0.000	0.000	Merged-chr6-32779774-10
NR1868--MA0690.1.TBX21	chr6	90746345	90746354	+	0.000	0.000	Merged-chr6-90746372-25
NR1725--MA0690.1.TBX21	chr5	105610010	105610019	-	0.000	0.000	Merged-chr5-105609798-27
NR1040--MA0690.1.TBX21	chr17	88701105	88701114	+	0.000	0.000	Merged-chr17-88701095-28
NR1311--MA0690.1.TBX21	chr2	144489493	144489502	+	0.000	0.000	Merged-chr2-144489532-6
NR1576--MA0690.1.TBX21	chr4	102545344	102545353	-	0.000	0.000	Merged-chr4-102545412-1
NR1786--MA0690.1.TBX21	chr5	146757450	146757459	+	0.000	0.000	Merged-chr5-146757539-9
NR1481--MA0690.1.TBX21	chr3	144561697	144561706	+	0.000	0.000	Merged-chr3-144561824-38
NR1404--MA0690.1.TBX21	chr3	65985096	65985105	-	0.000	0.000	Merged-chr3-65985116-9
NR1080--MA0690.1.TBX21	chr18	65207721	65207730	-	0.000	0.000	Merged-chr18-65207601-18
NR963--MA0690.1.TBX21	chr17	24063746	24063755	+	0.000	0.000	Merged-chr17-24063697-12
NR1098--MA0690.1.TBX21	chr18	80642663	80642672	+	0.000	0.000	Merged-chr18-80642669-13
NR1587--MA0690.1.TBX21	chr4	116701079	116701088	-	0.000	0.000	Merged-chr4-116701085-12
NR1030--MA0690.1.TBX21	chr17	84166624	84166633	+	0.000	0.000	Merged-chr17-84166652-22
NR1688--MA0690.1.TBX21	chr5	68033413	68033422	-	0.000	0.000	Merged-chr5-68033501-23
NR241--MA0690.1.TBX21	chr10	26228344	26228353	+	0.000	0.000	Merged-chr10-26228346-20
NR1035--MA0690.1.TBX21	chr17	86832827	86832836	+	0.000	0.000	Merged-chr17-86833009-31
NR525--MA0690.1.TBX21	chr12	102641790	102641799	+	0.000	0.000	Merged-chr12-102641833-10
NR472--MA0690.1.TBX21	chr12	3524421	3524430	+	0.000	0.000	Merged-chr12-3524419-17
NR995--MA0690.1.TBX21	chr17	50070269	50070278	+	0.000	0.000	Merged-chr17-50070273-24
NR1789--MA0690.1.TBX21	chr5	146857849	146857858	+	0.000	0.000	Merged-chr5-146857816-33
NR961--MA0690.1.TBX21	chr17	23748250	23748259	-	0.000	0.000	Merged-chr17-23748319-15
NR2182--MA0690.1.TBX21	chr8	120396913	120396922	+	0.000	0.000	Merged-chr8-120396987-32
