#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR4863--MA0769.1.Tcf7	chr4	135153156	135153167	+	0.000	0.000	Merged-chr4-135153100-1
NR3957--MA1421.1.TCF7L1	chr2	157203733	157203744	-	0.000	0.000	Merged-chr2-157203644-2
NR6504--MA1421.1.TCF7L1	chr8	120702002	120702013	-	0.000	0.000	Merged-chr8-120702084-56
NR5485--MA1421.1.TCF7L1	chr6	54703080	54703091	-	0.000	0.000	Merged-chr6-54703132-16
NR2133--MA0769.1.Tcf7	chr14	55913601	55913612	-	0.000	0.000	Merged-chr14-55913661-13
NR5076--MA0769.1.Tcf7	chr5	62763208	62763219	+	0.000	0.000	Merged-chr5-62763141-17
NR6104--MA1421.1.TCF7L1	chr7	109528566	109528577	+	0.000	0.000	Merged-chr7-109528598-2
NR6470--MA0523.1.TCF7L2	chr8	115112221	115112234	+	0.000	0.000	Merged-chr8-115112311-24
NR698--MA1421.1.TCF7L1	chr10	43996449	43996460	+	0.000	0.000	Merged-chr10-43996389-38
NR5300--MA0769.1.Tcf7	chr5	125271938	125271949	+	0.000	0.000	Merged-chr5-125271799-10
NR3107--MA0769.1.Tcf7	chr18	39106313	39106324	+	0.000	0.000	Merged-chr18-39106187-8
NR479--MA1421.1.TCF7L1	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR4132--MA1421.1.TCF7L1	chr3	59260962	59260973	-	0.000	0.000	Merged-chr3-59260932-51
NR2174--MA0769.1.Tcf7	chr14	68078402	68078413	-	0.000	0.000	Merged-chr14-68078565-20
NR4398--MA1421.1.TCF7L1	chr3	136531626	136531637	-	0.000	0.000	Merged-chr3-136531691-41
NR4073--MA0523.1.TCF7L2	chr3	16227529	16227542	-	0.000	0.000	Merged-chr3-16227487-10
NR1617--MA0769.1.Tcf7	chr12	113994671	113994682	-	0.000	0.000	Merged-chr12-113994539-49
NR5287--MA1421.1.TCF7L1	chr5	122430228	122430239	+	0.000	0.000	Merged-chr5-122430278-22
NR2398--MA0769.1.Tcf7	chr15	59641420	59641431	+	0.000	0.000	Merged-chr15-59641442-25
NR6512--MA1421.1.TCF7L1	chr8	121962918	121962929	-	0.000	0.000	Merged-chr8-121963048-7
NR2058--MA0769.1.Tcf7	chr14	26919471	26919482	-	0.000	0.000	Merged-chr14-26919575-5
NR12--MA1421.1.TCF7L1	chr1	16228042	16228053	-	0.000	0.000	Merged-chr1-16228179-38
NR5876--MA1421.1.TCF7L1	chr7	16906230	16906241	+	0.000	0.000	Merged-chr7-16906031-31
NR2076--MA0769.1.Tcf7	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR3291--MA0523.1.TCF7L2	chr19	11516765	11516778	+	0.000	0.000	Merged-chr19-11516991-67
NR2074--MA1421.1.TCF7L1	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR985--MA0769.1.Tcf7	chr10	128039315	128039326	-	0.000	0.000	Merged-chr10-128039274-35
NR627--MA0769.1.Tcf7	chr10	19578315	19578326	-	0.000	0.000	Merged-chr10-19578163-111
NR4319--MA0523.1.TCF7L2	chr3	123459652	123459665	+	0.000	0.000	Merged-chr3-123459627-23
NR850--MA0523.1.TCF7L2	chr10	95262561	95262574	+	0.000	0.000	Merged-chr10-95262672-51
NR2433--MA0523.1.TCF7L2	chr15	66815757	66815770	-	0.000	0.000	Merged-chr15-66815683-20
NR6449--MA0523.1.TCF7L2	chr8	94956393	94956406	-	0.000	0.000	Merged-chr8-94956275-4
NR381--MA0523.1.TCF7L2	chr1	156710949	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR4368--MA0769.1.Tcf7	chr3	133392034	133392045	-	0.000	0.000	Merged-chr3-133392067-9
NR6186--MA0523.1.TCF7L2	chr7	125511553	125511566	+	0.000	0.000	Merged-chr7-125511628-40
NR202--MA0769.1.Tcf7	chr1	91093484	91093495	-	0.000	0.000	Merged-chr1-91093429-45
NR2444--MA1421.1.TCF7L1	chr15	67158783	67158794	-	0.000	0.000	Merged-chr15-67158847-15
NR6064--MA1421.1.TCF7L1	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR6270--MA1421.1.TCF7L1	chr7	143644168	143644179	-	0.000	0.000	Merged-chr7-143644190-29
NR1900--MA0769.1.Tcf7	chr13	95449979	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR1182--MA0523.1.TCF7L2	chr11	86430515	86430528	+	0.000	0.000	Merged-chr11-86430506-15
NR2417--MA0769.1.Tcf7	chr15	62374854	62374865	+	0.000	0.000	Merged-chr15-62374783-6
NR659--MA0769.1.Tcf7	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR6105--MA0769.1.Tcf7	chr7	109528566	109528577	+	0.000	0.000	Merged-chr7-109528598-2
NR2681--MA0769.1.Tcf7	chr16	38756077	38756088	+	0.000	0.000	Merged-chr16-38756031-13
NR1784--MA0523.1.TCF7L2	chr13	51951834	51951847	-	0.000	0.000	Merged-chr13-51951802-36
NR3480--MA0523.1.TCF7L2	chr2	17597779	17597792	+	0.000	0.000	Merged-chr2-17597899-18
NR4187--MA1421.1.TCF7L1	chr3	86206677	86206688	+	0.000	0.000	Merged-chr3-86206725-10
NR6051--MA1421.1.TCF7L1	chr7	90007426	90007437	+	0.000	0.000	Merged-chr7-90007418-46
NR4957--MA1421.1.TCF7L1	chr5	8807731	8807742	+	0.000	0.000	Merged-chr5-8807918-2
NR2416--MA0523.1.TCF7L2	chr15	62374854	62374867	+	0.000	0.000	Merged-chr15-62374783-6
NR6653--MA1421.1.TCF7L1	chr9	56273653	56273664	+	0.000	0.000	Merged-chr9-56273762-19
NR1565--MA0523.1.TCF7L2	chr12	107144655	107144668	-	0.000	0.000	Merged-chr12-107144688-5
NR480--MA0769.1.Tcf7	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR2153--MA0523.1.TCF7L2	chr14	62873097	62873110	-	0.000	0.000	Merged-chr14-62873140-26
NR6459--MA0769.1.Tcf7	chr8	110813241	110813252	+	0.000	0.000	Merged-chr8-110813191-16
NR4633--MA0769.1.Tcf7	chr4	59806907	59806918	-	0.000	0.000	Merged-chr4-59806755-11
NR3219--MA0523.1.TCF7L2	chr18	74880277	74880290	+	0.000	0.000	Merged-chr18-74880525-86
NR2801--MA1421.1.TCF7L1	chr16	93977944	93977955	-	0.000	0.000	Merged-chr16-93977807-10
NR625--MA1421.1.TCF7L1	chr10	19578315	19578326	-	0.000	0.000	Merged-chr10-19578163-111
NR1357--MA1421.1.TCF7L1	chr12	25256494	25256505	+	0.000	0.000	Merged-chr12-25256439-11
NR382--MA0769.1.Tcf7	chr1	156710951	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR1935--MA0523.1.TCF7L2	chr13	104615086	104615099	-	0.000	0.000	Merged-chr13-104615216-10
NR3091--MA1421.1.TCF7L1	chr18	34827795	34827806	-	0.000	0.000	Merged-chr18-34827772-23
NR5183--MA1421.1.TCF7L1	chr5	97983291	97983302	+	0.000	0.000	Merged-chr5-97983447-49
NR5083--MA0769.1.Tcf7	chr5	64045294	64045305	-	0.000	0.000	Merged-chr5-64045165-50
NR924--MA0769.1.Tcf7	chr10	117056130	117056141	+	0.000	0.000	Merged-chr10-117056166-30
NR6052--MA0769.1.Tcf7	chr7	90007426	90007437	+	0.000	0.000	Merged-chr7-90007418-46
NR4893--MA0769.1.Tcf7	chr4	141917967	141917978	+	0.000	0.000	Merged-chr4-141918116-30
NR4320--MA0769.1.Tcf7	chr3	123459652	123459663	+	0.000	0.000	Merged-chr3-123459627-23
NR3481--MA0769.1.Tcf7	chr2	17597779	17597790	+	0.000	0.000	Merged-chr2-17597899-18
NR3020--MA0769.1.Tcf7	chr17	83832195	83832206	-	0.000	0.000	Merged-chr17-83832348-24
NR5323--MA0523.1.TCF7L2	chr5	137870834	137870847	+	0.000	0.000	Merged-chr5-137870793-17
NR3833--MA0523.1.TCF7L2	chr2	129180195	129180208	-	0.000	0.000	Merged-chr2-129180074-1
NR1148--MA0523.1.TCF7L2	chr11	75472913	75472926	-	0.000	0.000	Merged-chr11-75472911-35
NR5987--MA1421.1.TCF7L1	chr7	74509447	74509458	-	0.000	0.000	Merged-chr7-74509389-8
NR177--MA0769.1.Tcf7	chr1	87378189	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR5803--MA1421.1.TCF7L1	chr6	144333302	144333313	+	0.000	0.000	Merged-chr6-144333219-22
NR5310--MA0523.1.TCF7L2	chr5	134269609	134269622	+	0.000	0.000	Merged-chr5-134269909-65
NR6480--MA1421.1.TCF7L1	chr8	116717017	116717028	+	0.000	0.000	Merged-chr8-116716942-1
NR2391--MA1421.1.TCF7L1	chr15	58750194	58750205	-	0.000	0.000	Merged-chr15-58750240-28
NR5912--MA0523.1.TCF7L2	chr7	31086476	31086489	+	0.000	0.000	Merged-chr7-31086534-15
NR2544--MA0523.1.TCF7L2	chr15	96583363	96583376	+	0.000	0.000	Merged-chr15-96583564-65
NR5657--MA0769.1.Tcf7	chr6	115513323	115513334	-	0.000	0.000	Merged-chr6-115513314-25
NR6164--MA0523.1.TCF7L2	chr7	120921346	120921359	-	0.000	0.000	Merged-chr7-120921372-21
NR2750--MA0523.1.TCF7L2	chr16	76323634	76323647	-	0.000	0.000	Merged-chr16-76323771-64
NR6004--MA1421.1.TCF7L1	chr7	78762911	78762922	+	0.000	0.000	Merged-chr7-78763113-9
NR4697--MA0769.1.Tcf7	chr4	88693578	88693589	-	0.000	0.000	Merged-chr4-88693660-22
NR6210--MA1421.1.TCF7L1	chr7	130816459	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR4455--MA0523.1.TCF7L2	chr3	144380111	144380124	+	0.000	0.000	Merged-chr3-144380037-3
NR5908--MA0523.1.TCF7L2	chr7	29954096	29954109	-	0.000	0.000	Merged-chr7-29953925-83
NR2625--MA0769.1.Tcf7	chr16	23308225	23308236	-	0.000	0.000	Merged-chr16-23308226-35
NR858--MA0769.1.Tcf7	chr10	96115332	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR1759--MA0769.1.Tcf7	chr13	44395000	44395011	-	0.000	0.000	Merged-chr13-44394997-10
NR6585--MA0523.1.TCF7L2	chr9	14908165	14908178	+	0.000	0.000	Merged-chr9-14908176-52
NR605--MA0523.1.TCF7L2	chr10	9880581	9880594	-	0.000	0.000	Merged-chr10-9880520-21
NR1786--MA1421.1.TCF7L1	chr13	52914235	52914246	+	0.000	0.000	Merged-chr13-52914373-76
NR995--MA0523.1.TCF7L2	chr10	128991086	128991099	+	0.000	0.000	Merged-chr10-128991197-23
NR4891--MA1421.1.TCF7L1	chr4	141917967	141917978	+	0.000	0.000	Merged-chr4-141918116-30
NR4274--MA0523.1.TCF7L2	chr3	107061643	107061656	+	0.000	0.000	Merged-chr3-107061699-25
NR3057--MA0769.1.Tcf7	chr18	4369217	4369228	+	0.000	0.000	Merged-chr18-4369357-16
NR1903--MA1421.1.TCF7L1	chr13	95685853	95685864	-	0.000	0.000	Merged-chr13-95685937-61
NR2624--MA1421.1.TCF7L1	chr16	23308225	23308236	-	0.000	0.000	Merged-chr16-23308226-35
NR4277--MA0769.1.Tcf7	chr3	107185708	107185719	+	0.000	0.000	Merged-chr3-107185785-15
NR2545--MA0769.1.Tcf7	chr15	96583564	96583575	+	0.000	0.000	Merged-chr15-96583564-65
NR572--MA0769.1.Tcf7	chr1	191956264	191956275	-	0.000	0.000	Merged-chr1-191956087-10
NR1760--MA1421.1.TCF7L1	chr13	44807244	44807255	-	0.000	0.000	Merged-chr13-44807320-10
NR1592--MA1421.1.TCF7L1	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR435--MA1421.1.TCF7L1	chr1	165986106	165986117	-	0.000	0.000	Merged-chr1-165985990-54
NR5283--MA0523.1.TCF7L2	chr5	122143790	122143803	-	0.000	0.000	Merged-chr5-122143797-29
NR2552--MA0523.1.TCF7L2	chr15	98623469	98623482	+	0.000	0.000	Merged-chr15-98623504-45
NR3031--MA1421.1.TCF7L1	chr17	86200454	86200465	-	0.000	0.000	Merged-chr17-86200490-5
NR5385--MA0769.1.Tcf7	chr6	5148200	5148211	-	0.000	0.000	Merged-chr6-5148035-17
NR3536--MA0523.1.TCF7L2	chr2	37565776	37565789	-	0.000	0.000	Merged-chr2-37565860-32
NR1373--MA1421.1.TCF7L1	chr12	35641147	35641158	+	0.000	0.000	Merged-chr12-35641137-33
NR2429--MA0769.1.Tcf7	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR5595--MA1421.1.TCF7L1	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR6372--MA0769.1.Tcf7	chr8	61234469	61234480	-	0.000	0.000	Merged-chr8-61234542-15
NR2371--MA0523.1.TCF7L2	chr15	52753837	52753850	+	0.000	0.000	Merged-chr15-52753697-52
NR759--MA0523.1.TCF7L2	chr10	75294288	75294301	-	0.000	0.000	Merged-chr10-75294298-11
NR5013--MA0523.1.TCF7L2	chr5	29895246	29895259	+	0.000	0.000	Merged-chr5-29895249-11
NR856--MA1421.1.TCF7L1	chr10	96115332	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR1129--MA0769.1.Tcf7	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR2152--MA0523.1.TCF7L2	chr14	62627559	62627572	+	0.000	0.000	Merged-chr14-62627525-13
NR2465--MA0769.1.Tcf7	chr15	73182578	73182589	+	0.000	0.000	Merged-chr15-73182706-35
NR4846--MA0523.1.TCF7L2	chr4	129365361	129365374	+	0.000	0.000	Merged-chr4-129365384-41
NR6050--MA0769.1.Tcf7	chr7	90004036	90004047	+	0.000	0.000	Merged-chr7-90004026-23
NR2285--MA0523.1.TCF7L2	chr14	121830283	121830296	-	0.000	0.000	Merged-chr14-121830164-49
NR4884--MA0523.1.TCF7L2	chr4	139367504	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR3944--MA0523.1.TCF7L2	chr2	152803330	152803343	-	0.000	0.000	Merged-chr2-152803348-34
NR5744--MA0769.1.Tcf7	chr6	130031788	130031799	+	0.000	0.000	Merged-chr6-130031811-45
NR1208--MA0523.1.TCF7L2	chr11	97810629	97810642	-	0.000	0.000	Merged-chr11-97810529-18
NR1899--MA0523.1.TCF7L2	chr13	95449977	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR514--MA0523.1.TCF7L2	chr1	180940844	180940857	-	0.000	0.000	Merged-chr1-180940937-14
NR3993--MA1421.1.TCF7L1	chr2	164868652	164868663	+	0.000	0.000	Merged-chr2-164868622-33
NR3108--MA0769.1.Tcf7	chr18	39141919	39141930	-	0.000	0.000	Merged-chr18-39141814-16
NR5995--MA0769.1.Tcf7	chr7	75486319	75486330	+	0.000	0.000	Merged-chr7-75486326-35
NR851--MA0769.1.Tcf7	chr10	95262561	95262572	+	0.000	0.000	Merged-chr10-95262672-51
NR3254--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR6982--MA0769.1.Tcf7	chrX	75056245	75056256	+	0.000	0.000	Merged-chrX-75056362-10
NR1835--MA0523.1.TCF7L2	chr13	73491212	73491225	-	0.000	0.000	Merged-chr13-73491277-13
NR2122--MA0523.1.TCF7L2	chr14	54578411	54578424	+	0.000	0.000	Merged-chr14-54578277-39
NR6069--MA0769.1.Tcf7	chr7	98797795	98797806	+	0.000	0.000	Merged-chr7-98797577-28
NR2680--MA0523.1.TCF7L2	chr16	38756077	38756090	+	0.000	0.000	Merged-chr16-38756031-13
NR3106--MA0523.1.TCF7L2	chr18	39106313	39106326	+	0.000	0.000	Merged-chr18-39106187-8
NR3256--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR2708--MA0769.1.Tcf7	chr16	49772876	49772887	+	0.000	0.000	Merged-chr16-49772867-33
NR1545--MA1421.1.TCF7L1	chr12	102945789	102945800	+	0.000	0.000	Merged-chr12-102945751-11
NR5068--MA0523.1.TCF7L2	chr5	52245286	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR5682--MA0769.1.Tcf7	chr6	120181446	120181457	-	0.000	0.000	Merged-chr6-120181471-9
NR5324--MA0769.1.Tcf7	chr5	137870834	137870845	+	0.000	0.000	Merged-chr5-137870793-17
NR2059--MA0769.1.Tcf7	chr14	27262542	27262553	-	0.000	0.000	Merged-chr14-27262535-17
NR1229--MA0523.1.TCF7L2	chr11	99171001	99171014	+	0.000	0.000	Merged-chr11-99171024-43
NR5298--MA1421.1.TCF7L1	chr5	125271938	125271949	+	0.000	0.000	Merged-chr5-125271799-10
NR3292--MA0769.1.Tcf7	chr19	11516765	11516776	+	0.000	0.000	Merged-chr19-11516991-67
NR5454--MA0769.1.Tcf7	chr6	41163688	41163699	+	0.000	0.000	Merged-chr6-41163628-13
NR5548--MA1421.1.TCF7L1	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR6464--MA0523.1.TCF7L2	chr8	111812443	111812456	+	0.000	0.000	Merged-chr8-111812311-3
NR316--MA0523.1.TCF7L2	chr1	138972776	138972789	-	0.000	0.000	Merged-chr1-138972851-19
NR525--MA0769.1.Tcf7	chr1	184013232	184013243	-	0.000	0.000	Merged-chr1-184013369-24
NR5489--MA0523.1.TCF7L2	chr6	54926015	54926028	+	0.000	0.000	Merged-chr6-54926058-40
NR3946--MA0769.1.Tcf7	chr2	153211588	153211599	-	0.000	0.000	Merged-chr2-153211681-14
NR3795--MA1421.1.TCF7L1	chr2	117418888	117418899	-	0.000	0.000	Merged-chr2-117418760-26
