#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1383--MA0690.1.TBX21	chr4	154936066	154936075	+	0.000	0.000	Merged-chr4-154936025-18
NR20--MA0690.1.TBX21	chr1	43501267	43501276	+	0.000	0.000	Merged-chr1-43501314-13
NR158--MA0690.1.TBX21	chr1	191520000	191520009	+	0.000	0.000	Merged-chr1-191519897-26
NR1872--MA0690.1.TBX21	chr8	79534598	79534607	+	0.000	0.000	Merged-chr8-79534488-18
NR1110--MA0690.1.TBX21	chr2	169398756	169398765	-	0.000	0.000	Merged-chr2-169398588-9
NR1776--MA0690.1.TBX21	chr7	127342476	127342485	-	0.000	0.000	Merged-chr7-127342580-14
NR408--MA0690.1.TBX21	chr12	103995447	103995456	-	0.000	0.000	Merged-chr12-103995489-26
NR1755--MA0690.1.TBX21	chr7	115218901	115218910	+	0.000	0.000	Merged-chr7-115218920-27
NR1070--MA0690.1.TBX21	chr2	117541615	117541624	-	0.000	0.000	Merged-chr2-117541730-22
NR1721--MA0690.1.TBX21	chr7	84149056	84149065	-	0.000	0.000	Merged-chr7-84149073-24
NR1516--MA0690.1.TBX21	chr5	150458016	150458025	+	0.000	0.000	Merged-chr5-150458118-21
NR1747--MA0690.1.TBX21	chr7	109768751	109768760	+	0.000	0.000	Merged-chr7-109768884-10
NR1585--MA0690.1.TBX21	chr6	90984328	90984337	+	0.000	0.000	Merged-chr6-90984346-4
NR1508--MA0690.1.TBX21	chr5	143631003	143631012	+	0.000	0.000	Merged-chr5-143630947-39
NR60--MA0690.1.TBX21	chr1	88055844	88055853	-	0.000	0.000	Merged-chr1-88055742-12
NR1598--MA0690.1.TBX21	chr6	99811603	99811612	-	0.000	0.000	Merged-chr6-99811499-44
NR1184--MA0690.1.TBX21	chr3	96198430	96198439	-	0.000	0.000	Merged-chr3-96198410-32
NR1150--MA0690.1.TBX21	chr3	51378396	51378405	+	0.000	0.000	Merged-chr3-51378221-46
NR911--MA0690.1.TBX21	chr18	86601952	86601961	-	0.000	0.000	Merged-chr18-86601765-23
NR1686--MA0690.1.TBX21	chr7	35729784	35729793	+	0.000	0.000	Merged-chr7-35729754-35
NR1957--MA0690.1.TBX21	chr9	69702454	69702463	+	0.000	0.000	Merged-chr9-69702378-12
NR1652--MA0690.1.TBX21	chr6	143425396	143425405	-	0.000	0.000	Merged-chr6-143425516-71
NR1285--MA0690.1.TBX21	chr4	42945316	42945325	-	0.000	0.000	Merged-chr4-42945382-5
NR2028--MA0690.1.TBX21	chrX	12005322	12005331	+	0.000	0.000	Merged-chrX-12005261-5
NR850--MA0690.1.TBX21	chr18	23913041	23913050	+	0.000	0.000	Merged-chr18-23913027-4
NR502--MA0690.1.TBX21	chr13	95742509	95742518	+	0.000	0.000	Merged-chr13-95742219-17
NR1787--MA0690.1.TBX21	chr7	135598599	135598608	+	0.000	0.000	Merged-chr7-135598633-32
NR754--MA0690.1.TBX21	chr16	90323015	90323024	+	0.000	0.000	Merged-chr16-90323111-40
NR10--MA0690.1.TBX21	chr1	33742979	33742988	-	0.000	0.000	Merged-chr1-33743059-26
NR1819--MA0690.1.TBX21	chr8	11926146	11926155	+	0.000	0.000	Merged-chr8-11926355-7
NR720--MA0690.1.TBX21	chr16	44016423	44016432	-	0.000	0.000	Merged-chr16-44016321-50
NR1657--MA0690.1.TBX21	chr6	144922953	144922962	+	0.000	0.000	Merged-chr6-144923057-24
NR23--MA0690.1.TBX21	chr1	46912658	46912667	+	0.000	0.000	Merged-chr1-46912759-14
NR1495--MA0690.1.TBX21	chr5	135015731	135015740	+	0.000	0.000	Merged-chr5-135015671-24
NR1399--MA0690.1.TBX21	chr5	27995453	27995462	+	0.000	0.000	Merged-chr5-27995403-19
NR571--MA0690.1.TBX21	chr14	52248384	52248393	+	0.000	0.000	Merged-chr14-52248397-5
NR441--MA0690.1.TBX21	chr13	32692683	32692692	+	0.000	0.000	Merged-chr13-32692698-24
NR1139--MA0690.1.TBX21	chr3	21996115	21996124	-	0.000	0.000	Merged-chr3-21996009-51
NR847--MA0690.1.TBX21	chr18	14494338	14494347	+	0.000	0.000	Merged-chr18-14494264-19
NR162--MA0690.1.TBX21	chr1	193285698	193285707	-	0.000	0.000	Merged-chr1-193285975-30
NR685--MA0690.1.TBX21	chr15	84168898	84168907	-	0.000	0.000	Merged-chr15-84168860-11
NR1099--MA0690.1.TBX21	chr2	158163256	158163265	+	0.000	0.000	Merged-chr2-158163220-8
NR1174--MA0690.1.TBX21	chr3	83997181	83997190	+	0.000	0.000	Merged-chr3-83997240-19
