#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR9631--MA0511.2.RUNX2	chr9	48357393	48357401	+	0.000	0.000	Merged-chr9-48357343-17
NR10160--MA0002.2.RUNX1	chrX	77808854	77808864	-	0.000	0.000	Merged-chrX-77808891-20
NR716--MA0002.2.RUNX1	chr1	176827609	176827619	+	0.000	0.000	Merged-chr1-176827492-35
NR4441--MA0002.2.RUNX1	chr17	80579292	80579302	+	0.000	0.000	Merged-chr17-80579337-18
NR5281--MA0684.1.RUNX3	chr2	31119118	31119127	-	0.000	0.000	Merged-chr2-31119071-33
NR3124--MA0002.2.RUNX1	chr14	64666912	64666922	-	0.000	0.000	Merged-chr14-64666873-42
NR3776--MA0684.1.RUNX3	chr16	17695010	17695019	-	0.000	0.000	Merged-chr16-17695007-34
NR871--MA0511.2.RUNX2	chr10	8176544	8176552	-	0.000	0.000	Merged-chr10-8176500-34
NR4834--MA0002.2.RUNX1	chr18	80280597	80280607	-	0.000	0.000	Merged-chr18-80280568-28
NR1857--MA0684.1.RUNX3	chr11	109790430	109790439	-	0.000	0.000	Merged-chr11-109790418-22
NR262--MA0002.2.RUNX1	chr1	80015642	80015652	-	0.000	0.000	Merged-chr1-80015644-32
NR662--MA0684.1.RUNX3	chr1	165603453	165603462	+	0.000	0.000	Merged-chr1-165603509-17
NR5558--MA0002.2.RUNX1	chr2	109992835	109992845	+	0.000	0.000	Merged-chr2-109992727-6
NR3007--MA0002.2.RUNX1	chr14	25862103	25862113	+	0.000	0.000	Merged-chr14-25862098-51
NR9073--MA0511.2.RUNX2	chr7	141637456	141637464	-	0.000	0.000	Merged-chr7-141637525-19
NR7217--MA0002.2.RUNX1	chr5	7829815	7829825	+	0.000	0.000	Merged-chr5-7829791-41
NR5000--MA0684.1.RUNX3	chr19	32988775	32988784	-	0.000	0.000	Merged-chr19-32988872-27
NR4935--MA0002.2.RUNX1	chr19	14620504	14620514	+	0.000	0.000	Merged-chr19-14620634-30
NR8752--MA0002.2.RUNX1	chr7	84196634	84196644	+	0.000	0.000	Merged-chr7-84196453-50
NR7184--MA0684.1.RUNX3	chr4	151977977	151977986	-	0.000	0.000	Merged-chr4-151978013-24
NR2888--MA0002.2.RUNX1	chr13	111569257	111569267	+	0.000	0.000	Merged-chr13-111569188-35
NR9367--MA0002.2.RUNX1	chr8	106821447	106821457	+	0.000	0.000	Merged-chr8-106821433-20
NR8149--MA0511.2.RUNX2	chr6	97447186	97447194	-	0.000	0.000	Merged-chr6-97447180-22
NR7068--MA0002.2.RUNX1	chr4	134787144	134787154	+	0.000	0.000	Merged-chr4-134787167-34
NR8970--MA0002.2.RUNX1	chr7	125597221	125597231	+	0.000	0.000	Merged-chr7-125597306-20
NR7156--MA0002.2.RUNX1	chr4	148070074	148070084	-	0.000	0.000	Merged-chr4-148069999-26
NR9739--MA0002.2.RUNX1	chr9	70040165	70040175	+	0.000	0.000	Merged-chr9-70040199-23
NR71--MA0511.2.RUNX2	chr1	36025101	36025109	-	0.000	0.000	Merged-chr1-36025179-31
NR5174--MA0511.2.RUNX2	chr2	8965051	8965059	-	0.000	0.000	Merged-chr2-8965212-53
NR1095--MA0684.1.RUNX3	chr10	67727768	67727777	+	0.000	0.000	Merged-chr10-67727735-22
NR4051--MA0002.2.RUNX1	chr16	91562219	91562229	+	0.000	0.000	Merged-chr16-91562152-19
NR500--MA0511.2.RUNX2	chr1	138136593	138136601	-	0.000	0.000	Merged-chr1-138136631-55
NR8695--MA0684.1.RUNX3	chr7	68350155	68350164	-	0.000	0.000	Merged-chr7-68350249-38
NR7378--MA0684.1.RUNX3	chr5	53509645	53509654	+	0.000	0.000	Merged-chr5-53509705-20
NR5158--MA0511.2.RUNX2	chr2	3756052	3756060	-	0.000	0.000	Merged-chr2-3756075-14
NR658--MA0002.2.RUNX1	chr1	165322304	165322314	-	0.000	0.000	Merged-chr1-165322509-22
NR3086--MA0684.1.RUNX3	chr14	55392567	55392576	-	0.000	0.000	Merged-chr14-55392653-26
NR787--MA0684.1.RUNX3	chr1	187228920	187228929	-	0.000	0.000	Merged-chr1-187228770-56
NR8808--MA0002.2.RUNX1	chr7	98809877	98809887	+	0.000	0.000	Merged-chr7-98809754-32
NR6271--MA0511.2.RUNX2	chr3	106996465	106996473	+	0.000	0.000	Merged-chr3-106996369-21
NR4667--MA0002.2.RUNX1	chr18	54940565	54940575	-	0.000	0.000	Merged-chr18-54940674-40
NR2324--MA0511.2.RUNX2	chr12	111442587	111442595	-	0.000	0.000	Merged-chr12-111442481-10
NR5159--MA0684.1.RUNX3	chr2	3756051	3756060	-	0.000	0.000	Merged-chr2-3756075-14
NR1732--MA0002.2.RUNX1	chr11	82214600	82214610	-	0.000	0.000	Merged-chr11-82214647-44
NR9339--MA0511.2.RUNX2	chr8	94240484	94240492	+	0.000	0.000	Merged-chr8-94240399-13
NR715--MA0511.2.RUNX2	chr1	176827611	176827619	-	0.000	0.000	Merged-chr1-176827492-35
NR4440--MA0511.2.RUNX2	chr17	80579294	80579302	-	0.000	0.000	Merged-chr17-80579337-18
NR6848--MA0684.1.RUNX3	chr4	89008715	89008724	+	0.000	0.000	Merged-chr4-89008819-38
NR930--MA0002.2.RUNX1	chr10	21226354	21226364	-	0.000	0.000	Merged-chr10-21226469-19
NR1820--MA0002.2.RUNX1	chr11	106613041	106613051	-	0.000	0.000	Merged-chr11-106612974-112
NR3481--MA0002.2.RUNX1	chr15	50400453	50400463	+	0.000	0.000	Merged-chr15-50400444-64
NR7635--MA0002.2.RUNX1	chr5	115085000	115085010	+	0.000	0.000	Merged-chr5-115085067-14
NR6272--MA0684.1.RUNX3	chr3	106996465	106996474	+	0.000	0.000	Merged-chr3-106996369-21
NR8617--MA0002.2.RUNX1	chr7	48795271	48795281	+	0.000	0.000	Merged-chr7-48795353-37
NR261--MA0511.2.RUNX2	chr1	80015619	80015627	-	0.000	0.000	Merged-chr1-80015644-32
NR3351--MA0002.2.RUNX1	chr15	3290531	3290541	+	0.000	0.000	Merged-chr15-3290686-29
NR2325--MA0684.1.RUNX3	chr12	111442586	111442595	-	0.000	0.000	Merged-chr12-111442481-10
NR4128--MA0002.2.RUNX1	chr17	7889198	7889208	+	0.000	0.000	Merged-chr17-7889151-33
NR383--MA0511.2.RUNX2	chr1	105565162	105565170	+	0.000	0.000	Merged-chr1-105565114-33
NR2417--MA0511.2.RUNX2	chr13	5847055	5847063	+	0.000	0.000	Merged-chr13-5847113-25
NR1523--MA0511.2.RUNX2	chr11	16988016	16988024	+	0.000	0.000	Merged-chr11-16987963-24
NR9633--MA0684.1.RUNX3	chr9	48357393	48357402	+	0.000	0.000	Merged-chr9-48357343-17
NR2419--MA0002.2.RUNX1	chr13	5847065	5847075	-	0.000	0.000	Merged-chr13-5847113-25
NR6126--MA0684.1.RUNX3	chr3	84022995	84023004	+	0.000	0.000	Merged-chr3-84022944-34
NR1350--MA0002.2.RUNX1	chr10	117055902	117055912	+	0.000	0.000	Merged-chr10-117055786-1
NR9341--MA0684.1.RUNX3	chr8	94240484	94240493	+	0.000	0.000	Merged-chr8-94240399-13
NR3619--MA0002.2.RUNX1	chr15	85347076	85347086	-	0.000	0.000	Merged-chr15-85347177-12
NR9573--MA0002.2.RUNX1	chr9	32628884	32628894	+	0.000	0.000	Merged-chr9-32628980-21
NR6800--MA0002.2.RUNX1	chr4	63636367	63636377	+	0.000	0.000	Merged-chr4-63636346-15
NR3774--MA0511.2.RUNX2	chr16	17695011	17695019	-	0.000	0.000	Merged-chr16-17695007-34
NR1855--MA0511.2.RUNX2	chr11	109790431	109790439	-	0.000	0.000	Merged-chr11-109790418-22
NR2248--MA0684.1.RUNX3	chr12	99468132	99468141	+	0.000	0.000	Merged-chr12-99468213-62
NR7266--MA0002.2.RUNX1	chr5	21030384	21030394	+	0.000	0.000	Merged-chr5-21030379-15
NR7182--MA0511.2.RUNX2	chr4	151977978	151977986	-	0.000	0.000	Merged-chr4-151978013-24
NR9252--MA0002.2.RUNX1	chr8	64805564	64805574	-	0.000	0.000	Merged-chr8-64805470-51
NR1284--MA0511.2.RUNX2	chr10	95372208	95372216	-	0.000	0.000	Merged-chr10-95372183-15
NR1727--MA0002.2.RUNX1	chr11	80785971	80785981	-	0.000	0.000	Merged-chr11-80785938-31
NR9632--MA0002.2.RUNX1	chr9	48357393	48357403	-	0.000	0.000	Merged-chr9-48357343-17
NR1393--MA0511.2.RUNX2	chr10	118599819	118599827	+	0.000	0.000	Merged-chr10-118599644-70
NR73--MA0684.1.RUNX3	chr1	36025100	36025109	-	0.000	0.000	Merged-chr1-36025179-31
NR2861--MA0002.2.RUNX1	chr13	108100837	108100847	+	0.000	0.000	Merged-chr13-108100820-31
NR5176--MA0684.1.RUNX3	chr2	8965050	8965059	-	0.000	0.000	Merged-chr2-8965212-53
NR872--MA0002.2.RUNX1	chr10	8176542	8176552	+	0.000	0.000	Merged-chr10-8176500-34
NR1286--MA0002.2.RUNX1	chr10	95973384	95973394	+	0.000	0.000	Merged-chr10-95973477-5
NR1394--MA0684.1.RUNX3	chr10	118599819	118599828	+	0.000	0.000	Merged-chr10-118599644-70
NR9636--MA0684.1.RUNX3	chr9	48404003	48404012	+	0.000	0.000	Merged-chr9-48403880-28
NR9074--MA0002.2.RUNX1	chr7	141637454	141637464	+	0.000	0.000	Merged-chr7-141637525-19
NR3977--MA0684.1.RUNX3	chr16	70365448	70365457	+	0.000	0.000	Merged-chr16-70365429-20
NR1343--MA0511.2.RUNX2	chr10	115363299	115363307	+	0.000	0.000	Merged-chr10-115363388-18
NR502--MA0684.1.RUNX3	chr1	138136673	138136682	+	0.000	0.000	Merged-chr1-138136631-55
NR7634--MA0511.2.RUNX2	chr5	115085002	115085010	-	0.000	0.000	Merged-chr5-115085067-14
NR7376--MA0511.2.RUNX2	chr5	53509645	53509653	+	0.000	0.000	Merged-chr5-53509705-20
NR2792--MA0002.2.RUNX1	chr13	96030864	96030874	+	0.000	0.000	Merged-chr13-96030885-26
NR6946--MA0002.2.RUNX1	chr4	108371622	108371632	+	0.000	0.000	Merged-chr4-108371608-19
NR4581--MA0002.2.RUNX1	chr18	31628605	31628615	-	0.000	0.000	Merged-chr18-31628663-46
NR171--MA0002.2.RUNX1	chr1	58301377	58301387	-	0.000	0.000	Merged-chr1-58301246-36
NR10127--MA0002.2.RUNX1	chrX	59999701	59999711	+	0.000	0.000	Merged-chrX-59999627-14
NR7399--MA0002.2.RUNX1	chr5	64040849	64040859	-	0.000	0.000	Merged-chr5-64040859-39
NR2791--MA0684.1.RUNX3	chr13	95813839	95813848	-	0.000	0.000	Merged-chr13-95813903-46
NR9045--MA0002.2.RUNX1	chr7	139197238	139197248	-	0.000	0.000	Merged-chr7-139197222-17
NR5214--MA0684.1.RUNX3	chr2	17845529	17845538	-	0.000	0.000	Merged-chr2-17845339-45
NR5175--MA0002.2.RUNX1	chr2	8965049	8965059	+	0.000	0.000	Merged-chr2-8965212-53
NR2165--MA0002.2.RUNX1	chr12	86787447	86787457	+	0.000	0.000	Merged-chr12-86787362-21
NR3276--MA0684.1.RUNX3	chr14	105240288	105240297	-	0.000	0.000	Merged-chr14-105240325-24
NR785--MA0511.2.RUNX2	chr1	187228921	187228929	-	0.000	0.000	Merged-chr1-187228770-56
NR2531--MA0684.1.RUNX3	chr13	33077448	33077457	+	0.000	0.000	Merged-chr13-33077340-51
NR4734--MA0684.1.RUNX3	chr18	65626677	65626686	-	0.000	0.000	Merged-chr18-65626623-8
