#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR566--MA0768.1.LEF1	chr15	25892137	25892151	-	0.000	0.000	Merged-chr15-25891873-55
NR1579--MA0768.1.LEF1	chr9	46015111	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR886--MA0768.1.LEF1	chr2	90583721	90583735	-	0.000	0.000	Merged-chr2-90583818-37
NR1333--MA0768.1.LEF1	chr6	108509113	108509127	+	0.000	0.000	Merged-chr6-108509162-15
NR1253--MA0768.1.LEF1	chr5	124022512	124022526	-	0.000	0.000	Merged-chr5-124022476-27
NR1598--MA0768.1.LEF1	chr9	77806904	77806918	+	0.000	0.000	Merged-chr9-77806830-39
NR1388--MA0768.1.LEF1	chr7	15949534	15949548	+	0.000	0.000	Merged-chr7-15949519-32
NR599--MA0768.1.LEF1	chr15	76908244	76908258	+	0.000	0.000	Merged-chr15-76908278-27
NR640--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR1439--MA0768.1.LEF1	chr7	101635945	101635959	+	0.000	0.000	Merged-chr7-101636183-33
NR1334--MA0768.1.LEF1	chr6	108512289	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR273--MA0768.1.LEF1	chr11	76184635	76184649	-	0.000	0.000	Merged-chr11-76184587-9
NR278--MA0768.1.LEF1	chr11	83118300	83118314	-	0.000	0.000	Merged-chr11-83118266-24
NR329--MA0768.1.LEF1	chr12	35999207	35999221	+	0.000	0.000	Merged-chr12-35999221-22
NR836--MA0768.1.LEF1	chr2	5061514	5061528	+	0.000	0.000	Merged-chr2-5061621-34
NR1639--MA0768.1.LEF1	chr9	115618076	115618090	-	0.000	0.000	Merged-chr9-115618092-17
NR1577--MA0768.1.LEF1	chr9	42159039	42159053	+	0.000	0.000	Merged-chr9-42158908-46
NR6--MA0768.1.LEF1	chr1	36252840	36252854	-	0.000	0.000	Merged-chr1-36253004-32
NR307--MA0768.1.LEF1	chr11	111065058	111065072	+	0.000	0.000	Merged-chr11-111065000-37
NR1459--MA0768.1.LEF1	chr7	118479250	118479264	-	0.000	0.000	Merged-chr7-118479395-18
NR1578--MA0768.1.LEF1	chr9	46015104	46015118	-	0.000	0.000	Merged-chr9-46015200-37
NR1596--MA0768.1.LEF1	chr9	72660362	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR1041--MA0768.1.LEF1	chr3	131271376	131271390	+	0.000	0.000	Merged-chr3-131271223-1
NR181--MA0768.1.LEF1	chr10	82887565	82887579	-	0.000	0.000	Merged-chr10-82887554-36
NR1194--MA0768.1.LEF1	chr5	31831722	31831736	+	0.000	0.000	Merged-chr5-31831785-25
NR750--MA0768.1.LEF1	chr18	36512428	36512442	-	0.000	0.000	Merged-chr18-36512403-20
NR1683--MA0768.1.LEF1	chrY	11858125	11858139	-	0.000	0.000	Merged-chrY-11858126-43
