#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR10975--MA0002.2.RUNX1	chr9	119823983	119823993	-	0.000	0.000	Merged-chr9-119823942-29
NR5543--MA0511.2.RUNX2	chr19	32138397	32138405	+	0.000	0.000	Merged-chr19-32138517-38
NR4369--MA0511.2.RUNX2	chr16	48594584	48594592	+	0.000	0.000	Merged-chr16-48594719-53
NR10899--MA0684.1.RUNX3	chr9	110907689	110907698	+	0.000	0.000	Merged-chr9-110907689-47
NR7603--MA0511.2.RUNX2	chr4	132040469	132040477	+	0.000	0.000	Merged-chr4-132040319-80
NR3101--MA0511.2.RUNX2	chr13	94144821	94144829	-	0.000	0.000	Merged-chr13-94144726-31
NR3816--MA0684.1.RUNX3	chr15	18951818	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR703--MA0002.2.RUNX1	chr1	172197312	172197322	+	0.000	0.000	Merged-chr1-172197316-25
NR10051--MA0002.2.RUNX1	chr8	70160137	70160147	+	0.000	0.000	Merged-chr8-70160118-32
NR6267--MA0511.2.RUNX2	chr2	135737687	135737695	-	0.000	0.000	Merged-chr2-135737673-31
NR8248--MA0684.1.RUNX3	chr5	115693470	115693479	+	0.000	0.000	Merged-chr5-115693567-32
NR10226--MA0002.2.RUNX1	chr8	115568645	115568655	+	0.000	0.000	Merged-chr8-115568627-19
NR9402--MA0002.2.RUNX1	chr7	67353072	67353082	-	0.000	0.000	Merged-chr7-67353153-2
NR302--MA0002.2.RUNX1	chr1	87847453	87847463	-	0.000	0.000	Merged-chr1-87847290-68
NR10573--MA0684.1.RUNX3	chr9	61715134	61715143	-	0.000	0.000	Merged-chr9-61715160-12
NR7420--MA0511.2.RUNX2	chr4	89008715	89008723	+	0.000	0.000	Merged-chr4-89008819-38
NR9623--MA0511.2.RUNX2	chr7	112400402	112400410	-	0.000	0.000	Merged-chr7-112400264-32
NR9875--MA0511.2.RUNX2	chr8	3205373	3205381	-	0.000	0.000	Merged-chr8-3205181-19
NR838--MA0002.2.RUNX1	chr1	186676493	186676503	+	0.000	0.000	Merged-chr1-186676331-13
NR10761--MA0511.2.RUNX2	chr9	88273496	88273504	+	0.000	0.000	Merged-chr9-88273504-34
NR6100--MA0002.2.RUNX1	chr2	91078419	91078429	+	0.000	0.000	Merged-chr2-91078502-21
NR5849--MA0684.1.RUNX3	chr2	31180525	31180534	+	0.000	0.000	Merged-chr2-31180309-64
NR1076--MA0684.1.RUNX3	chr10	60162674	60162683	-	0.000	0.000	Merged-chr10-60162645-38
NR371--MA0002.2.RUNX1	chr1	98022055	98022065	-	0.000	0.000	Merged-chr1-98022036-10
NR9361--MA0684.1.RUNX3	chr7	49495094	49495103	-	0.000	0.000	Merged-chr7-49494921-17
NR3748--MA0002.2.RUNX1	chr14	119236409	119236419	+	0.000	0.000	Merged-chr14-119236354-10
NR7786--MA0511.2.RUNX2	chr4	154936711	154936719	+	0.000	0.000	Merged-chr4-154936813-27
NR2844--MA0511.2.RUNX2	chr13	31179581	31179589	-	0.000	0.000	Merged-chr13-31179647-13
NR9876--MA0684.1.RUNX3	chr8	3205372	3205381	-	0.000	0.000	Merged-chr8-3205181-19
NR2506--MA0002.2.RUNX1	chr12	99544780	99544790	-	0.000	0.000	Merged-chr12-99544732-47
NR756--MA0002.2.RUNX1	chr1	179240818	179240828	-	0.000	0.000	Merged-chr1-179240877-38
NR10375--MA0002.2.RUNX1	chr9	7510086	7510096	+	0.000	0.000	Merged-chr9-7510063-49
NR1279--MA0002.2.RUNX1	chr10	93868532	93868542	-	0.000	0.000	Merged-chr10-93868549-34
NR4371--MA0684.1.RUNX3	chr16	48594584	48594593	+	0.000	0.000	Merged-chr16-48594719-53
NR5353--MA0684.1.RUNX3	chr18	79297926	79297935	+	0.000	0.000	Merged-chr18-79298014-36
NR6702--MA0684.1.RUNX3	chr3	68240113	68240122	+	0.000	0.000	Merged-chr3-68240034-18
NR2802--MA0511.2.RUNX2	chr13	20306403	20306411	-	0.000	0.000	Merged-chr13-20306536-31
NR6871--MA0511.2.RUNX2	chr3	107819325	107819333	-	0.000	0.000	Merged-chr3-107819260-44
NR1009--MA0511.2.RUNX2	chr10	39793436	39793444	-	0.000	0.000	Merged-chr10-39793457-38
NR6967--MA0684.1.RUNX3	chr3	128122335	128122344	-	0.000	0.000	Merged-chr3-128122378-34
NR7135--MA0002.2.RUNX1	chr3	149277987	149277997	-	0.000	0.000	Merged-chr3-149278071-17
NR8356--MA0002.2.RUNX1	chr5	139253487	139253497	+	0.000	0.000	Merged-chr5-139253488-7
NR6884--MA0511.2.RUNX2	chr3	108737883	108737891	-	0.000	0.000	Merged-chr3-108737869-29
NR9546--MA0511.2.RUNX2	chr7	101027881	101027889	-	0.000	0.000	Merged-chr7-101027827-19
NR6894--MA0002.2.RUNX1	chr3	109740742	109740752	-	0.000	0.000	Merged-chr3-109740806-11
NR8683--MA0002.2.RUNX1	chr6	67395791	67395801	-	0.000	0.000	Merged-chr6-67395725-22
NR3234--MA0511.2.RUNX2	chr13	108527452	108527460	-	0.000	0.000	Merged-chr13-108527257-30
NR2262--MA0002.2.RUNX1	chr12	34990416	34990426	+	0.000	0.000	Merged-chr12-34990480-50
NR1488--MA0684.1.RUNX3	chr10	128637207	128637216	-	0.000	0.000	Merged-chr10-128637070-78
NR882--MA0511.2.RUNX2	chr1	193146437	193146445	+	0.000	0.000	Merged-chr1-193146532-29
NR1074--MA0684.1.RUNX3	chr10	60162575	60162584	-	0.000	0.000	Merged-chr10-60162645-38
NR9459--MA0684.1.RUNX3	chr7	80643398	80643407	+	0.000	0.000	Merged-chr7-80643369-34
NR9439--MA0002.2.RUNX1	chr7	75914254	75914264	+	0.000	0.000	Merged-chr7-75914112-33
NR2532--MA0684.1.RUNX3	chr12	102067865	102067874	+	0.000	0.000	Merged-chr12-102067904-11
NR9992--MA0002.2.RUNX1	chr8	46420691	46420701	+	0.000	0.000	Merged-chr8-46420639-16
NR6472--MA0002.2.RUNX1	chr2	169089154	169089164	-	0.000	0.000	Merged-chr2-169089199-37
NR2307--MA0002.2.RUNX1	chr12	54655576	54655586	-	0.000	0.000	Merged-chr12-54655706-6
NR2863--MA0511.2.RUNX2	chr13	34914838	34914846	-	0.000	0.000	Merged-chr13-34914852-26
NR7930--MA0002.2.RUNX1	chr5	36557813	36557823	+	0.000	0.000	Merged-chr5-36557813-28
NR8531--MA0684.1.RUNX3	chr6	32328213	32328222	-	0.000	0.000	Merged-chr6-32328311-28
NR8925--MA0002.2.RUNX1	chr6	119509052	119509062	+	0.000	0.000	Merged-chr6-119509030-36
NR10189--MA0002.2.RUNX1	chr8	110929262	110929272	+	0.000	0.000	Merged-chr8-110929357-31
NR778--MA0511.2.RUNX2	chr1	180546334	180546342	-	0.000	0.000	Merged-chr1-180546359-32
NR6232--MA0684.1.RUNX3	chr2	128544656	128544665	+	0.000	0.000	Merged-chr2-128544786-45
NR2938--MA0684.1.RUNX3	chr13	52874144	52874153	+	0.000	0.000	Merged-chr13-52874286-33
