#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR2042--MA0523.1.TCF7L2	chr12	108646501	108646514	-	0.000	0.000	Merged-chr12-108646363-75
NR2151--MA0769.1.Tcf7	chr13	8458069	8458080	+	0.000	0.000	Merged-chr13-8458004-23
NR4886--MA0769.1.Tcf7	chr2	83745486	83745497	-	0.000	0.000	Merged-chr2-83745257-69
NR6494--MA1421.1.TCF7L1	chr4	149515888	149515899	+	0.000	0.000	Merged-chr4-149515822-34
NR4723--MA0523.1.TCF7L2	chr2	48328422	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR6647--MA0523.1.TCF7L2	chr5	52245286	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR1078--MA1421.1.TCF7L1	chr10	91138671	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR6853--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR6525--MA1421.1.TCF7L1	chr4	155082287	155082298	+	0.000	0.000	Merged-chr4-155082260-14
NR1751--MA0769.1.Tcf7	chr12	32099792	32099803	+	0.000	0.000	Merged-chr12-32099741-8
NR3000--MA0523.1.TCF7L2	chr14	122187101	122187114	-	0.000	0.000	Merged-chr14-122187060-26
NR7283--MA0769.1.Tcf7	chr6	82744605	82744616	+	0.000	0.000	Merged-chr6-82744737-54
NR7875--MA0523.1.TCF7L2	chr7	98797476	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR4976--MA0523.1.TCF7L2	chr2	107005953	107005966	+	0.000	0.000	Merged-chr2-107005967-12
NR876--MA0523.1.TCF7L2	chr10	44821926	44821939	+	0.000	0.000	Merged-chr10-44821803-43
NR949--MA0769.1.Tcf7	chr10	63377778	63377789	-	0.000	0.000	Merged-chr10-63377660-26
NR489--MA0523.1.TCF7L2	chr1	152053401	152053414	+	0.000	0.000	Merged-chr1-152053412-31
NR8812--MA0769.1.Tcf7	chr9	85671681	85671692	+	0.000	0.000	Merged-chr9-85671881-60
