#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR1239--MA0089.1.MAFG::NFE2L1	chr1	191780529	191780534	+	0.000	0.000	Merged-chr1-191780513-20
NR1233--MA0496.2.MAFK	chr1	191420991	191421009	+	0.000	0.000	Merged-chr1-191421132-37
NR5015--MA0591.1.Bach1::Mafk	chr14	123001625	123001639	-	0.000	0.000	Merged-chr14-123001594-21
NR14871--MA0659.1.MAFG	chrX	53607939	53607959	-	0.000	0.000	Merged-chrX-53607978-28
NR7502--MA0089.1.MAFG::NFE2L1	chr2	13265007	13265012	-	0.000	0.000	Merged-chr2-13265108-24
NR12318--MA0496.2.MAFK	chr6	130429678	130429696	+	0.000	0.000	Merged-chr6-130429681-16
NR14874--MA0496.2.MAFK	chrX	53607940	53607958	-	0.000	0.000	Merged-chrX-53607978-28
NR12069--MA0089.1.MAFG::NFE2L1	chr6	108426895	108426900	+	0.000	0.000	Merged-chr6-108426934-21
NR10967--MA0496.2.MAFK	chr5	68033469	68033487	+	0.000	0.000	Merged-chr5-68033501-23
NR1585--MA0591.1.Bach1::Mafk	chr10	59380458	59380472	+	0.000	0.000	Merged-chr10-59380482-71
NR6673--MA0117.2.Mafb	chr18	12876634	12876645	+	0.000	0.000	Merged-chr18-12876665-8
NR2312--MA0495.2.MAFF	chr11	43362487	43362507	-	0.000	0.000	Merged-chr11-43362621-15
NR3747--MA0495.2.MAFF	chr13	44819586	44819606	-	0.000	0.000	Merged-chr13-44819494-25
NR7437--MA0659.1.MAFG	chr19	58051237	58051257	-	0.000	0.000	Merged-chr19-58051277-2
NR244--MA0501.1.MAF::NFE2	chr1	58315777	58315791	-	0.000	0.000	Merged-chr1-58315756-13
NR2317--MA0496.2.MAFK	chr11	43362488	43362506	-	0.000	0.000	Merged-chr11-43362621-15
NR13949--MA0501.1.MAF::NFE2	chr8	117303742	117303756	+	0.000	0.000	Merged-chr8-117303756-17
NR14872--MA0501.1.MAF::NFE2	chrX	53607945	53607959	+	0.000	0.000	Merged-chrX-53607978-28
NR14868--MA0495.2.MAFF	chrX	53607939	53607959	-	0.000	0.000	Merged-chrX-53607978-28
NR1955--MA0089.1.MAFG::NFE2L1	chr10	111446408	111446413	-	0.000	0.000	Merged-chr10-111446386-39
NR2313--MA0591.1.Bach1::Mafk	chr11	43362490	43362504	-	0.000	0.000	Merged-chr11-43362621-15
NR12628--MA0501.1.MAF::NFE2	chr7	27508826	27508840	-	0.000	0.000	Merged-chr7-27508743-1
NR4240--MA0659.1.MAFG	chr13	113418359	113418379	+	0.000	0.000	Merged-chr13-113418245-6
NR14869--MA0591.1.Bach1::Mafk	chrX	53607942	53607956	+	0.000	0.000	Merged-chrX-53607978-28
NR632--MA0495.2.MAFF	chr1	119469663	119469683	-	0.000	0.000	Merged-chr1-119469584-5
NR13994--MA0089.1.MAFG::NFE2L1	chr8	123807201	123807206	+	0.000	0.000	Merged-chr8-123807206-24
NR3091--MA0501.1.MAF::NFE2	chr12	70713620	70713634	-	0.000	0.000	Merged-chr12-70713725-41
NR634--MA0659.1.MAFG	chr1	119469663	119469683	-	0.000	0.000	Merged-chr1-119469584-5
NR5896--MA0089.1.MAFG::NFE2L1	chr16	71114788	71114793	+	0.000	0.000	Merged-chr16-71114794-1
NR535--MA0501.1.MAF::NFE2	chr1	97764136	97764150	-	0.000	0.000	Merged-chr1-97764346-16
NR4999--MA0501.1.MAF::NFE2	chr14	121903491	121903505	+	0.000	0.000	Merged-chr14-121903586-22
NR1864--MA0089.1.MAFG::NFE2L1	chr10	94689283	94689288	-	0.000	0.000	Merged-chr10-94689288-1
NR2818--MA0089.1.MAFG::NFE2L1	chr11	119352198	119352203	-	0.000	0.000	Merged-chr11-119352427-33
NR2703--MA0089.1.MAFG::NFE2L1	chr11	103808856	103808861	+	0.000	0.000	Merged-chr11-103808730-15
NR12268--MA0496.2.MAFK	chr6	127302957	127302975	-	0.000	0.000	Merged-chr6-127302896-25
NR1240--MA0117.2.Mafb	chr1	191780548	191780559	+	0.000	0.000	Merged-chr1-191780513-20
NR8327--MA0089.1.MAFG::NFE2L1	chr2	132691840	132691845	+	0.000	0.000	Merged-chr2-132691913-20
NR4980--MA0117.2.Mafb	chr14	120572435	120572446	+	0.000	0.000	Merged-chr14-120572441-59
NR12316--MA0659.1.MAFG	chr6	130429677	130429697	+	0.000	0.000	Merged-chr6-130429681-16
NR1234--MA0496.2.MAFK	chr1	191420991	191421009	-	0.000	0.000	Merged-chr1-191421132-37
NR5222--MA0089.1.MAFG::NFE2L1	chr15	59641272	59641277	+	0.000	0.000	Merged-chr15-59641442-25
NR7620--MA0591.1.Bach1::Mafk	chr2	34826229	34826243	-	0.000	0.000	Merged-chr2-34826203-51
NR12315--MA0089.1.MAFG::NFE2L1	chr6	130429671	130429676	-	0.000	0.000	Merged-chr6-130429681-16
NR4997--MA0495.2.MAFF	chr14	121903485	121903505	-	0.000	0.000	Merged-chr14-121903586-22
NR12319--MA0496.2.MAFK	chr6	130429678	130429696	-	0.000	0.000	Merged-chr6-130429681-16
NR2721--MA0089.1.MAFG::NFE2L1	chr11	104664068	104664073	+	0.000	0.000	Merged-chr11-104664090-22
NR5002--MA0591.1.Bach1::Mafk	chr14	121903613	121903627	-	0.000	0.000	Merged-chr14-121903586-22
NR9074--MA0089.1.MAFG::NFE2L1	chr3	81102217	81102222	-	0.000	0.000	Merged-chr3-81102418-9
NR7190--MA0117.2.Mafb	chr19	10829821	10829832	-	0.000	0.000	Merged-chr19-10829902-50
NR10554--MA0089.1.MAFG::NFE2L1	chr4	149854401	149854406	+	0.000	0.000	Merged-chr4-149854542-67
NR10968--MA0496.2.MAFK	chr5	68033469	68033487	-	0.000	0.000	Merged-chr5-68033501-23
NR14265--MA0501.1.MAF::NFE2	chr9	44999344	44999358	+	0.000	0.000	Merged-chr9-44999415-9
NR14264--MA0591.1.Bach1::Mafk	chr9	44999341	44999355	-	0.000	0.000	Merged-chr9-44999415-9
NR4930--MA0591.1.Bach1::Mafk	chr14	115015514	115015528	+	0.000	0.000	Merged-chr14-115015527-11
NR605--MA0591.1.Bach1::Mafk	chr1	107590015	107590029	-	0.000	0.000	Merged-chr1-107590197-16
NR6862--MA0089.1.MAFG::NFE2L1	chr18	56718251	56718256	-	0.000	0.000	Merged-chr18-56718184-1
NR7081--MA0496.2.MAFK	chr18	81572106	81572124	-	0.000	0.000	Merged-chr18-81572136-24
NR12958--MA0117.2.Mafb	chr7	98995279	98995290	+	0.000	0.000	Merged-chr7-98995432-21
NR9093--MA0501.1.MAF::NFE2	chr3	81835954	81835968	+	0.000	0.000	Merged-chr3-81835793-30
NR635--MA0496.2.MAFK	chr1	119469664	119469682	+	0.000	0.000	Merged-chr1-119469584-5
NR5000--MA0496.2.MAFK	chr14	121903486	121903504	+	0.000	0.000	Merged-chr14-121903586-22
NR233--MA0495.2.MAFF	chr1	55630405	55630425	+	0.000	0.000	Merged-chr1-55630357-14
NR4981--MA0496.2.MAFK	chr14	120572436	120572454	-	0.000	0.000	Merged-chr14-120572441-59
NR6390--MA0501.1.MAF::NFE2	chr17	50132919	50132933	-	0.000	0.000	Merged-chr17-50132792-1
NR6301--MA0089.1.MAFG::NFE2L1	chr17	34555705	34555710	-	0.000	0.000	Merged-chr17-34555638-13
NR7148--MA0659.1.MAFG	chr19	4299730	4299750	-	0.000	0.000	Merged-chr19-4299826-2
NR5271--MA0089.1.MAFG::NFE2L1	chr15	66779052	66779057	-	0.000	0.000	Merged-chr15-66778898-35
NR10995--MA0117.2.Mafb	chr5	77082925	77082936	-	0.000	0.000	Merged-chr5-77082994-13
NR3902--MA0089.1.MAFG::NFE2L1	chr13	68588579	68588584	+	0.000	0.000	Merged-chr13-68588513-35
NR297--MA0496.2.MAFK	chr1	71576150	71576168	+	0.000	0.000	Merged-chr1-71576177-1
