#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR2218--MA0769.1.Tcf7	chr16	45261682	45261693	+	0.000	0.000	Merged-chr16-45261551-46
NR2003--MA0769.1.Tcf7	chr15	59805127	59805138	-	0.000	0.000	Merged-chr15-59805045-21
NR2657--MA0523.1.TCF7L2	chr18	61614574	61614587	+	0.000	0.000	Merged-chr18-61614590-32
NR2922--MA1421.1.TCF7L1	chr2	26623143	26623154	+	0.000	0.000	Merged-chr2-26623162-26
NR4749--MA0523.1.TCF7L2	chr7	19790168	19790181	-	0.000	0.000	Merged-chr7-19790098-49
NR4738--MA0769.1.Tcf7	chr7	16001894	16001905	+	0.000	0.000	Merged-chr7-16001989-41
NR2101--MA1421.1.TCF7L1	chr15	95826626	95826637	+	0.000	0.000	Merged-chr15-95826706-34
NR5613--MA0769.1.Tcf7	chr9	116091376	116091387	+	0.000	0.000	Merged-chr9-116091467-52
NR687--MA0523.1.TCF7L2	chr10	96691169	96691182	-	0.000	0.000	Merged-chr10-96691005-66
NR4541--MA0769.1.Tcf7	chr6	108512292	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR359--MA1421.1.TCF7L1	chr1	166016451	166016462	+	0.000	0.000	Merged-chr1-166016547-30
NR5375--MA0523.1.TCF7L2	chr9	42159039	42159052	+	0.000	0.000	Merged-chr9-42158908-46
NR5631--MA0769.1.Tcf7	chr9	118285718	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR1140--MA0523.1.TCF7L2	chr12	17726667	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR3064--MA0523.1.TCF7L2	chr2	91835180	91835193	-	0.000	0.000	Merged-chr2-91835374-51
NR1603--MA0769.1.Tcf7	chr13	101669081	101669092	-	0.000	0.000	Merged-chr13-101669067-25
NR4349--MA0523.1.TCF7L2	chr6	17851329	17851342	+	0.000	0.000	Merged-chr6-17851443-16
NR4989--MA0523.1.TCF7L2	chr7	123354475	123354488	+	0.000	0.000	Merged-chr7-123354508-1
NR4227--MA1421.1.TCF7L1	chr5	111200342	111200353	-	0.000	0.000	Merged-chr5-111200479-33
NR5--MA1421.1.TCF7L1	chr1	13052504	13052515	+	0.000	0.000	Merged-chr1-13052356-32
NR4761--MA0523.1.TCF7L2	chr7	25835637	25835650	-	0.000	0.000	Merged-chr7-25835602-47
NR2436--MA1421.1.TCF7L1	chr17	34203436	34203447	-	0.000	0.000	Merged-chr17-34203495-21
NR3801--MA0769.1.Tcf7	chr4	86721965	86721976	-	0.000	0.000	Merged-chr4-86721990-52
NR4132--MA1421.1.TCF7L1	chr5	86816950	86816961	+	0.000	0.000	Merged-chr5-86816982-25
NR2678--MA0523.1.TCF7L2	chr18	67239303	67239316	-	0.000	0.000	Merged-chr18-67239336-22
NR2627--MA0523.1.TCF7L2	chr18	46381184	46381197	+	0.000	0.000	Merged-chr18-46381195-31
