#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR1522--MA0768.1.LEF1	chr6	66929730	66929744	-	0.000	0.000	Merged-chr6-66929752-32
NR178--MA0768.1.LEF1	chr10	79925531	79925545	-	0.000	0.000	Merged-chr10-79925589-24
NR1782--MA0768.1.LEF1	chr8	71528737	71528751	+	0.000	0.000	Merged-chr8-71528841-21
NR1572--MA0768.1.LEF1	chr6	108922584	108922598	-	0.000	0.000	Merged-chr6-108922782-44
NR1689--MA0768.1.LEF1	chr7	101555787	101555801	-	0.000	0.000	Merged-chr7-101555691-65
NR1203--MA0768.1.LEF1	chr3	131271376	131271390	+	0.000	0.000	Merged-chr3-131271223-1
NR549--MA0768.1.LEF1	chr13	114886182	114886196	-	0.000	0.000	Merged-chr13-114886416-28
NR1402--MA0768.1.LEF1	chr5	62756372	62756386	-	0.000	0.000	Merged-chr5-62756252-19
NR421--MA0768.1.LEF1	chr12	107139061	107139075	+	0.000	0.000	Merged-chr12-107139139-48
NR789--MA0768.1.LEF1	chr16	93914435	93914449	-	0.000	0.000	Merged-chr16-93914368-18
NR328--MA0768.1.LEF1	chr11	115407275	115407289	+	0.000	0.000	Merged-chr11-115407181-58
NR1450--MA0768.1.LEF1	chr5	107554482	107554496	-	0.000	0.000	Merged-chr5-107554534-24
NR509--MA0768.1.LEF1	chr13	85505140	85505154	-	0.000	0.000	Merged-chr13-85505133-53
NR894--MA0768.1.LEF1	chr18	55107223	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR829--MA0768.1.LEF1	chr17	47269649	47269663	-	0.000	0.000	Merged-chr17-47269600-53
NR1346--MA0768.1.LEF1	chr4	145284608	145284622	+	0.000	0.000	Merged-chr4-145284668-43
NR1871--MA0768.1.LEF1	chr9	44361766	44361780	-	0.000	0.000	Merged-chr9-44361748-43
NR1755--MA0768.1.LEF1	chr8	3355729	3355743	-	0.000	0.000	Merged-chr8-3355667-46
NR1885--MA0768.1.LEF1	chr9	56264824	56264838	+	0.000	0.000	Merged-chr9-56264757-66
NR1922--MA0768.1.LEF1	chr9	89221272	89221286	-	0.000	0.000	Merged-chr9-89221104-50
NR1829--MA0768.1.LEF1	chr8	124266193	124266207	-	0.000	0.000	Merged-chr8-124265993-45
NR1454--MA0768.1.LEF1	chr5	113591784	113591798	-	0.000	0.000	Merged-chr5-113591973-17
NR743--MA0768.1.LEF1	chr16	33698641	33698655	-	0.000	0.000	Merged-chr16-33698486-38
NR1035--MA0768.1.LEF1	chr2	72874343	72874357	+	0.000	0.000	Merged-chr2-72874420-46
NR376--MA0768.1.LEF1	chr12	73711057	73711071	-	0.000	0.000	Merged-chr12-73710968-44
NR824--MA0768.1.LEF1	chr17	44690654	44690668	+	0.000	0.000	Merged-chr17-44690721-49
NR1049--MA0768.1.LEF1	chr2	90528495	90528509	+	0.000	0.000	Merged-chr2-90528384-23
NR1179--MA0768.1.LEF1	chr3	101236362	101236376	-	0.000	0.000	Merged-chr3-101236423-33
NR762--MA0768.1.LEF1	chr16	55888366	55888380	-	0.000	0.000	Merged-chr16-55888204-77
