#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR38965--MA0741.1.KLF16	chr3	52297522	52297532	+	0.000	0.000	Merged-chr3-52297502-16
NR23480--MA1107.1.KLF9	chr16	3859465	3859477	-	0.000	0.000	Merged-chr16-3859586-8
NR47874--MA0493.1.Klf1	chr5	66190794	66190804	-	0.000	0.000	Merged-chr5-66190965-54
NR9874--MA0742.1.Klf12	chr11	55031656	55031670	-	0.000	0.000	Merged-chr11-55031517-56
NR2515--MA0741.1.KLF16	chr1	143505176	143505186	+	0.000	0.000	Merged-chr1-143505261-1
NR40292--MA0740.1.KLF14	chr3	105825730	105825743	+	0.000	0.000	Merged-chr3-105825792-34
NR14222--MA0740.1.KLF14	chr12	82326689	82326702	-	0.000	0.000	Merged-chr12-82326673-11
NR10947--MA0599.1.KLF5	chr11	79698234	79698243	+	0.000	0.000	Merged-chr11-79698290-25
NR34583--MA0493.1.Klf1	chr2	69917455	69917465	-	0.000	0.000	Merged-chr2-69917342-25
NR49816--MA1107.1.KLF9	chr5	123150865	123150877	-	0.000	0.000	Merged-chr5-123150677-160
NR16152--MA0599.1.KLF5	chr13	42049184	42049193	-	0.000	0.000	Merged-chr13-42049130-34
NR28615--MA0741.1.KLF16	chr17	84116731	84116741	+	0.000	0.000	Merged-chr17-84116630-65
NR42103--MA0599.1.KLF5	chr3	154628467	154628476	+	0.000	0.000	Merged-chr3-154628476-23
NR366--MA1107.1.KLF9	chr1	37286804	37286816	-	0.000	0.000	Merged-chr1-37286924-34
NR47855--MA0741.1.KLF16	chr5	65914612	65914622	-	0.000	0.000	Merged-chr5-65914511-22
NR14083--MA1107.1.KLF9	chr12	77765417	77765429	+	0.000	0.000	Merged-chr12-77765433-12
NR39235--MA1107.1.KLF9	chr3	68784302	68784314	-	0.000	0.000	Merged-chr3-68784168-43
NR27584--MA0039.3.KLF4	chr17	47564782	47564792	+	0.000	0.000	Merged-chr17-47564757-20
NR6376--MA1107.1.KLF9	chr10	78243970	78243982	-	0.000	0.000	Merged-chr10-78243898-1
NR35472--MA0599.1.KLF5	chr2	103703495	103703504	-	0.000	0.000	Merged-chr2-103703560-39
NR3203--MA0657.1.KLF13	chr1	164053794	164053811	-	0.000	0.000	Merged-chr1-164053798-7
NR56017--MA0741.1.KLF16	chr7	28665852	28665862	-	0.000	0.000	Merged-chr7-28665750-36
NR48227--MA0742.1.Klf12	chr5	77144722	77144736	-	0.000	0.000	Merged-chr5-77144936-48
NR36665--MA0599.1.KLF5	chr2	144245646	144245655	+	0.000	0.000	Merged-chr2-144245539-27
NR7354--MA1107.1.KLF9	chr10	94942931	94942943	+	0.000	0.000	Merged-chr10-94942923-6
NR63356--MA0493.1.Klf1	chr9	14365715	14365725	+	0.000	0.000	Merged-chr9-14365673-24
NR37766--MA0742.1.Klf12	chr2	167831831	167831845	-	0.000	0.000	Merged-chr2-167831852-3
NR24780--MA0039.3.KLF4	chr16	64800653	64800663	+	0.000	0.000	Merged-chr16-64800516-42
NR29531--MA0039.3.KLF4	chr18	39141874	39141884	-	0.000	0.000	Merged-chr18-39141814-16
NR42097--MA0039.3.KLF4	chr3	154628449	154628459	+	0.000	0.000	Merged-chr3-154628476-23
NR53029--MA0742.1.Klf12	chr6	88939585	88939599	-	0.000	0.000	Merged-chr6-88939617-36
NR23159--MA0740.1.KLF14	chr15	98634713	98634726	+	0.000	0.000	Merged-chr15-98634819-42
NR22239--MA0493.1.Klf1	chr15	78515790	78515800	-	0.000	0.000	Merged-chr15-78515914-15
NR42406--MA0039.3.KLF4	chr4	11684334	11684344	+	0.000	0.000	Merged-chr4-11684265-15
NR47999--MA1107.1.KLF9	chr5	72202164	72202176	+	0.000	0.000	Merged-chr5-72202096-40
NR7127--MA0599.1.KLF5	chr10	88540383	88540392	-	0.000	0.000	Merged-chr10-88540211-41
NR24754--MA0742.1.Klf12	chr16	59459634	59459648	-	0.000	0.000	Merged-chr16-59459484-51
NR19977--MA0599.1.KLF5	chr14	73112612	73112621	-	0.000	0.000	Merged-chr14-73112682-7
NR54555--MA0599.1.KLF5	chr6	140507838	140507847	+	0.000	0.000	Merged-chr6-140507900-3
NR18985--MA0493.1.Klf1	chr14	33099340	33099350	+	0.000	0.000	Merged-chr14-33099452-34
NR37192--MA0657.1.KLF13	chr2	157071719	157071736	-	0.000	0.000	Merged-chr2-157071692-20
NR35471--MA1107.1.KLF9	chr2	103703461	103703473	-	0.000	0.000	Merged-chr2-103703560-39
NR41245--MA1107.1.KLF9	chr3	135590638	135590650	+	0.000	0.000	Merged-chr3-135590750-10
NR33019--MA0493.1.Klf1	chr2	6444947	6444957	+	0.000	0.000	Merged-chr2-6444990-17
NR39669--MA0039.3.KLF4	chr3	89869853	89869863	+	0.000	0.000	Merged-chr3-89869741-17
NR10719--MA0599.1.KLF5	chr11	75878000	75878009	-	0.000	0.000	Merged-chr11-75877808-8
NR59570--MA0599.1.KLF5	chr7	141006602	141006611	-	0.000	0.000	Merged-chr7-141006658-12
NR45013--MA0039.3.KLF4	chr4	130921147	130921157	-	0.000	0.000	Merged-chr4-130921297-32
NR26677--MA0741.1.KLF16	chr17	28488298	28488308	+	0.000	0.000	Merged-chr17-28488439-21
NR21757--MA0742.1.Klf12	chr15	60120104	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR45251--MA0741.1.KLF16	chr4	133666365	133666375	-	0.000	0.000	Merged-chr4-133666445-25
NR45139--MA1107.1.KLF9	chr4	132808283	132808295	-	0.000	0.000	Merged-chr4-132808337-17
NR36198--MA0039.3.KLF4	chr2	128470706	128470716	-	0.000	0.000	Merged-chr2-128470524-44
NR22238--MA0039.3.KLF4	chr15	78515788	78515798	-	0.000	0.000	Merged-chr15-78515914-15
NR54868--MA0493.1.Klf1	chr6	144664961	144664971	+	0.000	0.000	Merged-chr6-144664964-20
NR39227--MA0493.1.Klf1	chr3	68784321	68784331	-	0.000	0.000	Merged-chr3-68784168-43
NR6153--MA0493.1.Klf1	chr10	74823552	74823562	-	0.000	0.000	Merged-chr10-74823662-27
NR61298--MA0742.1.Klf12	chr8	77482256	77482270	+	0.000	0.000	Merged-chr8-77482121-16
NR35704--MA0742.1.Klf12	chr2	114136989	114137003	-	0.000	0.000	Merged-chr2-114137020-31
NR40070--MA1107.1.KLF9	chr3	100812077	100812089	+	0.000	0.000	Merged-chr3-100812047-20
