#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR6139--MA1104.1.GATA6	chr7	67500440	67500452	+	0.000	0.000	Merged-chr7-67500556-27
NR2801--MA0035.3.Gata1	chr16	24826502	24826512	+	0.000	0.000	Merged-chr16-24826564-20
NR397--MA0037.3.GATA3	chr1	175631875	175631882	+	0.000	0.000	Merged-chr1-175631822-65
NR1240--MA1104.1.GATA6	chr11	106430741	106430753	-	0.000	0.000	Merged-chr11-106430638-37
NR3559--MA0035.3.Gata1	chr19	31321987	31321997	-	0.000	0.000	Merged-chr19-31321995-11
NR2747--MA0036.3.GATA2	chr16	10585579	10585589	-	0.000	0.000	Merged-chr16-10585448-58
NR232--MA0766.1.GATA5	chr1	131170137	131170144	-	0.000	0.000	Merged-chr1-131170011-6
NR4884--MA0036.3.GATA2	chr4	122829338	122829348	-	0.000	0.000	Merged-chr4-122829434-12
NR6912--MA0482.1.Gata4	chr9	92274723	92274733	-	0.000	0.000	Merged-chr9-92274591-56
NR474--MA0036.3.GATA2	chr1	191102863	191102873	+	0.000	0.000	Merged-chr1-191102990-43
NR6431--MA0766.1.GATA5	chr8	69328896	69328903	-	0.000	0.000	Merged-chr8-69328899-30
NR3373--MA0482.1.Gata4	chr18	57249951	57249961	-	0.000	0.000	Merged-chr18-57249763-26
NR3168--MA0482.1.Gata4	chr17	48450374	48450384	+	0.000	0.000	Merged-chr17-48450233-8
NR5960--MA0037.3.GATA3	chr6	142809494	142809501	+	0.000	0.000	Merged-chr6-142809719-29
NR3042--MA1104.1.GATA6	chr17	7904964	7904976	-	0.000	0.000	Merged-chr17-7905100-9
