#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR2632--MA0768.1.LEF1	chr9	68966889	68966903	-	0.000	0.000	Merged-chr9-68966744-26
NR1024--MA0768.1.LEF1	chr16	44766968	44766982	-	0.000	0.000	Merged-chr16-44767090-2
NR2169--MA0768.1.LEF1	chr6	41113489	41113503	+	0.000	0.000	Merged-chr6-41113305-59
NR2096--MA0768.1.LEF1	chr5	117924807	117924821	+	0.000	0.000	Merged-chr5-117924808-8
NR683--MA0768.1.LEF1	chr13	85459535	85459549	-	0.000	0.000	Merged-chr13-85459512-26
NR2553--MA0768.1.LEF1	chr8	115188725	115188739	-	0.000	0.000	Merged-chr8-115188643-43
NR795--MA0768.1.LEF1	chr14	54061806	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR1383--MA0768.1.LEF1	chr2	11617019	11617033	+	0.000	0.000	Merged-chr2-11617013-39
NR2012--MA0768.1.LEF1	chr5	45790459	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR2179--MA0768.1.LEF1	chr6	51288127	51288141	-	0.000	0.000	Merged-chr6-51287938-60
NR636--MA0768.1.LEF1	chr13	44317655	44317669	-	0.000	0.000	Merged-chr13-44317703-16
NR462--MA0768.1.LEF1	chr11	116418606	116418620	+	0.000	0.000	Merged-chr11-116418803-35
NR1802--MA0768.1.LEF1	chr3	152127481	152127495	+	0.000	0.000	Merged-chr3-152127515-20
NR2029--MA0768.1.LEF1	chr5	64455555	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR643--MA0768.1.LEF1	chr13	52008132	52008146	-	0.000	0.000	Merged-chr13-52008191-11
NR2097--MA0768.1.LEF1	chr5	117924832	117924846	-	0.000	0.000	Merged-chr5-117924808-8
NR241--MA0768.1.LEF1	chr10	28564335	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR2394--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR507--MA0768.1.LEF1	chr12	52644410	52644424	-	0.000	0.000	Merged-chr12-52644289-23
NR879--MA0768.1.LEF1	chr15	6726640	6726654	-	0.000	0.000	Merged-chr15-6726597-28
NR249--MA0768.1.LEF1	chr10	41615634	41615648	+	0.000	0.000	Merged-chr10-41615681-31
NR2635--MA0768.1.LEF1	chr9	69313915	69313929	-	0.000	0.000	Merged-chr9-69313976-5
NR2162--MA0768.1.LEF1	chr6	34277819	34277833	+	0.000	0.000	Merged-chr6-34277890-22
NR1516--MA0768.1.LEF1	chr2	107005953	107005967	+	0.000	0.000	Merged-chr2-107005967-12
NR2512--MA0768.1.LEF1	chr8	72291253	72291267	+	0.000	0.000	Merged-chr8-72291225-23
NR199--MA0768.1.LEF1	chr1	184197638	184197652	-	0.000	0.000	Merged-chr1-184197455-33
NR1669--MA0768.1.LEF1	chr3	60469294	60469308	-	0.000	0.000	Merged-chr3-60469129-75
NR446--MA0768.1.LEF1	chr11	109495865	109495879	+	0.000	0.000	Merged-chr11-109495747-14
NR1804--MA0768.1.LEF1	chr3	152469134	152469148	-	0.000	0.000	Merged-chr3-152468947-42
NR430--MA0768.1.LEF1	chr11	93995373	93995387	+	0.000	0.000	Merged-chr11-93995310-5
NR1233--MA0768.1.LEF1	chr18	54860625	54860639	+	0.000	0.000	Merged-chr18-54860804-67
NR1256--MA0768.1.LEF1	chr18	66453474	66453488	-	0.000	0.000	Merged-chr18-66453430-39
NR467--MA0768.1.LEF1	chr12	3791934	3791948	-	0.000	0.000	Merged-chr12-3791945-40
NR30--MA0768.1.LEF1	chr1	51820734	51820748	+	0.000	0.000	Merged-chr1-51820806-47
NR406--MA0768.1.LEF1	chr11	64021026	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR2755--MA0768.1.LEF1	chrX	132288201	132288215	+	0.000	0.000	Merged-chrX-132288230-18
NR954--MA0768.1.LEF1	chr15	84168876	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR2730--MA0768.1.LEF1	chrX	20772011	20772025	-	0.000	0.000	Merged-chrX-20771944-57
NR1873--MA0768.1.LEF1	chr4	59214806	59214820	-	0.000	0.000	Merged-chr4-59214886-25
