#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR4876--MA0035.3.Gata1	chr3	60565492	60565502	-	0.000	0.000	Merged-chr3-60565389-13
NR3701--MA0037.3.GATA3	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR3155--MA0482.1.Gata4	chr16	57319937	57319947	-	0.000	0.000	Merged-chr16-57319907-20
NR5587--MA0035.3.Gata1	chr4	124769255	124769265	-	0.000	0.000	Merged-chr4-124769177-27
NR3036--MA0035.3.Gata1	chr16	36602847	36602857	+	0.000	0.000	Merged-chr16-36602811-38
NR6803--MA0482.1.Gata4	chr7	30717422	30717432	+	0.000	0.000	Merged-chr7-30717543-30
NR6413--MA0035.3.Gata1	chr6	99801066	99801076	+	0.000	0.000	Merged-chr6-99800956-8
NR7689--MA0036.3.GATA2	chr9	78024980	78024990	+	0.000	0.000	Merged-chr9-78024957-31
NR2476--MA0036.3.GATA2	chr14	61853657	61853667	+	0.000	0.000	Merged-chr14-61853631-6
NR1008--MA0035.3.Gata1	chr10	120895743	120895753	-	0.000	0.000	Merged-chr10-120895921-55
NR7469--MA1104.1.GATA6	chr9	7576784	7576796	+	0.000	0.000	Merged-chr9-7576753-19
NR873--MA1104.1.GATA6	chr10	85359513	85359525	-	0.000	0.000	Merged-chr10-85359625-39
NR2343--MA0766.1.GATA5	chr14	31401017	31401024	+	0.000	0.000	Merged-chr14-31401139-16
NR6248--MA0037.3.GATA3	chr6	49354721	49354728	-	0.000	0.000	Merged-chr6-49354722-8
NR3281--MA1104.1.GATA6	chr16	92307631	92307643	+	0.000	0.000	Merged-chr16-92307633-7
NR4241--MA0140.2.GATA1::TAL1	chr2	59474550	59474567	-	0.000	0.000	Merged-chr2-59474458-28
NR854--MA0036.3.GATA2	chr10	80827013	80827023	-	0.000	0.000	Merged-chr10-80827107-1
NR5484--MA1104.1.GATA6	chr4	88275646	88275658	-	0.000	0.000	Merged-chr4-88275744-16
NR363--MA1104.1.GATA6	chr1	133571484	133571496	+	0.000	0.000	Merged-chr1-133571423-3
NR3979--MA1104.1.GATA6	chr19	32998969	32998981	+	0.000	0.000	Merged-chr19-32999080-29
NR354--MA0766.1.GATA5	chr1	130838475	130838482	+	0.000	0.000	Merged-chr1-130838519-27
NR3217--MA1104.1.GATA6	chr16	66086700	66086712	-	0.000	0.000	Merged-chr16-66086640-17
NR5625--MA1104.1.GATA6	chr4	136106795	136106807	-	0.000	0.000	Merged-chr4-136106995-34
NR2293--MA0036.3.GATA2	chr14	19979554	19979564	-	0.000	0.000	Merged-chr14-19979538-4
NR6482--MA0035.3.Gata1	chr6	120580288	120580298	-	0.000	0.000	Merged-chr6-120580158-49
NR986--MA0766.1.GATA5	chr10	117377488	117377495	-	0.000	0.000	Merged-chr10-117377577-5
NR7904--MA0140.2.GATA1::TAL1	chr9	119255026	119255043	+	0.000	0.000	Merged-chr9-119254891-26
NR5032--MA0482.1.Gata4	chr3	115704680	115704690	-	0.000	0.000	Merged-chr3-115704719-34
