#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR4923--MA0496.2.MAFK	chr16	84879330	84879348	+	0.000	0.000	Merged-chr16-84879378-33
NR4027--MA0089.1.MAFG::NFE2L1	chr14	101481168	101481173	-	0.000	0.000	Merged-chr14-101481280-1
NR10657--MA0089.1.MAFG::NFE2L1	chr7	74343822	74343827	+	0.000	0.000	Merged-chr7-74343758-7
NR110--MA0117.2.Mafb	chr1	38777699	38777710	+	0.000	0.000	Merged-chr1-38777708-41
NR6409--MA0496.2.MAFK	chr2	30112755	30112773	-	0.000	0.000	Merged-chr2-30112786-18
NR11788--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR7530--MA0496.2.MAFK	chr3	30952368	30952386	+	0.000	0.000	Merged-chr3-30952502-53
NR4818--MA0117.2.Mafb	chr16	52292840	52292851	-	0.000	0.000	Merged-chr16-52292729-42
NR3058--MA0591.1.Bach1::Mafk	chr13	6626713	6626727	+	0.000	0.000	Merged-chr13-6626818-32
NR11312--MA0496.2.MAFK	chr8	54660906	54660924	+	0.000	0.000	Merged-chr8-54660891-16
NR1005--MA0495.2.MAFF	chr10	3238612	3238632	+	0.000	0.000	Merged-chr10-3238463-21
NR5726--MA0501.1.MAF::NFE2	chr18	56412985	56412999	-	0.000	0.000	Merged-chr18-56413005-50
NR8824--MA0089.1.MAFG::NFE2L1	chr4	152038927	152038932	-	0.000	0.000	Merged-chr4-152038898-1
NR3851--MA0089.1.MAFG::NFE2L1	chr14	61774045	61774050	-	0.000	0.000	Merged-chr14-61773988-12
NR10340--MA0089.1.MAFG::NFE2L1	chr6	144922951	144922956	-	0.000	0.000	Merged-chr6-144923057-24
NR8420--MA0089.1.MAFG::NFE2L1	chr4	102983061	102983066	-	0.000	0.000	Merged-chr4-102982899-26
NR5615--MA0501.1.MAF::NFE2	chr18	25367711	25367725	-	0.000	0.000	Merged-chr18-25367708-17
NR3088--MA0117.2.Mafb	chr13	18757833	18757844	+	0.000	0.000	Merged-chr13-18757680-4
NR7896--MA0089.1.MAFG::NFE2L1	chr3	130571191	130571196	-	0.000	0.000	Merged-chr3-130571110-5
NR227--MA0659.1.MAFG	chr1	64601371	64601391	-	0.000	0.000	Merged-chr1-64601532-28
NR9925--MA0496.2.MAFK	chr6	97447131	97447149	+	0.000	0.000	Merged-chr6-97447180-22
NR1215--MA0496.2.MAFK	chr10	53346650	53346668	+	0.000	0.000	Merged-chr10-53346835-25
NR267--MA0501.1.MAF::NFE2	chr1	78644169	78644183	-	0.000	0.000	Merged-chr1-78644356-22
NR4733--MA0117.2.Mafb	chr16	35984009	35984020	+	0.000	0.000	Merged-chr16-35984000-4
NR361--MA0117.2.Mafb	chr1	92119350	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR12136--MA0089.1.MAFG::NFE2L1	chr9	86618231	86618236	-	0.000	0.000	Merged-chr9-86618128-57
NR6679--MA0591.1.Bach1::Mafk	chr2	85223660	85223674	-	0.000	0.000	Merged-chr2-85223588-7
NR9630--MA0495.2.MAFF	chr6	29735986	29736006	-	0.000	0.000	Merged-chr6-29735888-24
NR630--MA0089.1.MAFG::NFE2L1	chr1	155138999	155139004	+	0.000	0.000	Merged-chr1-155138999-23
NR9441--MA0591.1.Bach1::Mafk	chr5	137857144	137857158	+	0.000	0.000	Merged-chr5-137857044-20
NR1400--MA0089.1.MAFG::NFE2L1	chr10	85163106	85163111	+	0.000	0.000	Merged-chr10-85163133-13
NR2554--MA0591.1.Bach1::Mafk	chr12	25851738	25851752	-	0.000	0.000	Merged-chr12-25851772-17
NR7549--MA0591.1.Bach1::Mafk	chr3	37272567	37272581	+	0.000	0.000	Merged-chr3-37272616-19
NR4880--MA0089.1.MAFG::NFE2L1	chr16	65815333	65815338	-	0.000	0.000	Merged-chr16-65815445-39
NR8337--MA0501.1.MAF::NFE2	chr4	88079194	88079208	+	0.000	0.000	Merged-chr4-88079193-33
NR5485--MA0496.2.MAFK	chr17	86206503	86206521	+	0.000	0.000	Merged-chr17-86206449-38
NR5391--MA0496.2.MAFK	chr17	73810262	73810280	-	0.000	0.000	Merged-chr17-73810198-2
NR5047--MA0495.2.MAFF	chr16	97442080	97442100	+	0.000	0.000	Merged-chr16-97442198-19
NR5337--MA0591.1.Bach1::Mafk	chr17	63362391	63362405	-	0.000	0.000	Merged-chr17-63362357-31
NR6098--MA0089.1.MAFG::NFE2L1	chr19	33053369	33053374	+	0.000	0.000	Merged-chr19-33053321-32
NR1256--MA0501.1.MAF::NFE2	chr10	60162722	60162736	-	0.000	0.000	Merged-chr10-60162645-38
NR10815--MA0501.1.MAF::NFE2	chr7	101673563	101673577	-	0.000	0.000	Merged-chr7-101673634-22
NR9879--MA0089.1.MAFG::NFE2L1	chr6	89422838	89422843	-	0.000	0.000	Merged-chr6-89422834-19
NR2576--MA0117.2.Mafb	chr12	32144742	32144753	+	0.000	0.000	Merged-chr12-32144696-20
NR1948--MA0501.1.MAF::NFE2	chr11	55197807	55197821	+	0.000	0.000	Merged-chr11-55197770-39
NR3086--MA0501.1.MAF::NFE2	chr13	18757546	18757560	-	0.000	0.000	Merged-chr13-18757680-4
NR4918--MA0089.1.MAFG::NFE2L1	chr16	84627234	84627239	+	0.000	0.000	Merged-chr16-84627265-6
NR11700--MA0659.1.MAFG	chr8	125344032	125344052	+	0.000	0.000	Merged-chr8-125344095-45
NR3778--MA0501.1.MAF::NFE2	chr14	46578214	46578228	-	0.000	0.000	Merged-chr14-46578431-37
NR10608--MA0501.1.MAF::NFE2	chr7	58730386	58730400	-	0.000	0.000	Merged-chr7-58730426-6
NR9612--MA0496.2.MAFK	chr6	22314619	22314637	-	0.000	0.000	Merged-chr6-22314730-22
NR10364--MA0089.1.MAFG::NFE2L1	chr6	146271409	146271414	-	0.000	0.000	Merged-chr6-146271470-40
NR9007--MA0501.1.MAF::NFE2	chr5	35884565	35884579	+	0.000	0.000	Merged-chr5-35884735-14
NR234--MA0496.2.MAFK	chr1	69350805	69350823	+	0.000	0.000	Merged-chr1-69350970-27
NR4751--MA0501.1.MAF::NFE2	chr16	38619201	38619215	+	0.000	0.000	Merged-chr16-38619268-31
NR8200--MA0496.2.MAFK	chr4	41295741	41295759	+	0.000	0.000	Merged-chr4-41295781-15
NR2391--MA0495.2.MAFF	chr11	115172976	115172996	-	0.000	0.000	Merged-chr11-115173098-6
NR9460--MA0089.1.MAFG::NFE2L1	chr5	140871434	140871439	+	0.000	0.000	Merged-chr5-140871418-38
NR275--MA0495.2.MAFF	chr1	80321300	80321320	+	0.000	0.000	Merged-chr1-80321528-19
NR9109--MA0089.1.MAFG::NFE2L1	chr5	75791987	75791992	+	0.000	0.000	Merged-chr5-75792010-32
NR9299--MA0089.1.MAFG::NFE2L1	chr5	107649020	107649025	+	0.000	0.000	Merged-chr5-107649073-49
NR654--MA0089.1.MAFG::NFE2L1	chr1	160251549	160251554	+	0.000	0.000	Merged-chr1-160251414-1
NR9675--MA0089.1.MAFG::NFE2L1	chr6	38581881	38581886	-	0.000	0.000	Merged-chr6-38581914-20
NR2138--MA0659.1.MAFG	chr11	83828747	83828767	-	0.000	0.000	Merged-chr11-83828814-21
NR12379--MA0501.1.MAF::NFE2	chr9	120960861	120960875	+	0.000	0.000	Merged-chr9-120960803-26
NR7917--MA0089.1.MAFG::NFE2L1	chr3	133614202	133614207	-	0.000	0.000	Merged-chr3-133614378-37
NR9736--MA0501.1.MAF::NFE2	chr6	53709845	53709859	-	0.000	0.000	Merged-chr6-53709881-31
NR7375--MA0495.2.MAFF	chr2	172392428	172392448	-	0.000	0.000	Merged-chr2-172392373-19
NR9960--MA0591.1.Bach1::Mafk	chr6	100601864	100601878	+	0.000	0.000	Merged-chr6-100601796-17
NR5354--MA0089.1.MAFG::NFE2L1	chr17	66074078	66074083	+	0.000	0.000	Merged-chr17-66074199-45
NR602--MA0495.2.MAFF	chr1	152038375	152038395	-	0.000	0.000	Merged-chr1-152038311-34
NR5403--MA0117.2.Mafb	chr17	74354552	74354563	+	0.000	0.000	Merged-chr17-74354475-5
NR2170--MA0501.1.MAF::NFE2	chr11	87724912	87724926	+	0.000	0.000	Merged-chr11-87724985-4
NR11723--MA0659.1.MAFG	chr8	126686967	126686987	+	0.000	0.000	Merged-chr8-126687126-29
NR4342--MA0591.1.Bach1::Mafk	chr15	64156007	64156021	+	0.000	0.000	Merged-chr15-64155964-10
NR9368--MA0501.1.MAF::NFE2	chr5	118459263	118459277	+	0.000	0.000	Merged-chr5-118459323-25
NR7224--MA0089.1.MAFG::NFE2L1	chr2	158160167	158160172	-	0.000	0.000	Merged-chr2-158160127-37
NR4664--MA0591.1.Bach1::Mafk	chr16	22794958	22794972	+	0.000	0.000	Merged-chr16-22794765-7
NR552--MA0089.1.MAFG::NFE2L1	chr1	138596496	138596501	-	0.000	0.000	Merged-chr1-138596413-38
NR4278--MA0591.1.Bach1::Mafk	chr15	58750245	58750259	-	0.000	0.000	Merged-chr15-58750240-28
NR9257--MA0501.1.MAF::NFE2	chr5	103519351	103519365	-	0.000	0.000	Merged-chr5-103519211-48
NR11963--MA0495.2.MAFF	chr9	61187130	61187150	-	0.000	0.000	Merged-chr9-61187199-16
NR4694--MA0659.1.MAFG	chr16	24854663	24854683	+	0.000	0.000	Merged-chr16-24854563-13
NR533--MA0591.1.Bach1::Mafk	chr1	136255312	136255326	-	0.000	0.000	Merged-chr1-136255292-47
NR2611--MA0495.2.MAFF	chr12	40244074	40244094	-	0.000	0.000	Merged-chr12-40244001-31
NR3709--MA0089.1.MAFG::NFE2L1	chr14	20938759	20938764	-	0.000	0.000	Merged-chr14-20938813-17
NR1010--MA0501.1.MAF::NFE2	chr10	3238612	3238626	-	0.000	0.000	Merged-chr10-3238463-21
NR3495--MA0089.1.MAFG::NFE2L1	chr13	102873652	102873657	+	0.000	0.000	Merged-chr13-102873625-24
NR2168--MA0495.2.MAFF	chr11	87724906	87724926	-	0.000	0.000	Merged-chr11-87724985-4
NR6570--MA0089.1.MAFG::NFE2L1	chr2	59393329	59393334	-	0.000	0.000	Merged-chr2-59393267-21
NR10460--MA0501.1.MAF::NFE2	chr7	16343741	16343755	+	0.000	0.000	Merged-chr7-16343810-22
NR5365--MA0089.1.MAFG::NFE2L1	chr17	70746962	70746967	+	0.000	0.000	Merged-chr17-70746811-20
NR6306--MA0089.1.MAFG::NFE2L1	chr2	4559625	4559630	+	0.000	0.000	Merged-chr2-4559721-92
NR3925--MA0495.2.MAFF	chr14	73057945	73057965	+	0.000	0.000	Merged-chr14-73058003-24
NR5667--MA0089.1.MAFG::NFE2L1	chr18	39801296	39801301	+	0.000	0.000	Merged-chr18-39801283-11
NR2089--MA0591.1.Bach1::Mafk	chr11	75878755	75878769	+	0.000	0.000	Merged-chr11-75878686-10
NR1635--MA0089.1.MAFG::NFE2L1	chr10	121398916	121398921	-	0.000	0.000	Merged-chr10-121398884-14
NR9382--MA0089.1.MAFG::NFE2L1	chr5	121843014	121843019	-	0.000	0.000	Merged-chr5-121843055-34
NR4710--MA0089.1.MAFG::NFE2L1	chr16	30678489	30678494	+	0.000	0.000	Merged-chr16-30678432-4
NR3129--MA0089.1.MAFG::NFE2L1	chr13	30154492	30154497	-	0.000	0.000	Merged-chr13-30154580-19
NR3505--MA0089.1.MAFG::NFE2L1	chr13	104914807	104914812	-	0.000	0.000	Merged-chr13-104914750-21
NR6394--MA0089.1.MAFG::NFE2L1	chr2	25620559	25620564	-	0.000	0.000	Merged-chr2-25620603-21
NR6687--MA0591.1.Bach1::Mafk	chr2	90752575	90752589	-	0.000	0.000	Merged-chr2-90752646-2
NR7390--MA0501.1.MAF::NFE2	chr2	173386021	173386035	+	0.000	0.000	Merged-chr2-173385876-50
NR4797--MA0591.1.Bach1::Mafk	chr16	50201784	50201798	-	0.000	0.000	Merged-chr16-50201808-40
NR7085--MA0495.2.MAFF	chr2	145804907	145804927	-	0.000	0.000	Merged-chr2-145804796-32
NR6543--MA0117.2.Mafb	chr2	52955271	52955282	+	0.000	0.000	Merged-chr2-52955279-28
NR9920--MA0117.2.Mafb	chr6	97447139	97447150	-	0.000	0.000	Merged-chr6-97447180-22
NR7971--MA0501.1.MAF::NFE2	chr3	142533316	142533330	+	0.000	0.000	Merged-chr3-142533345-44
NR9797--MA0496.2.MAFK	chr6	67668205	67668223	-	0.000	0.000	Merged-chr6-67668321-12
NR2088--MA0495.2.MAFF	chr11	75878752	75878772	-	0.000	0.000	Merged-chr11-75878686-10
NR10309--MA0089.1.MAFG::NFE2L1	chr6	143366044	143366049	+	0.000	0.000	Merged-chr6-143366035-15
NR534--MA0501.1.MAF::NFE2	chr1	136255309	136255323	-	0.000	0.000	Merged-chr1-136255292-47
NR3057--MA0495.2.MAFF	chr13	6626710	6626730	-	0.000	0.000	Merged-chr13-6626818-32
NR9318--MA0089.1.MAFG::NFE2L1	chr5	110650402	110650407	-	0.000	0.000	Merged-chr5-110650328-3
NR3777--MA0591.1.Bach1::Mafk	chr14	46578217	46578231	-	0.000	0.000	Merged-chr14-46578431-37
NR7911--MA0089.1.MAFG::NFE2L1	chr3	133160001	133160006	-	0.000	0.000	Merged-chr3-133159832-24
