#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR1492--MA0690.1.TBX21	chr5	65737497	65737506	-	0.000	0.000	Merged-chr5-65737481-18
NR1904--MA0690.1.TBX21	chr8	88592927	88592936	+	0.000	0.000	Merged-chr8-88592850-20
NR1755--MA0690.1.TBX21	chr7	66160265	66160274	-	0.000	0.000	Merged-chr7-66160187-16
NR1102--MA0690.1.TBX21	chr2	34494409	34494418	-	0.000	0.000	Merged-chr2-34494375-14
NR1083--MA0690.1.TBX21	chr2	25170441	25170450	+	0.000	0.000	Merged-chr2-25170502-21
NR2065--MA0690.1.TBX21	chr9	117911001	117911010	+	0.000	0.000	Merged-chr9-117910970-21
NR1572--MA0690.1.TBX21	chr5	143518120	143518129	-	0.000	0.000	Merged-chr5-143518064-68
NR1965--MA0690.1.TBX21	chr9	27023912	27023921	-	0.000	0.000	Merged-chr9-27023866-37
NR1455--MA0690.1.TBX21	chr4	138033678	138033687	+	0.000	0.000	Merged-chr4-138033707-13
NR1577--MA0690.1.TBX21	chr5	144973180	144973189	-	0.000	0.000	Merged-chr5-144972995-15
NR1848--MA0690.1.TBX21	chr7	142435690	142435699	-	0.000	0.000	Merged-chr7-142435660-33
NR1434--MA0690.1.TBX21	chr4	126253828	126253837	-	0.000	0.000	Merged-chr4-126253924-28
NR1718--MA0690.1.TBX21	chr7	4464490	4464499	+	0.000	0.000	Merged-chr7-4464501-45
NR1827--MA0690.1.TBX21	chr7	128062708	128062717	-	0.000	0.000	Merged-chr7-128062681-13
NR1522--MA0690.1.TBX21	chr5	97964568	97964577	+	0.000	0.000	Merged-chr5-97964675-19
NR1439--MA0690.1.TBX21	chr4	129571820	129571829	+	0.000	0.000	Merged-chr4-129571823-22
NR1025--MA0690.1.TBX21	chr19	30125371	30125380	-	0.000	0.000	Merged-chr19-30125411-22
NR1657--MA0690.1.TBX21	chr6	114679326	114679335	+	0.000	0.000	Merged-chr6-114679499-19
NR1495--MA0690.1.TBX21	chr5	67418824	67418833	-	0.000	0.000	Merged-chr5-67418777-17
NR1081--MA0690.1.TBX21	chr2	25148061	25148070	-	0.000	0.000	Merged-chr2-25148103-14
NR1004--MA0690.1.TBX21	chr18	89304708	89304717	+	0.000	0.000	Merged-chr18-89304747-12
NR441--MA0690.1.TBX21	chr12	82268146	82268155	-	0.000	0.000	Merged-chr12-82268056-22
NR1378--MA0690.1.TBX21	chr4	21842805	21842814	-	0.000	0.000	Merged-chr4-21842691-16
NR202--MA0690.1.TBX21	chr10	44368894	44368903	-	0.000	0.000	Merged-chr10-44368737-26
NR542--MA0690.1.TBX21	chr13	52982926	52982935	+	0.000	0.000	Merged-chr13-52982941-24
NR97--MA0690.1.TBX21	chr1	151613363	151613372	+	0.000	0.000	Merged-chr1-151613371-29
NR1206--MA0690.1.TBX21	chr2	166457599	166457608	-	0.000	0.000	Merged-chr2-166457571-13
NR805--MA0690.1.TBX21	chr16	45019136	45019145	+	0.000	0.000	Merged-chr16-45019020-28
NR996--MA0690.1.TBX21	chr18	81422592	81422601	-	0.000	0.000	Merged-chr18-81422604-12
NR47--MA0690.1.TBX21	chr1	78478125	78478134	-	0.000	0.000	Merged-chr1-78478073-15
NR1961--MA0690.1.TBX21	chr9	21235607	21235616	-	0.000	0.000	Merged-chr9-21235513-26
NR606--MA0690.1.TBX21	chr13	114886212	114886221	-	0.000	0.000	Merged-chr13-114886416-28
NR348--MA0690.1.TBX21	chr11	83640445	83640454	-	0.000	0.000	Merged-chr11-83640282-44
NR186--MA0690.1.TBX21	chr10	26228344	26228353	+	0.000	0.000	Merged-chr10-26228346-20
NR1661--MA0690.1.TBX21	chr6	114883657	114883666	+	0.000	0.000	Merged-chr6-114883519-32
NR1932--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR829--MA0690.1.TBX21	chr16	84496897	84496906	-	0.000	0.000	Merged-chr16-84496971-26
NR2003--MA0690.1.TBX21	chr9	69362280	69362289	+	0.000	0.000	Merged-chr9-69362247-25
NR638--MA0690.1.TBX21	chr14	64628283	64628292	+	0.000	0.000	Merged-chr14-64628307-21
NR1972--MA0690.1.TBX21	chr9	43095827	43095836	-	0.000	0.000	Merged-chr9-43095855-1
NR1101--MA0690.1.TBX21	chr2	34494373	34494382	+	0.000	0.000	Merged-chr2-34494375-14
NR1332--MA0690.1.TBX21	chr3	144561697	144561706	+	0.000	0.000	Merged-chr3-144561824-38
NR1603--MA0690.1.TBX21	chr6	32779659	32779668	-	0.000	0.000	Merged-chr6-32779774-10
NR359--MA0690.1.TBX21	chr11	95777763	95777772	+	0.000	0.000	Merged-chr11-95777825-14
NR1964--MA0690.1.TBX21	chr9	22650014	22650023	+	0.000	0.000	Merged-chr9-22649822-33
NR197--MA0690.1.TBX21	chr10	39506906	39506915	-	0.000	0.000	Merged-chr10-39506782-12
NR1420--MA0690.1.TBX21	chr4	107092468	107092477	-	0.000	0.000	Merged-chr4-107092472-5
NR2035--MA0690.1.TBX21	chr9	100540373	100540382	+	0.000	0.000	Merged-chr9-100540480-23
NR1446--MA0690.1.TBX21	chr4	135077226	135077235	-	0.000	0.000	Merged-chr4-135077339-17
NR1555--MA0690.1.TBX21	chr5	134295767	134295776	-	0.000	0.000	Merged-chr5-134295794-17
NR1935--MA0690.1.TBX21	chr8	121176417	121176426	+	0.000	0.000	Merged-chr8-121176463-20
NR2027--MA0690.1.TBX21	chr9	94610711	94610720	+	0.000	0.000	Merged-chr9-94610795-11
NR740--MA0690.1.TBX21	chr15	81819865	81819874	-	0.000	0.000	Merged-chr15-81819861-26
NR570--MA0690.1.TBX21	chr13	93786598	93786607	+	0.000	0.000	Merged-chr13-93786561-7
NR1268--MA0690.1.TBX21	chr3	84630990	84630999	+	0.000	0.000	Merged-chr3-84630888-13
NR1539--MA0690.1.TBX21	chr5	115313773	115313782	+	0.000	0.000	Merged-chr5-115313738-19
NR1247--MA0690.1.TBX21	chr3	37753282	37753291	-	0.000	0.000	Merged-chr3-37753406-27
NR1574--MA0690.1.TBX21	chr5	143976918	143976927	+	0.000	0.000	Merged-chr5-143976902-14
NR1295--MA0690.1.TBX21	chr3	103406616	103406625	+	0.000	0.000	Merged-chr3-103406514-32
NR262--MA0690.1.TBX21	chr10	117969969	117969978	+	0.000	0.000	Merged-chr10-117970017-9
NR41--MA0690.1.TBX21	chr1	66878611	66878620	-	0.000	0.000	Merged-chr1-66878572-10
NR88--MA0690.1.TBX21	chr1	138843413	138843422	+	0.000	0.000	Merged-chr1-138843569-18
NR1579--MA0690.1.TBX21	chr5	146757450	146757459	+	0.000	0.000	Merged-chr5-146757539-9
NR1035--MA0690.1.TBX21	chr19	40665958	40665967	+	0.000	0.000	Merged-chr19-40666029-20
NR730--MA0690.1.TBX21	chr15	75633537	75633546	-	0.000	0.000	Merged-chr15-75633579-27
NR376--MA0690.1.TBX21	chr11	104629747	104629756	+	0.000	0.000	Merged-chr11-104629776-1
NR233--MA0690.1.TBX21	chr10	88540315	88540324	-	0.000	0.000	Merged-chr10-88540211-41
NR865--MA0690.1.TBX21	chr17	23748324	23748333	-	0.000	0.000	Merged-chr17-23748319-15
NR1136--MA0690.1.TBX21	chr2	73346543	73346552	+	0.000	0.000	Merged-chr2-73346607-35
NR769--MA0690.1.TBX21	chr15	98869908	98869917	+	0.000	0.000	Merged-chr15-98869705-35
