#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR1240--MA0690.1.TBX21	chr2	166625666	166625675	+	0.000	0.000	Merged-chr2-166625583-45
NR158--MA0690.1.TBX21	chr1	184908649	184908658	-	0.000	0.000	Merged-chr1-184908710-36
NR1524--MA0690.1.TBX21	chr5	23332527	23332536	+	0.000	0.000	Merged-chr5-23332600-11
NR1091--MA0690.1.TBX21	chr2	26188766	26188775	+	0.000	0.000	Merged-chr2-26188803-7
NR1885--MA0690.1.TBX21	chr7	123217649	123217658	+	0.000	0.000	Merged-chr7-123217710-2
NR408--MA0690.1.TBX21	chr11	108268681	108268690	-	0.000	0.000	Merged-chr11-108268786-21
NR389--MA0690.1.TBX21	chr11	99099208	99099217	+	0.000	0.000	Merged-chr11-99099093-22
NR1232--MA0690.1.TBX21	chr2	158719447	158719456	-	0.000	0.000	Merged-chr2-158719347-62
NR1484--MA0690.1.TBX21	chr4	134047806	134047815	+	0.000	0.000	Merged-chr4-134047792-28
NR2118--MA0690.1.TBX21	chr9	121669588	121669597	-	0.000	0.000	Merged-chr9-121669585-61
NR1721--MA0690.1.TBX21	chr6	86148795	86148804	-	0.000	0.000	Merged-chr6-86148822-10
NR1516--MA0690.1.TBX21	chr5	3461112	3461121	+	0.000	0.000	Merged-chr5-3460999-61
NR368--MA0690.1.TBX21	chr11	80262663	80262672	-	0.000	0.000	Merged-chr11-80262674-5
NR1102--MA0690.1.TBX21	chr2	34162843	34162852	-	0.000	0.000	Merged-chr2-34162703-13
NR1830--MA0690.1.TBX21	chr7	75644852	75644861	+	0.000	0.000	Merged-chr7-75644760-27
NR1909--MA0690.1.TBX21	chr7	137476770	137476779	-	0.000	0.000	Merged-chr7-137476773-22
NR2078--MA0690.1.TBX21	chr9	95845004	95845013	-	0.000	0.000	Merged-chr9-95845141-41
NR1700--MA0690.1.TBX21	chr6	56931818	56931827	-	0.000	0.000	Merged-chr6-56931757-12
NR1604--MA0690.1.TBX21	chr5	114806262	114806271	-	0.000	0.000	Merged-chr5-114806233-37
