#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR31--MA0523.1.TCF7L2	chr1	36646630	36646643	+	0.000	0.000	Merged-chr1-36646512-17
NR578--MA1421.1.TCF7L1	chr1	192532400	192532411	+	0.000	0.000	Merged-chr1-192532397-12
NR1258--MA0769.1.Tcf7	chr11	108334393	108334404	+	0.000	0.000	Merged-chr11-108334513-21
NR6483--MA0523.1.TCF7L2	chr8	117121669	117121682	-	0.000	0.000	Merged-chr8-117121600-27
NR4583--MA1421.1.TCF7L1	chr4	32560503	32560514	-	0.000	0.000	Merged-chr4-32560610-21
NR527--MA1421.1.TCF7L1	chr1	184235702	184235713	-	0.000	0.000	Merged-chr1-184235792-37
NR6881--MA1421.1.TCF7L1	chr9	116091304	116091315	+	0.000	0.000	Merged-chr9-116091467-52
NR4407--MA0769.1.Tcf7	chr3	137933907	137933918	+	0.000	0.000	Merged-chr3-137934133-15
NR1368--MA0523.1.TCF7L2	chr12	32999924	32999937	-	0.000	0.000	Merged-chr12-32999849-21
NR4313--MA0769.1.Tcf7	chr3	121330403	121330414	-	0.000	0.000	Merged-chr3-121330261-59
NR147--MA0769.1.Tcf7	chr1	80416616	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR470--MA1421.1.TCF7L1	chr1	173412121	173412132	-	0.000	0.000	Merged-chr1-173412047-19
NR4555--MA0523.1.TCF7L2	chr4	6870750	6870763	-	0.000	0.000	Merged-chr4-6870603-25
NR3872--MA0523.1.TCF7L2	chr2	139934967	139934980	-	0.000	0.000	Merged-chr2-139934935-45
NR5202--MA1421.1.TCF7L1	chr5	103917177	103917188	+	0.000	0.000	Merged-chr5-103917325-19
NR685--MA1421.1.TCF7L1	chr10	42934764	42934775	+	0.000	0.000	Merged-chr10-42934777-29
NR2053--MA0769.1.Tcf7	chr14	21507260	21507271	-	0.000	0.000	Merged-chr14-21507188-15
NR838--MA0523.1.TCF7L2	chr10	90967039	90967052	+	0.000	0.000	Merged-chr10-90966965-2
NR4374--MA0523.1.TCF7L2	chr3	133760434	133760447	-	0.000	0.000	Merged-chr3-133760332-18
NR2642--MA1421.1.TCF7L1	chr16	28517966	28517977	-	0.000	0.000	Merged-chr16-28518091-55
NR2518--MA1421.1.TCF7L1	chr15	91616725	91616736	-	0.000	0.000	Merged-chr15-91616695-12
NR4121--MA0769.1.Tcf7	chr3	55660069	55660080	+	0.000	0.000	Merged-chr3-55660012-44
NR7054--MA0523.1.TCF7L2	chrX	159899315	159899328	-	0.000	0.000	Merged-chrX-159899215-24
NR716--MA1421.1.TCF7L1	chr10	58351891	58351902	+	0.000	0.000	Merged-chr10-58351765-21
NR640--MA0769.1.Tcf7	chr10	24111229	24111240	-	0.000	0.000	Merged-chr10-24111264-14
NR4069--MA0523.1.TCF7L2	chr3	10151766	10151779	-	0.000	0.000	Merged-chr3-10151750-17
NR1391--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR2227--MA0523.1.TCF7L2	chr14	87349055	87349068	-	0.000	0.000	Merged-chr14-87349015-16
NR6749--MA0769.1.Tcf7	chr9	82967388	82967399	+	0.000	0.000	Merged-chr9-82967336-26
NR6015--MA0523.1.TCF7L2	chr7	80554988	80555001	+	0.000	0.000	Merged-chr7-80554988-53
NR682--MA0523.1.TCF7L2	chr10	42633463	42633476	+	0.000	0.000	Merged-chr10-42633342-1
NR2061--MA1421.1.TCF7L1	chr14	27384158	27384169	-	0.000	0.000	Merged-chr14-27384235-54
NR417--MA0769.1.Tcf7	chr1	164072256	164072267	+	0.000	0.000	Merged-chr1-164072258-30
NR4696--MA0523.1.TCF7L2	chr4	88544199	88544212	+	0.000	0.000	Merged-chr4-88544037-33
NR5355--MA0769.1.Tcf7	chr5	148377582	148377593	+	0.000	0.000	Merged-chr5-148377759-34
NR529--MA0769.1.Tcf7	chr1	184235702	184235713	-	0.000	0.000	Merged-chr1-184235792-37
NR861--MA1421.1.TCF7L1	chr10	96201432	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR6333--MA0769.1.Tcf7	chr8	36010599	36010610	+	0.000	0.000	Merged-chr8-36010714-39
NR4283--MA0769.1.Tcf7	chr3	108124309	108124320	-	0.000	0.000	Merged-chr3-108124378-33
NR999--MA0769.1.Tcf7	chr10	130340352	130340363	-	0.000	0.000	Merged-chr10-130340277-13
NR1327--MA0769.1.Tcf7	chr11	120631162	120631173	+	0.000	0.000	Merged-chr11-120630995-1
NR5791--MA0523.1.TCF7L2	chr6	143115265	143115278	-	0.000	0.000	Merged-chr6-143115192-122
NR1591--MA0769.1.Tcf7	chr12	110861507	110861518	-	0.000	0.000	Merged-chr12-110861556-21
NR1448--MA0769.1.Tcf7	chr12	73711060	73711071	-	0.000	0.000	Merged-chr12-73710968-44
NR4331--MA0523.1.TCF7L2	chr3	126589727	126589740	+	0.000	0.000	Merged-chr3-126589665-27
NR71--MA1421.1.TCF7L1	chr1	55410835	55410846	+	0.000	0.000	Merged-chr1-55410920-19
NR5145--MA0769.1.Tcf7	chr5	92103276	92103287	-	0.000	0.000	Merged-chr5-92103243-24
NR3489--MA0523.1.TCF7L2	chr2	19716060	19716073	-	0.000	0.000	Merged-chr2-19715961-49
NR1589--MA1421.1.TCF7L1	chr12	110861507	110861518	-	0.000	0.000	Merged-chr12-110861556-21
NR4245--MA0523.1.TCF7L2	chr3	100999103	100999116	-	0.000	0.000	Merged-chr3-100999215-37
NR2250--MA1421.1.TCF7L1	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR638--MA1421.1.TCF7L1	chr10	24111238	24111249	-	0.000	0.000	Merged-chr10-24111264-14
NR6920--MA0769.1.Tcf7	chr9	121925042	121925053	+	0.000	0.000	Merged-chr9-121925182-15
NR3535--MA1421.1.TCF7L1	chr2	35680583	35680594	-	0.000	0.000	Merged-chr2-35680461-43
NR579--MA0523.1.TCF7L2	chr1	192532400	192532413	+	0.000	0.000	Merged-chr1-192532397-12
NR4123--MA1421.1.TCF7L1	chr3	58552641	58552652	+	0.000	0.000	Merged-chr3-58552438-57
NR5517--MA0523.1.TCF7L2	chr6	65569962	65569975	+	0.000	0.000	Merged-chr6-65569933-17
NR3631--MA0523.1.TCF7L2	chr2	68884858	68884871	+	0.000	0.000	Merged-chr2-68884857-23
NR1371--MA0523.1.TCF7L2	chr12	33076560	33076573	+	0.000	0.000	Merged-chr12-33076409-32
NR5820--MA1421.1.TCF7L1	chr6	145469522	145469533	+	0.000	0.000	Merged-chr6-145469437-17
