#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR1504--MA0684.1.RUNX3	chr11	10276428	10276437	-	0.000	0.000	Merged-chr11-10276392-45
NR9631--MA0511.2.RUNX2	chr9	48357393	48357401	+	0.000	0.000	Merged-chr9-48357343-17
NR4147--MA0684.1.RUNX3	chr17	12165580	12165589	+	0.000	0.000	Merged-chr17-12165459-54
NR7524--MA0684.1.RUNX3	chr5	100875965	100875974	+	0.000	0.000	Merged-chr5-100875815-38
NR9056--MA0002.2.RUNX1	chr7	140321276	140321286	+	0.000	0.000	Merged-chr7-140321203-63
NR2910--MA0002.2.RUNX1	chr13	117051611	117051621	-	0.000	0.000	Merged-chr13-117051602-40
NR575--MA0002.2.RUNX1	chr1	155476448	155476458	+	0.000	0.000	Merged-chr1-155476472-40
NR5381--MA0511.2.RUNX2	chr2	61514185	61514193	-	0.000	0.000	Merged-chr2-61514287-58
NR9784--MA0002.2.RUNX1	chr9	80754779	80754789	+	0.000	0.000	Merged-chr9-80754738-24
NR9579--MA0002.2.RUNX1	chr9	33061074	33061084	-	0.000	0.000	Merged-chr9-33060885-64
NR9707--MA0002.2.RUNX1	chr9	63726813	63726823	-	0.000	0.000	Merged-chr9-63726755-24
NR6188--MA0684.1.RUNX3	chr3	94375472	94375481	-	0.000	0.000	Merged-chr3-94375656-27
NR10117--MA0002.2.RUNX1	chrX	52819526	52819536	-	0.000	0.000	Merged-chrX-52819571-21
NR5827--MA0511.2.RUNX2	chr2	167363581	167363589	+	0.000	0.000	Merged-chr2-167363421-42
NR5728--MA0002.2.RUNX1	chr2	152826006	152826016	-	0.000	0.000	Merged-chr2-152825903-49
NR8199--MA0511.2.RUNX2	chr6	108630934	108630942	-	0.000	0.000	Merged-chr6-108631007-44
NR2652--MA0002.2.RUNX1	chr13	63189852	63189862	-	0.000	0.000	Merged-chr13-63189715-33
NR5394--MA0511.2.RUNX2	chr2	65133924	65133932	+	0.000	0.000	Merged-chr2-65133825-19
NR5172--MA0684.1.RUNX3	chr2	7254733	7254742	-	0.000	0.000	Merged-chr2-7254714-17
NR3763--MA0684.1.RUNX3	chr16	14088467	14088476	-	0.000	0.000	Merged-chr16-14088440-49
NR716--MA0002.2.RUNX1	chr1	176827609	176827619	+	0.000	0.000	Merged-chr1-176827492-35
NR4441--MA0002.2.RUNX1	chr17	80579292	80579302	+	0.000	0.000	Merged-chr17-80579337-18
NR2490--MA0002.2.RUNX1	chr13	24779333	24779343	+	0.000	0.000	Merged-chr13-24779175-40
NR9449--MA0002.2.RUNX1	chr8	122530695	122530705	+	0.000	0.000	Merged-chr8-122530722-16
NR5300--MA0684.1.RUNX3	chr2	36220246	36220255	-	0.000	0.000	Merged-chr2-36220233-13
NR3538--MA0002.2.RUNX1	chr15	66445634	66445644	+	0.000	0.000	Merged-chr15-66445527-47
NR5774--MA0511.2.RUNX2	chr2	158154379	158154387	-	0.000	0.000	Merged-chr2-158154460-58
NR9035--MA0002.2.RUNX1	chr7	137476758	137476768	+	0.000	0.000	Merged-chr7-137476773-22
NR5281--MA0684.1.RUNX3	chr2	31119118	31119127	-	0.000	0.000	Merged-chr2-31119071-33
NR924--MA0511.2.RUNX2	chr10	19578236	19578244	+	0.000	0.000	Merged-chr10-19578163-111
NR3667--MA0684.1.RUNX3	chr15	94453041	94453050	+	0.000	0.000	Merged-chr15-94453103-20
NR8781--MA0002.2.RUNX1	chr7	92087614	92087624	+	0.000	0.000	Merged-chr7-92087702-17
NR3124--MA0002.2.RUNX1	chr14	64666912	64666922	-	0.000	0.000	Merged-chr14-64666873-42
NR3253--MA0684.1.RUNX3	chr14	102828680	102828689	+	0.000	0.000	Merged-chr14-102828632-27
NR5727--MA0684.1.RUNX3	chr2	152825926	152825935	+	0.000	0.000	Merged-chr2-152825903-49
NR9766--MA0511.2.RUNX2	chr9	80070226	80070234	-	0.000	0.000	Merged-chr9-80070269-16
NR934--MA0002.2.RUNX1	chr10	21479581	21479591	-	0.000	0.000	Merged-chr10-21479566-37
NR9796--MA0684.1.RUNX3	chr9	82961607	82961616	-	0.000	0.000	Merged-chr9-82961653-22
NR772--MA0002.2.RUNX1	chr1	184534678	184534688	-	0.000	0.000	Merged-chr1-184534660-49
NR5373--MA0511.2.RUNX2	chr2	60774692	60774700	+	0.000	0.000	Merged-chr2-60774747-55
