#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR10085--MA0002.2.RUNX1	chrX	37141939	37141949	+	0.000	0.000	Merged-chrX-37141960-22
NR5795--MA0511.2.RUNX2	chr2	160746826	160746834	-	0.000	0.000	Merged-chr2-160746776-15
NR9883--MA0511.2.RUNX2	chr9	98339863	98339871	+	0.000	0.000	Merged-chr9-98339700-17
NR3688--MA0684.1.RUNX3	chr15	97455659	97455668	+	0.000	0.000	Merged-chr15-97455795-23
NR1071--MA0684.1.RUNX3	chr10	60162674	60162683	-	0.000	0.000	Merged-chr10-60162645-38
NR9784--MA0002.2.RUNX1	chr9	80754779	80754789	+	0.000	0.000	Merged-chr9-80754738-24
NR2119--MA0684.1.RUNX3	chr12	76753001	76753010	+	0.000	0.000	Merged-chr12-76753055-50
NR802--MA0511.2.RUNX2	chr1	189746718	189746726	-	0.000	0.000	Merged-chr1-189746591-10
NR1421--MA0511.2.RUNX2	chr10	121282665	121282673	-	0.000	0.000	Merged-chr10-121282719-28
NR703--MA0002.2.RUNX1	chr1	173548629	173548639	+	0.000	0.000	Merged-chr1-173548778-45
NR5748--MA0684.1.RUNX3	chr2	154754296	154754305	+	0.000	0.000	Merged-chr2-154754253-27
NR3525--MA0002.2.RUNX1	chr15	61651349	61651359	+	0.000	0.000	Merged-chr15-61651331-17
NR6360--MA0002.2.RUNX1	chr3	126825137	126825147	+	0.000	0.000	Merged-chr3-126825034-19
NR640--MA0511.2.RUNX2	chr1	164414033	164414041	-	0.000	0.000	Merged-chr1-164413844-41
NR86--MA0511.2.RUNX2	chr1	36883849	36883857	+	0.000	0.000	Merged-chr1-36883943-16
NR7537--MA0684.1.RUNX3	chr5	103746760	103746769	-	0.000	0.000	Merged-chr5-103746858-38
NR5043--MA0002.2.RUNX1	chr19	41656259	41656269	+	0.000	0.000	Merged-chr19-41656223-24
NR2288--MA0511.2.RUNX2	chr12	105538366	105538374	+	0.000	0.000	Merged-chr12-105538395-6
NR7821--MA0511.2.RUNX2	chr5	149368335	149368343	-	0.000	0.000	Merged-chr5-149368318-30
NR7123--MA0684.1.RUNX3	chr4	144996003	144996012	+	0.000	0.000	Merged-chr4-144996009-47
NR5837--MA0002.2.RUNX1	chr2	168540017	168540027	+	0.000	0.000	Merged-chr2-168539977-33
