#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR8676--MA0591.1.Bach1::Mafk	chr4	102393743	102393757	-	0.000	0.000	Merged-chr4-102393739-36
NR7317--MA0089.1.MAFG::NFE2L1	chr2	150918919	150918924	-	0.000	0.000	Merged-chr2-150918832-31
NR11107--MA0089.1.MAFG::NFE2L1	chr7	80779424	80779429	+	0.000	0.000	Merged-chr7-80779458-48
NR4114--MA0089.1.MAFG::NFE2L1	chr14	70963725	70963730	-	0.000	0.000	Merged-chr14-70963640-56
NR3388--MA0089.1.MAFG::NFE2L1	chr13	46159453	46159458	-	0.000	0.000	Merged-chr13-46159501-43
NR209--MA0659.1.MAFG	chr1	64486460	64486480	-	0.000	0.000	Merged-chr1-64486540-36
NR7652--MA0501.1.MAF::NFE2	chr3	37292937	37292951	-	0.000	0.000	Merged-chr3-37292848-26
NR947--MA0089.1.MAFG::NFE2L1	chr1	183987870	183987875	+	0.000	0.000	Merged-chr1-183987914-47
NR1717--MA0089.1.MAFG::NFE2L1	chr10	116746877	116746882	+	0.000	0.000	Merged-chr10-116746686-40
NR10555--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR3188--MA0591.1.Bach1::Mafk	chr13	5890181	5890195	-	0.000	0.000	Merged-chr13-5890173-33
NR91--MA0496.2.MAFK	chr1	39196873	39196891	-	0.000	0.000	Merged-chr1-39196974-45
NR3662--MA0089.1.MAFG::NFE2L1	chr13	102873652	102873657	+	0.000	0.000	Merged-chr13-102873625-24
NR6445--MA0496.2.MAFK	chr2	4559577	4559595	+	0.000	0.000	Merged-chr2-4559721-92
NR469--MA0089.1.MAFG::NFE2L1	chr1	127297096	127297101	-	0.000	0.000	Merged-chr1-127297024-52
NR5243--MA0089.1.MAFG::NFE2L1	chr16	95809371	95809376	-	0.000	0.000	Merged-chr16-95809247-50
NR2784--MA0496.2.MAFK	chr12	76923294	76923312	+	0.000	0.000	Merged-chr12-76923289-32
NR8504--MA0496.2.MAFK	chr4	47314182	47314200	+	0.000	0.000	Merged-chr4-47314208-36
NR11180--MA0089.1.MAFG::NFE2L1	chr7	99027423	99027428	+	0.000	0.000	Merged-chr7-99027397-37
NR6561--MA0089.1.MAFG::NFE2L1	chr2	25620559	25620564	-	0.000	0.000	Merged-chr2-25620603-21
NR2218--MA0117.2.Mafb	chr11	79460874	79460885	+	0.000	0.000	Merged-chr11-79460952-43
NR6036--MA0659.1.MAFG	chr18	79303644	79303664	-	0.000	0.000	Merged-chr18-79303705-44
NR4993--MA0089.1.MAFG::NFE2L1	chr16	52143291	52143296	-	0.000	0.000	Merged-chr16-52143257-58
NR7952--MA0501.1.MAF::NFE2	chr3	109165414	109165428	-	0.000	0.000	Merged-chr3-109165436-34
NR11705--MA0591.1.Bach1::Mafk	chr8	40584824	40584838	-	0.000	0.000	Merged-chr8-40584789-43
NR5456--MA0089.1.MAFG::NFE2L1	chr17	44556037	44556042	+	0.000	0.000	Merged-chr17-44556103-15
NR5636--MA0659.1.MAFG	chr17	86188060	86188080	-	0.000	0.000	Merged-chr17-86187981-35
NR5404--MA0591.1.Bach1::Mafk	chr17	29362144	29362158	+	0.000	0.000	Merged-chr17-29362126-13
NR10091--MA0117.2.Mafb	chr6	53498097	53498108	-	0.000	0.000	Merged-chr6-53498072-40
NR956--MA0089.1.MAFG::NFE2L1	chr1	184751472	184751477	-	0.000	0.000	Merged-chr1-184751461-18
NR8557--MA0089.1.MAFG::NFE2L1	chr4	63939641	63939646	+	0.000	0.000	Merged-chr4-63939569-55
NR12513--MA0591.1.Bach1::Mafk	chr9	83564273	83564287	+	0.000	0.000	Merged-chr9-83564254-44
NR2268--MA0659.1.MAFG	chr11	87074101	87074121	-	0.000	0.000	Merged-chr11-87073947-35
NR1232--MA0501.1.MAF::NFE2	chr10	25457256	25457270	-	0.000	0.000	Merged-chr10-25457296-47
NR8859--MA0089.1.MAFG::NFE2L1	chr4	129827884	129827889	+	0.000	0.000	Merged-chr4-129827894-38
NR6851--MA0117.2.Mafb	chr2	79124345	79124356	+	0.000	0.000	Merged-chr2-79124485-40
NR10624--MA0117.2.Mafb	chr6	140817082	140817093	+	0.000	0.000	Merged-chr6-140817043-66
NR11940--MA0496.2.MAFK	chr8	106795005	106795023	+	0.000	0.000	Merged-chr8-106794988-23
NR37--MA0089.1.MAFG::NFE2L1	chr1	23321408	23321413	-	0.000	0.000	Merged-chr1-23321414-28
NR7337--MA0089.1.MAFG::NFE2L1	chr2	153326125	153326130	+	0.000	0.000	Merged-chr2-153325949-22
NR11735--MA0501.1.MAF::NFE2	chr8	64826687	64826701	-	0.000	0.000	Merged-chr8-64826546-37
NR7610--MA0659.1.MAFG	chr3	21917647	21917667	+	0.000	0.000	Merged-chr3-21917648-70
NR7492--MA0591.1.Bach1::Mafk	chr2	173647099	173647113	+	0.000	0.000	Merged-chr2-173647246-19
NR7424--MA0089.1.MAFG::NFE2L1	chr2	166740617	166740622	+	0.000	0.000	Merged-chr2-166740656-12
NR7109--MA0501.1.MAF::NFE2	chr2	125791849	125791863	+	0.000	0.000	Merged-chr2-125791694-59
NR2475--MA0591.1.Bach1::Mafk	chr11	115172979	115172993	-	0.000	0.000	Merged-chr11-115173098-6
NR12647--MA0089.1.MAFG::NFE2L1	chr9	100689914	100689919	+	0.000	0.000	Merged-chr9-100689976-48
NR8366--MA0089.1.MAFG::NFE2L1	chr3	157883998	157884003	+	0.000	0.000	Merged-chr3-157884103-23
NR1346--MA0089.1.MAFG::NFE2L1	chr10	59636948	59636953	+	0.000	0.000	Merged-chr10-59636988-40
NR540--MA0495.2.MAFF	chr1	138952343	138952363	-	0.000	0.000	Merged-chr1-138952405-35
NR9505--MA0501.1.MAF::NFE2	chr5	96879089	96879103	+	0.000	0.000	Merged-chr5-96879087-37
NR2651--MA0089.1.MAFG::NFE2L1	chr12	28829700	28829705	-	0.000	0.000	Merged-chr12-28829718-31
NR10437--MA0659.1.MAFG	chr6	121210700	121210720	+	0.000	0.000	Merged-chr6-121210795-40
NR6195--MA0501.1.MAF::NFE2	chr19	17124506	17124520	+	0.000	0.000	Merged-chr19-17124535-16
