#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1227--MA0508.2.PRDM1	chr2	144646519	144646528	-	0.000	0.000	Merged-chr2-144646502-21
NR1479--MA0508.2.PRDM1	chr4	59331212	59331221	+	0.000	0.000	Merged-chr4-59331068-10
NR630--MA0508.2.PRDM1	chr14	16270106	16270115	+	0.000	0.000	Merged-chr14-16270059-31
NR1567--MA0508.2.PRDM1	chr4	145285646	145285655	-	0.000	0.000	Merged-chr4-145285458-5
NR242--MA0508.2.PRDM1	chr10	77372276	77372285	+	0.000	0.000	Merged-chr10-77372172-15
NR1288--MA0508.2.PRDM1	chr3	19240100	19240109	-	0.000	0.000	Merged-chr3-19240113-21
NR364--MA0508.2.PRDM1	chr11	83662446	83662455	+	0.000	0.000	Merged-chr11-83662452-14
NR505--MA0508.2.PRDM1	chr12	117959154	117959163	-	0.000	0.000	Merged-chr12-117959315-24
NR226--MA0508.2.PRDM1	chr10	60156147	60156156	-	0.000	0.000	Merged-chr10-60156095-8
NR683--MA0508.2.PRDM1	chr14	73175902	73175911	+	0.000	0.000	Merged-chr14-73175814-32
NR606--MA0508.2.PRDM1	chr13	110564221	110564230	+	0.000	0.000	Merged-chr13-110564159-46
NR205--MA0508.2.PRDM1	chr10	37249763	37249772	+	0.000	0.000	Merged-chr10-37249909-39
NR2146--MA0508.2.PRDM1	chr9	116270599	116270608	+	0.000	0.000	Merged-chr9-116270494-11
