#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR8539--MA0599.1.KLF5	chr10	122047966	122047975	-	0.000	0.000	Merged-chr10-122047923-4
NR26141--MA0741.1.KLF16	chr16	78264698	78264708	-	0.000	0.000	Merged-chr16-78264728-2
NR9733--MA0657.1.KLF13	chr11	50440164	50440181	+	0.000	0.000	Merged-chr11-50440008-21
NR55752--MA0599.1.KLF5	chr6	118593943	118593952	+	0.000	0.000	Merged-chr6-118593680-90
NR49835--MA0599.1.KLF5	chr5	74704612	74704621	+	0.000	0.000	Merged-chr5-74704453-70
NR62186--MA0599.1.KLF5	chr8	3221122	3221131	+	0.000	0.000	Merged-chr8-3221344-66
NR28371--MA0599.1.KLF5	chr17	37028703	37028712	-	0.000	0.000	Merged-chr17-37028850-28
NR8535--MA0741.1.KLF16	chr10	122047889	122047899	+	0.000	0.000	Merged-chr10-122047923-4
NR48954--MA0039.3.KLF4	chr5	30240772	30240782	-	0.000	0.000	Merged-chr5-30240775-35
NR29480--MA0740.1.KLF14	chr17	74865011	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR9893--MA0599.1.KLF5	chr11	54002529	54002538	+	0.000	0.000	Merged-chr11-54002404-3
NR19837--MA1107.1.KLF9	chr14	34768543	34768555	+	0.000	0.000	Merged-chr14-34768619-7
NR5166--MA0493.1.Klf1	chr10	18193273	18193283	-	0.000	0.000	Merged-chr10-18193414-42
NR60683--MA0742.1.Klf12	chr7	112679301	112679315	+	0.000	0.000	Merged-chr7-112679423-49
NR34009--MA0657.1.KLF13	chr19	54115019	54115036	-	0.000	0.000	Merged-chr19-54115142-50
NR23579--MA1107.1.KLF9	chr15	82188230	82188242	+	0.000	0.000	Merged-chr15-82188110-14
NR66313--MA0599.1.KLF5	chr9	47530145	47530154	+	0.000	0.000	Merged-chr9-47530154-53
NR44753--MA0599.1.KLF5	chr4	45530839	45530848	+	0.000	0.000	Merged-chr4-45530813-118
NR55110--MA0741.1.KLF16	chr6	98609334	98609344	+	0.000	0.000	Merged-chr6-98609321-36
NR7126--MA1107.1.KLF9	chr10	83898135	83898147	+	0.000	0.000	Merged-chr10-83898059-2
NR16712--MA0599.1.KLF5	chr13	40676878	40676887	+	0.000	0.000	Merged-chr13-40676828-31
NR56953--MA1107.1.KLF9	chr6	142659042	142659054	+	0.000	0.000	Merged-chr6-142659170-20
NR26523--MA0599.1.KLF5	chr16	92400131	92400140	-	0.000	0.000	Merged-chr16-92400195-21
NR4902--MA0741.1.KLF16	chr10	5795626	5795636	+	0.000	0.000	Merged-chr10-5795457-7
NR31010--MA0599.1.KLF5	chr18	53904421	53904430	+	0.000	0.000	Merged-chr18-53904421-2
NR14485--MA0741.1.KLF16	chr12	76324786	76324796	+	0.000	0.000	Merged-chr12-76324931-27
NR68259--MA1107.1.KLF9	chr9	105683521	105683533	-	0.000	0.000	Merged-chr9-105683443-1
NR161--MA0493.1.Klf1	chr1	20912783	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR65107--MA0599.1.KLF5	chr8	122576907	122576916	-	0.000	0.000	Merged-chr8-122576792-51
NR38910--MA0741.1.KLF16	chr2	160421740	160421750	+	0.000	0.000	Merged-chr2-160421769-26
NR1864--MA0599.1.KLF5	chr1	119504867	119504876	-	0.000	0.000	Merged-chr1-119504796-62
NR31394--MA0740.1.KLF14	chr18	65924897	65924910	-	0.000	0.000	Merged-chr18-65924997-33
NR49643--MA0599.1.KLF5	chr5	67155661	67155670	+	0.000	0.000	Merged-chr5-67155759-12
NR21619--MA1107.1.KLF9	chr14	118700606	118700618	+	0.000	0.000	Merged-chr14-118700795-2
NR33642--MA0599.1.KLF5	chr19	42770733	42770742	-	0.000	0.000	Merged-chr19-42770693-24
NR3689--MA1107.1.KLF9	chr1	176996975	176996987	+	0.000	0.000	Merged-chr1-176997002-19
NR55887--MA0599.1.KLF5	chr6	121017544	121017553	-	0.000	0.000	Merged-chr6-121017523-33
NR37536--MA0599.1.KLF5	chr2	125135990	125135999	-	0.000	0.000	Merged-chr2-125136116-38
NR394--MA0493.1.Klf1	chr1	37300937	37300947	-	0.000	0.000	Merged-chr1-37301008-22
NR30700--MA0741.1.KLF16	chr18	36561365	36561375	-	0.000	0.000	Merged-chr18-36561309-15
NR64495--MA1107.1.KLF9	chr8	109957364	109957376	+	0.000	0.000	Merged-chr8-109957445-42
NR12161--MA0742.1.Klf12	chr11	102467219	102467233	-	0.000	0.000	Merged-chr11-102467251-44
NR26522--MA0742.1.Klf12	chr16	92400136	92400150	-	0.000	0.000	Merged-chr16-92400195-21
NR63966--MA0599.1.KLF5	chr8	87472690	87472699	+	0.000	0.000	Merged-chr8-87472817-24
NR2184--MA0599.1.KLF5	chr1	133053260	133053269	+	0.000	0.000	Merged-chr1-133053249-27
NR62722--MA0742.1.Klf12	chr8	34529601	34529615	-	0.000	0.000	Merged-chr8-34529653-1
NR45753--MA0741.1.KLF16	chr4	101217267	101217277	-	0.000	0.000	Merged-chr4-101217167-64
NR41814--MA1107.1.KLF9	chr3	100421692	100421704	+	0.000	0.000	Merged-chr3-100421832-10
NR40770--MA0599.1.KLF5	chr3	62338941	62338950	-	0.000	0.000	Merged-chr3-62339060-22
NR59572--MA0741.1.KLF16	chr7	78583833	78583843	-	0.000	0.000	Merged-chr7-78583930-15
NR33732--MA0742.1.Klf12	chr19	45079933	45079947	-	0.000	0.000	Merged-chr19-45079804-49
NR55864--MA0741.1.KLF16	chr6	120539397	120539407	-	0.000	0.000	Merged-chr6-120539283-23
NR22120--MA0741.1.KLF16	chr15	25696041	25696051	-	0.000	0.000	Merged-chr15-25696018-37
NR49527--MA0599.1.KLF5	chr5	64230288	64230297	+	0.000	0.000	Merged-chr5-64230393-49
NR18196--MA0657.1.KLF13	chr13	98299064	98299081	+	0.000	0.000	Merged-chr13-98299222-33
NR49865--MA0657.1.KLF13	chr5	75662514	75662531	-	0.000	0.000	Merged-chr5-75662405-46
NR58644--MA0742.1.Klf12	chr7	34630503	34630517	-	0.000	0.000	Merged-chr7-34630517-24
NR22895--MA0741.1.KLF16	chr15	64382594	64382604	+	0.000	0.000	Merged-chr15-64382690-41
NR49854--MA0741.1.KLF16	chr5	75143469	75143479	+	0.000	0.000	Merged-chr5-75143306-22
NR37200--MA0493.1.Klf1	chr2	117328733	117328743	-	0.000	0.000	Merged-chr2-117328790-53
NR63742--MA0493.1.Klf1	chr8	83390148	83390158	-	0.000	0.000	Merged-chr8-83389958-14
NR58648--MA0741.1.KLF16	chr7	34630499	34630509	-	0.000	0.000	Merged-chr7-34630517-24
NR69058--MA0740.1.KLF14	chr9	118821827	118821840	-	0.000	0.000	Merged-chr9-118821695-53
NR64818--MA1107.1.KLF9	chr8	117855301	117855313	-	0.000	0.000	Merged-chr8-117855395-3
NR1538--MA0599.1.KLF5	chr1	89070348	89070357	+	0.000	0.000	Merged-chr1-89070221-114
NR55215--MA1107.1.KLF9	chr6	100879587	100879599	-	0.000	0.000	Merged-chr6-100879682-24
NR45790--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR64191--MA0741.1.KLF16	chr8	95154909	95154919	+	0.000	0.000	Merged-chr8-95154872-23
NR15521--MA0741.1.KLF16	chr12	108450257	108450267	-	0.000	0.000	Merged-chr12-108450147-23
NR55112--MA1107.1.KLF9	chr6	98609335	98609347	+	0.000	0.000	Merged-chr6-98609321-36
NR66317--MA0741.1.KLF16	chr9	47530145	47530155	+	0.000	0.000	Merged-chr9-47530154-53
NR1588--MA0740.1.KLF14	chr1	90660225	90660238	-	0.000	0.000	Merged-chr1-90660312-12
