"","seqnames","start","end","width","strand","V4","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr2",6547176,6547898,723,"*","Merged-chr2-6547586-22","Exon (uc008ign.3/14007, exon 6 of 6)",2,6539694,6592800,53107,2,"14007","uc008ign.3",44902,"ENSMUSG00000002107","Celf2","CUGBP, Elav-like family member 2"
"2","chr2",127131271,127131737,467,"*","Merged-chr2-127131488-25","Promoter (2-3kb)",2,127103809,127133954,30146,2,"215387","uc008met.3",2217,"ENSMUSG00000034906","Ncaph","non-SMC condensin I complex, subunit H"
"3","chr12",112648158,112648361,204,"*","Merged-chr12-112648258-2","Promoter (3-4kb)",12,112644828,112649152,4325,1,"30954","uc007pew.2",3330,"ENSMUSG00000064326","Siva1","SIVA1, apoptosis-inducing factor"
"4","chr11",87801950,87802320,371,"*","Merged-chr11-87802102-29","Intron (uc011ycc.1/17523, intron 11 of 13)",11,87793784,87804412,10629,1,"17523","uc011ycc.1",8166,"ENSMUSG00000009350","Mpo","myeloperoxidase"
"5","chr3",135698273,135698943,671,"*","Merged-chr3-135698656-22","Distal Intergenic",3,135612026,135691547,79522,2,"18033","uc008rly.1",-6726,"ENSMUSG00000028163","Nfkb1","nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105"
"6","chr10",40712918,40713542,625,"*","Merged-chr10-40713251-44","Intron (uc007exd.1/327747, intron 1 of 4)",10,40683282,40811083,127802,1,"327747","uc007exd.1",29636,"ENSMUSG00000045555","Mettl24","methyltransferase like 24"
"7","chr2",5003054,5003643,590,"*","Merged-chr2-5003396-19","Promoter (1-2kb)",2,4999021,5005111,6091,2,"70024","uc008ifj.1",1468,"ENSMUSG00000026669","Mcm10","minichromosome maintenance 10 replication initiation factor"
"8","chr19",7456902,7457936,1035,"*","Merged-chr19-7457353-46","Exon (uc008glb.2/20168, exon 3 of 9)",19,7425895,7483291,57397,2,"20168","uc008glb.2",25355,"ENSMUSG00000024758","Rtn3","reticulon 3"
"9","chr5",144165713,144166238,526,"*","Merged-chr5-144166019-31","Intron (uc009alg.1/231876, intron 8 of 13)",5,144190286,144194441,4156,1,"17341","uc009alh.1",-24048,"ENSMUSG00000052271","Bhlha15","basic helix-loop-helix family, member a15"
"10","chr13",5769675,5770071,397,"*","Merged-chr13-5769839-23","Distal Intergenic",13,5855509,5858092,2584,2,"71867","uc007pjv.1",88021,"ENSMUSG00000100625","1700016G22Rik","RIKEN cDNA 1700016G22 gene"
"11","chr6",134348338,134349202,865,"*","Merged-chr6-134348726-53","Intron (uc009ekg.1/74064, intron 3 of 8)",6,134396329,134438724,42396,1,"66813","uc009ekh.1",-47127,"ENSMUSG00000030200","Bcl2l14","BCL2-like 14 (apoptosis facilitator)"
