"","seqnames","start","end","width","strand","V4","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr17",73151413,73152154,742,"*","Merged-chr17-73151770-42","Intron (uc008dnh.3/225010, intron 1 of 5)",17,73107985,73243368,135384,1,"225010","uc012axa.2",43428,"ENSMUSG00000054469","Lclat1","lysocardiolipin acyltransferase 1"
"2","chr2",127131271,127131737,467,"*","Merged-chr2-127131488-25","Promoter (2-3kb)",2,127103809,127133954,30146,2,"215387","uc008met.3",2217,"ENSMUSG00000034906","Ncaph","non-SMC condensin I complex, subunit H"
"3","chr2",114658957,114659289,333,"*","Merged-chr2-114659130-7","Promoter (4-5kb)",2,114642075,114654928,12854,2,"66632","uc008lqn.1",-4029,"ENSMUSG00000057147","Dph6","diphthamine biosynthesis 6"
"4","chr6",53286749,53288025,1277,"*","Merged-chr6-53287448-61","Promoter (<=1kb)",6,53287303,53391409,104107,1,"231991","uc009bzd.3",0,"ENSMUSG00000053007","Creb5","cAMP responsive element binding protein 5"
"5","chr3",100436773,100437194,422,"*","Merged-chr3-100436966-50","Intron (uc008qqt.2/73806, intron 2 of 2)",3,100426405,100437754,11350,1,"73806","uc008qqt.2",10368,"ENSMUSG00000086923","4930406D18Rik","RIKEN cDNA 4930406D18 gene"
"6","chr2",5003054,5003643,590,"*","Merged-chr2-5003396-19","Promoter (1-2kb)",2,4999021,5005111,6091,2,"70024","uc008ifj.1",1468,"ENSMUSG00000026669","Mcm10","minichromosome maintenance 10 replication initiation factor"
"7","chr6",51280234,51280547,314,"*","Merged-chr6-51280406-9","Distal Intergenic",6,51269812,51269910,99,2,"387166","uc012elv.1",-10324,"ENSMUSG00000065505","Mir148a","microRNA 148a"
"8","chr12",110381232,110381834,603,"*","Merged-chr12-110381552-59","Distal Intergenic",12,110447179,110450997,3819,1,"26931","uc007pbj.2",-65345,"ENSMUSG00000017843","Ppp2r5c","protein phosphatase 2, regulatory subunit B', gamma"
"9","chr7",131549273,131549471,199,"*","Merged-chr7-131549371-1","Promoter (<=1kb)",7,131548773,131556582,7810,1,"15372","uc057lvl.1",500,"ENSMUSG00000050100","Hmx2","H6 homeobox 2"
"10","chr3",65650400,65650830,431,"*","Merged-chr3-65650597-39","Distal Intergenic",3,65659288,65659426,139,1,"102465905","uc033hua.1",-8458,"ENSMUSG00000098944","Mir8120","microRNA 8120"
"11","chrX",101737145,101737881,737,"*","Merged-chrX-101737471-46","Promoter (2-3kb)",20,101731535,101734147,2613,2,"12766","uc009tye.2",-2998,"ENSMUSG00000050232","Cxcr3","chemokine (C-X-C motif) receptor 3"
"12","chr1",60913250,60913688,439,"*","Merged-chr1-60913471-46","Promoter (4-5kb)",1,60909025,60915832,6808,1,"12477","uc007bfa.2",4225,"ENSMUSG00000026011","Ctla4","cytotoxic T-lymphocyte-associated protein 4"
"13","chr5",113035104,113036285,1182,"*","Merged-chr5-113035514-85","Distal Intergenic",5,112960544,113015538,54995,2,"320129","uc008ytv.2",-19566,"ENSMUSG00000042249","Grk3","G protein-coupled receptor kinase 3"
"14","chr17",46388181,46388540,360,"*","Merged-chr17-46388393-29","Promoter (4-5kb)",17,46383766,46420920,37155,1,"57908","uc008csr.3",4415,"ENSMUSG00000015597","Zfp318","zinc finger protein 318"
"15","chr13",45865669,45866056,388,"*","Merged-chr13-45865819-22","Intron (uc011yyv.3/20238, intron 2 of 7)",13,45549755,45964991,415237,2,"20238","uc011yyv.3",98935,"ENSMUSG00000046876","Atxn1","ataxin 1"
