Motif	Num	Protection_Score_DKO	Protection_Score_Prdm1KO	Protection_Diff_DKO_Prdm1KO	TC_DKO	TC_Prdm1KO	TC_Diff_DKO_Prdm1KO	TF_Activity	Z_score	P_values
MA0740.1.KLF14	228	0.11166275431354891	0.12028660642988147	0.008623852116332556	0.6061775512140195	0.6641570298295716	0.05797947861555208	0.06660333073188464	0.32629510801158274	0.7442010891120104
MA0496.2.MAFK	124	0.0967611592987695	0.1584575562036306	0.06169639690486112	0.6993400014796013	0.7709429134685691	0.07160291198896784	0.13329930889382896	1.237845510313139	0.21577334988294594
MA0591.1.Bach1::Mafk	166	0.05732736945288863	0.049091841853104334	-0.008235527599784298	0.6228081753894804	0.6729673320696367	0.05015915668015625	0.04192362908037195	-0.011008468442373397	0.9912166903950151
MA0690.1.TBX21	446	0.09538054756804895	0.15561526819997784	0.06023472063192889	0.6448682058779198	0.5857419856323063	-0.05912622024561354	0.001108500386315353	-0.5688389104927113	0.5694654659310341
MA0659.1.MAFG	66	0.31979163308741965	0.23768633430544595	-0.0821052987819737	0.6825526845741833	0.6895304566921628	0.006977772117979564	-0.07512752666399414	-1.6107755166077942	0.10722865929578253
MA0002.2.RUNX1	1190	0.15120084818993593	0.17592783466910655	0.024726986479170626	0.592150083069975	0.5544010094677971	-0.03774907360217783	-0.013022087123007203	-0.7619651391478279	0.4460808106388321
MA0741.1.KLF16	780	0.06238919823637534	0.02084326316217009	-0.04154593507420525	0.5410344334849865	0.5552429752803336	0.01420854179534714	-0.02733739327885811	-0.9576159631563055	0.3382564466481822
MA0501.1.MAF::NFE2	140	-0.008586174432342174	0.02328355927890056	0.031869733711242736	0.6327533546945671	0.7039677744613373	0.07121441976677023	0.10308415347801297	0.8248875204323263	0.4094354520317868
MA0731.1.BCL6B	58	0.2720188882660203	0.48254423904252197	0.2105253507765017	0.5868774661816654	0.550830061848041	-0.03604740433362441	0.17447794644287729	1.8006441176432983	0.07175899079007934
MA0140.2.GATA1::TAL1	62	0.019958375103642446	-0.032473275275127396	-0.052431650378769845	0.6073889761049417	0.6116243800794827	0.00423540397454103	-0.048196246404228815	-1.2426990593486	0.2139787506962887
MA1421.1.TCF7L1	182	0.31102366125548037	0.3618721013801196	0.05084844012463924	0.5621375739465203	0.5888883119613738	0.026750738014853503	0.07759917813949274	0.4765780696575491	0.6336626027767366
MA0768.1.LEF1	180	0.5175555143939732	0.6508078201220548	0.13325230572808167	0.6158366077967554	0.6290594596815102	0.013222851884754805	0.14647515761283647	1.417923088174179	0.1562132208387928
MA0463.1.Bcl6	86	0.31234321481517546	0.33930893519811445	0.026965720382938985	0.5635097417211865	0.543418178071298	-0.02009156364988851	0.006874156733050474	-0.49003826152947694	0.6241068242837011
MA0482.1.Gata4	136	-0.01340537527794634	0.14890349766782363	0.16230887294576996	0.5444102000529555	0.4818115398962564	-0.06259866015669907	0.09971021278907088	0.7787750399334408	0.4361122433764063
MA1107.1.KLF9	1002	-0.23863338088823904	-0.2599842538909869	-0.02135087300274785	0.5229178471825644	0.5253385816703887	0.0024207344878243164	-0.018930138514923533	-0.8427119363541469	0.39938956984827767
MA1104.1.GATA6	114	0.16402438486735985	0.3148301445624768	0.15080575969511698	0.58433687108997	0.5263434782631802	-0.057993392826789836	0.09281236686832714	0.6845004764987329	0.4936591885859294
MA0036.3.GATA2	120	-0.05960236085117714	0.13548121055410423	0.19508357140528138	0.5615784876896237	0.49113502551746413	-0.07044346217215958	0.1246401092331218	1.1194980903958327	0.2629277051059151
MA0523.1.TCF7L2	222	0.5389019459781923	0.7264010632619662	0.1874991172837739	0.6707670421946775	0.7328118056661042	0.06204476347142662	0.2495438807552005	2.826588777385667	0.004704670108797259
MA0769.1.Tcf7	190	0.28316573351192376	0.3889412743180025	0.10577554080607876	0.5704924319386652	0.5714003304906863	0.0009078985520211136	0.10668343935809987	0.874079849301469	0.382074770431969
MA0766.1.GATA5	116	-0.19861696603550694	-0.18265550813620487	0.01596145789930206	0.5917702792053184	0.5717721645682556	-0.019998114637062803	-0.004036656737760741	-0.6391590433644166	0.5227194730110316
MA0035.3.Gata1	126	-0.04897299491039764	0.05885566373277716	0.1078286586431748	0.5860942752135486	0.5388748321120462	-0.04721944310150239	0.06060921554167241	0.24437205562283368	0.806942682186563
MA0511.2.RUNX2	536	0.05886975940085526	0.11773455551883594	0.05886479611798068	0.5836282536157004	0.5735402287916164	-0.010088024824083996	0.04877677129389668	0.08265511838740458	0.9341257730364916
MA0495.2.MAFF	116	0.20915230075565125	0.20900005257892645	-0.00015224817672479518	0.692539939978009	0.7563616281892271	0.06382168821121814	0.06366944003449335	0.28619689940562826	0.7747273183880394
MA0684.1.RUNX3	594	0.2597052760399864	0.2827693763903174	0.023064100350331018	0.5838362493060757	0.5779690967985832	-0.005867152507492479	0.01719694784283854	-0.34895412649880886	0.7271237490540043
MA0037.3.GATA3	112	-0.1717234886468484	-0.19645503141572584	-0.024731542768877457	0.594674140682161	0.5801851287607588	-0.014489011921402173	-0.03922055469027963	-1.1200260643905093	0.2627026552126859
MA0508.2.PRDM1	202	0.3216745547782409	0.24317743773824535	-0.07849711703999557	0.5938299598567317	0.6158085629872064	0.021978603130474728	-0.05651851390952084	-1.3564415443015931	0.17495872253590672
MA0089.1.MAFG::NFE2L1	436	-0.029592105765290186	-0.05625970114752751	-0.026667595382237327	0.5582417142779915	0.5579338639144494	-0.0003078503635420837	-0.02697544574577941	-0.9526691368485958	0.3407577354843935
MA0493.1.Klf1	674	-0.0784433235848967	-0.0943692330269104	-0.015925909442013705	0.5479095861509923	0.5350782285198225	-0.012831357631169826	-0.02875726707318353	-0.9770217289026617	0.32855839515075
MA0742.1.Klf12	358	-0.1967065380891852	-0.20145481806255677	-0.004748279973371572	0.5832627611449132	0.5952652708312821	0.012002509686368956	0.007254229712997384	-0.48484371026383194	0.6277872141022081
MA0599.1.KLF5	884	0.1558231656239919	0.1494950247441492	-0.0063281408798427086	0.5415557318983741	0.5559566190087805	0.014400887110406324	0.008072746230563616	-0.4736568429078076	0.6357446334886663
MA0039.3.KLF4	556	-0.44998142936309654	-0.41295863118536125	0.037022798177735294	0.5478340702598212	0.5209569655914708	-0.02687710466835047	0.010145693509384823	-0.4453253605900693	0.6560846431087144
MA0117.2.Mafb	92	0.29239939873513915	0.4199438396621912	0.12754444092705203	0.5492524626808412	0.5237629161057898	-0.025489546575051314	0.10205489435200071	0.8108203818095007	0.4174688279894826
MA0657.1.KLF13	104	-0.003172869888271342	-0.008066278313533355	-0.004893408425262013	0.5477881840709747	0.5582481685294998	0.010459984458525029	0.005566576033263016	-0.5079092898250497	0.6115169594807712
