#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR33037--MA0741.1.KLF16	chr19	5567927	5567937	-	0.000	0.000	Merged-chr19-5567991-110
NR63934--MA0599.1.KLF5	chr8	3353394	3353403	+	0.000	0.000	Merged-chr8-3353373-47
NR58250--MA0741.1.KLF16	chr6	140722427	140722437	+	0.000	0.000	Merged-chr6-140722560-90
NR39542--MA0742.1.Klf12	chr2	165983252	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR42746--MA0039.3.KLF4	chr3	115692528	115692538	+	0.000	0.000	Merged-chr3-115692552-34
NR70663--MA0741.1.KLF16	chr9	107334666	107334676	+	0.000	0.000	Merged-chr9-107334469-86
NR37377--MA0741.1.KLF16	chr2	102850114	102850124	+	0.000	0.000	Merged-chr2-102849968-21
NR55511--MA0741.1.KLF16	chr6	54092925	54092935	+	0.000	0.000	Merged-chr6-54092801-44
NR52129--MA0599.1.KLF5	chr5	114246626	114246635	+	0.000	0.000	Merged-chr5-114246791-23
NR10923--MA0039.3.KLF4	chr11	72342369	72342379	-	0.000	0.000	Merged-chr11-72342522-29
NR48805--MA0740.1.KLF14	chr4	150909787	150909800	+	0.000	0.000	Merged-chr4-150909856-55
NR12012--MA0599.1.KLF5	chr11	98458040	98458049	-	0.000	0.000	Merged-chr11-98457960-97
NR3073--MA0742.1.Klf12	chr1	153304278	153304292	+	0.000	0.000	Merged-chr1-153304263-23
NR4859--MA1107.1.KLF9	chr1	191999163	191999175	-	0.000	0.000	Merged-chr1-191999183-26
NR55506--MA0599.1.KLF5	chr6	54092929	54092938	+	0.000	0.000	Merged-chr6-54092801-44
NR15943--MA1107.1.KLF9	chr12	115008589	115008601	+	0.000	0.000	Merged-chr12-115008718-17
NR22038--MA0599.1.KLF5	chr14	120520132	120520141	+	0.000	0.000	Merged-chr14-120520145-25
NR12478--MA0741.1.KLF16	chr11	106193671	106193681	+	0.000	0.000	Merged-chr11-106193514-84
NR3313--MA0493.1.Klf1	chr1	156956591	156956601	-	0.000	0.000	Merged-chr1-156956579-55
NR49256--MA0039.3.KLF4	chr5	5420286	5420296	+	0.000	0.000	Merged-chr5-5420247-39
NR21036--MA0039.3.KLF4	chr14	74835110	74835120	+	0.000	0.000	Merged-chr14-74835162-39
NR28453--MA0741.1.KLF16	chr17	29500858	29500868	-	0.000	0.000	Merged-chr17-29500871-30
NR12463--MA1107.1.KLF9	chr11	106036721	106036733	-	0.000	0.000	Merged-chr11-106036906-50
NR1840--MA1107.1.KLF9	chr1	97613886	97613898	+	0.000	0.000	Merged-chr1-97613912-17
NR51033--MA0039.3.KLF4	chr5	77092011	77092021	-	0.000	0.000	Merged-chr5-77092081-48
NR38165--MA0740.1.KLF14	chr2	128190327	128190340	-	0.000	0.000	Merged-chr2-128190126-44
NR40008--MA0493.1.Klf1	chr2	173377707	173377717	-	0.000	0.000	Merged-chr2-173377859-39
NR44269--MA0493.1.Klf1	chr3	154628323	154628333	+	0.000	0.000	Merged-chr3-154628476-23
NR47821--MA0741.1.KLF16	chr4	134117230	134117240	+	0.000	0.000	Merged-chr4-134117148-42
NR594--MA0039.3.KLF4	chr1	40465605	40465615	-	0.000	0.000	Merged-chr1-40465740-44
NR50681--MA0742.1.Klf12	chr5	64864850	64864864	+	0.000	0.000	Merged-chr5-64864889-25
NR45390--MA0493.1.Klf1	chr4	47251261	47251271	+	0.000	0.000	Merged-chr4-47251279-48
NR36753--MA0039.3.KLF4	chr2	75563649	75563659	+	0.000	0.000	Merged-chr2-75563664-35
NR48327--MA0741.1.KLF16	chr4	140983708	140983718	-	0.000	0.000	Merged-chr4-140983649-41
NR28786--MA0039.3.KLF4	chr17	35231250	35231260	-	0.000	0.000	Merged-chr17-35231264-33
NR54698--MA0741.1.KLF16	chr6	22424212	22424222	+	0.000	0.000	Merged-chr6-22424289-78
NR39599--MA0599.1.KLF5	chr2	166786853	166786862	-	0.000	0.000	Merged-chr2-166786664-60
NR28358--MA0599.1.KLF5	chr17	28516039	28516048	-	0.000	0.000	Merged-chr17-28516201-30
NR17340--MA0493.1.Klf1	chr13	63189530	63189540	-	0.000	0.000	Merged-chr13-63189715-33
NR68801--MA0493.1.Klf1	chr9	55110575	55110585	+	0.000	0.000	Merged-chr9-55110680-29
NR66171--MA0741.1.KLF16	chr8	94447719	94447729	-	0.000	0.000	Merged-chr8-94447653-43
NR61148--MA0740.1.KLF14	chr7	80123326	80123339	+	0.000	0.000	Merged-chr7-80123359-34
NR25982--MA0039.3.KLF4	chr16	38399686	38399696	+	0.000	0.000	Merged-chr16-38399742-32
