#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR202--MA0508.2.PRDM1	chr10	30655970	30655979	+	0.000	0.000	Merged-chr10-30655945-56
NR725--MA0508.2.PRDM1	chr15	9567530	9567539	+	0.000	0.000	Merged-chr15-9567519-26
NR28--MA0508.2.PRDM1	chr1	82879333	82879342	-	0.000	0.000	Merged-chr1-82879357-31
NR1118--MA0508.2.PRDM1	chr2	44354957	44354966	-	0.000	0.000	Merged-chr2-44354925-23
NR890--MA0508.2.PRDM1	chr17	26572246	26572255	-	0.000	0.000	Merged-chr17-26572396-49
NR685--MA0508.2.PRDM1	chr14	74918627	74918636	-	0.000	0.000	Merged-chr14-74918775-39
NR1099--MA0508.2.PRDM1	chr2	18765828	18765837	-	0.000	0.000	Merged-chr2-18765910-35
NR1174--MA0508.2.PRDM1	chr2	105021926	105021935	-	0.000	0.000	Merged-chr2-105022109-54
NR412--MA0508.2.PRDM1	chr12	8659992	8660001	-	0.000	0.000	Merged-chr12-8659979-34
NR393--MA0508.2.PRDM1	chr11	103951374	103951383	-	0.000	0.000	Merged-chr11-103951331-24
NR1078--MA0508.2.PRDM1	chr19	55792951	55792960	+	0.000	0.000	Merged-chr19-55792789-50
NR882--MA0508.2.PRDM1	chr17	18558993	18559002	+	0.000	0.000	Merged-chr17-18558777-104
NR255--MA0508.2.PRDM1	chr10	94021281	94021290	+	0.000	0.000	Merged-chr10-94021256-59
NR983--MA0508.2.PRDM1	chr18	67255672	67255681	-	0.000	0.000	Merged-chr18-67255745-40
NR473--MA0508.2.PRDM1	chr12	101053592	101053601	-	0.000	0.000	Merged-chr12-101053641-9
NR1429--MA0508.2.PRDM1	chr3	148844485	148844494	-	0.000	0.000	Merged-chr3-148844306-23
NR234--MA0508.2.PRDM1	chr10	68239161	68239170	+	0.000	0.000	Merged-chr10-68239369-73
NR200--MA0508.2.PRDM1	chr10	26879203	26879212	+	0.000	0.000	Merged-chr10-26879299-36
NR879--MA0508.2.PRDM1	chr17	15816635	15816644	+	0.000	0.000	Merged-chr17-15816733-57
NR160--MA0508.2.PRDM1	chr1	191609756	191609765	-	0.000	0.000	Merged-chr1-191609738-30
NR478--MA0508.2.PRDM1	chr12	104062022	104062031	+	0.000	0.000	Merged-chr12-104062030-43
NR18--MA0508.2.PRDM1	chr1	60017118	60017127	-	0.000	0.000	Merged-chr1-60017133-4
NR314--MA0508.2.PRDM1	chr11	22814205	22814214	-	0.000	0.000	Merged-chr11-22814136-127
NR688--MA0508.2.PRDM1	chr14	76188298	76188307	+	0.000	0.000	Merged-chr14-76188312-28
NR383--MA0508.2.PRDM1	chr11	96996675	96996684	-	0.000	0.000	Merged-chr11-96996617-51
NR449--MA0508.2.PRDM1	chr12	79522671	79522680	+	0.000	0.000	Merged-chr12-79522633-19
NR306--MA0508.2.PRDM1	chr11	4289425	4289434	+	0.000	0.000	Merged-chr11-4289401-53
NR829--MA0508.2.PRDM1	chr16	52132955	52132964	-	0.000	0.000	Merged-chr16-52133067-26
NR808--MA0508.2.PRDM1	chr16	27350333	27350342	-	0.000	0.000	Merged-chr16-27350365-12
NR1980--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR1884--MA0508.2.PRDM1	chr7	75910532	75910541	-	0.000	0.000	Merged-chr7-75910458-70
NR1850--MA0508.2.PRDM1	chr7	16001783	16001792	-	0.000	0.000	Merged-chr7-16001989-41
NR768--MA0508.2.PRDM1	chr15	95885123	95885132	+	0.000	0.000	Merged-chr15-95885143-33
NR1191--MA0508.2.PRDM1	chr2	117089713	117089722	-	0.000	0.000	Merged-chr2-117089625-28
NR1842--MA0508.2.PRDM1	chr6	148436570	148436579	-	0.000	0.000	Merged-chr6-148436541-68
NR2186--MA0508.2.PRDM1	chrX	159199744	159199753	-	0.000	0.000	Merged-chrX-159199808-53
NR1998--MA0508.2.PRDM1	chr8	68218585	68218594	-	0.000	0.000	Merged-chr8-68218689-19
NR1821--MA0508.2.PRDM1	chr6	136683929	136683938	+	0.000	0.000	Merged-chr6-136683885-26
NR1311--MA0508.2.PRDM1	chr3	59222492	59222501	-	0.000	0.000	Merged-chr3-59222464-17
NR910--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR189--MA0508.2.PRDM1	chr10	17828041	17828050	-	0.000	0.000	Merged-chr10-17827922-26
NR902--MA0508.2.PRDM1	chr17	36205666	36205675	-	0.000	0.000	Merged-chr17-36205720-56
NR1316--MA0508.2.PRDM1	chr3	65858203	65858212	+	0.000	0.000	Merged-chr3-65858192-18
NR1133--MA0508.2.PRDM1	chr2	60080213	60080222	+	0.000	0.000	Merged-chr2-60080152-7
NR1927--MA0508.2.PRDM1	chr7	119842263	119842272	-	0.000	0.000	Merged-chr7-119842164-15
NR2096--MA0508.2.PRDM1	chr9	69467470	69467479	-	0.000	0.000	Merged-chr9-69467550-22
NR35--MA0508.2.PRDM1	chr1	88008529	88008538	-	0.000	0.000	Merged-chr1-88008403-52
NR1614--MA0508.2.PRDM1	chr5	53994860	53994869	+	0.000	0.000	Merged-chr5-53994753-10
NR1138--MA0508.2.PRDM1	chr2	65104805	65104814	-	0.000	0.000	Merged-chr2-65104683-25
NR1200--MA0508.2.PRDM1	chr2	124634787	124634796	-	0.000	0.000	Merged-chr2-124634585-20
NR27--MA0508.2.PRDM1	chr1	82869940	82869949	+	0.000	0.000	Merged-chr1-82869741-41
NR1098--MA0508.2.PRDM1	chr2	18765756	18765765	-	0.000	0.000	Merged-chr2-18765910-35
NR1749--MA0508.2.PRDM1	chr6	94646499	94646508	-	0.000	0.000	Merged-chr6-94646597-32
NR1606--MA0508.2.PRDM1	chr5	36538824	36538833	+	0.000	0.000	Merged-chr5-36538864-43
NR934--MA0508.2.PRDM1	chr17	86187956	86187965	-	0.000	0.000	Merged-chr17-86187981-35
NR1077--MA0508.2.PRDM1	chr19	53900127	53900136	-	0.000	0.000	Merged-chr19-53900039-75
NR1205--MA0508.2.PRDM1	chr2	128477568	128477577	-	0.000	0.000	Merged-chr2-128477483-12
NR1728--MA0508.2.PRDM1	chr6	65564421	65564430	-	0.000	0.000	Merged-chr6-65564422-101
NR1295--MA0508.2.PRDM1	chr3	32417918	32417927	-	0.000	0.000	Merged-chr3-32417870-35
NR804--MA0508.2.PRDM1	chr16	24836748	24836757	-	0.000	0.000	Merged-chr16-24836747-26
NR1675--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR1579--MA0508.2.PRDM1	chr4	148998272	148998281	-	0.000	0.000	Merged-chr4-148998288-20
NR764--MA0508.2.PRDM1	chr15	94565076	94565085	-	0.000	0.000	Merged-chr15-94565077-32
NR67--MA0508.2.PRDM1	chr1	128617825	128617834	+	0.000	0.000	Merged-chr1-128617938-22
NR1287--MA0508.2.PRDM1	chr3	18243930	18243939	-	0.000	0.000	Merged-chr3-18243680-52
NR1558--MA0508.2.PRDM1	chr4	136031644	136031653	+	0.000	0.000	Merged-chr4-136031447-41
NR1048--MA0508.2.PRDM1	chr19	30924284	30924293	-	0.000	0.000	Merged-chr19-30924347-34
NR1428--MA0508.2.PRDM1	chr3	148491528	148491537	-	0.000	0.000	Merged-chr3-148491583-74
NR124--MA0508.2.PRDM1	chr1	170167939	170167948	-	0.000	0.000	Merged-chr1-170167960-28
NR613--MA0508.2.PRDM1	chr13	114151393	114151402	+	0.000	0.000	Merged-chr13-114151304-52
NR180--MA0508.2.PRDM1	chr10	12851222	12851231	+	0.000	0.000	Merged-chr10-12851139-23
NR769--MA0508.2.PRDM1	chr15	96345068	96345077	-	0.000	0.000	Merged-chr15-96345150-30
NR1149--MA0508.2.PRDM1	chr2	75685510	75685519	-	0.000	0.000	Merged-chr2-75685689-38
NR321--MA0508.2.PRDM1	chr11	32000055	32000064	-	0.000	0.000	Merged-chr11-32000120-91
NR1367--MA0508.2.PRDM1	chr3	121105080	121105089	-	0.000	0.000	Merged-chr3-121105161-35
NR979--MA0508.2.PRDM1	chr18	60375874	60375883	+	0.000	0.000	Merged-chr18-60375896-42
NR1088--MA0508.2.PRDM1	chr2	7270166	7270175	+	0.000	0.000	Merged-chr2-7270224-62
NR1359--MA0508.2.PRDM1	chr3	103130641	103130650	-	0.000	0.000	Merged-chr3-103130521-29
NR578--MA0508.2.PRDM1	chr13	94153740	94153749	-	0.000	0.000	Merged-chr13-94153821-20
NR130--MA0508.2.PRDM1	chr1	173510783	173510792	+	0.000	0.000	Merged-chr1-173510865-36
NR122--MA0508.2.PRDM1	chr1	168432404	168432413	-	0.000	0.000	Merged-chr1-168432368-41
NR135--MA0508.2.PRDM1	chr1	176939833	176939842	-	0.000	0.000	Merged-chr1-176939939-16
NR406--MA0508.2.PRDM1	chr11	121064228	121064237	-	0.000	0.000	Merged-chr11-121064322-30
NR244--MA0508.2.PRDM1	chr10	79417332	79417341	-	0.000	0.000	Merged-chr10-79417442-89
NR2084--MA0508.2.PRDM1	chr9	61332385	61332394	+	0.000	0.000	Merged-chr9-61332388-31
NR101--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR191--MA0508.2.PRDM1	chr10	19009376	19009385	+	0.000	0.000	Merged-chr10-19009477-32
NR2063--MA0508.2.PRDM1	chr9	35475658	35475667	-	0.000	0.000	Merged-chr9-35475679-27
NR868--MA0508.2.PRDM1	chr16	94414372	94414381	+	0.000	0.000	Merged-chr16-94414336-19
NR358--MA0508.2.PRDM1	chr11	79207920	79207929	+	0.000	0.000	Merged-chr11-79207824-18
NR1692--MA0508.2.PRDM1	chr5	149643375	149643384	-	0.000	0.000	Merged-chr5-149643430-9
NR1291--MA0508.2.PRDM1	chr3	22041037	22041046	-	0.000	0.000	Merged-chr3-22040885-32
NR2068--MA0508.2.PRDM1	chr9	40997273	40997282	+	0.000	0.000	Merged-chr9-40997373-39
NR608--MA0508.2.PRDM1	chr13	110825021	110825030	+	0.000	0.000	Merged-chr13-110825010-20
NR698--MA0508.2.PRDM1	chr14	99032847	99032856	+	0.000	0.000	Merged-chr14-99032788-27
