#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR158--MA0690.1.TBX21	chr1	174041076	174041085	-	0.000	0.000	Merged-chr1-174041007-47
NR538--MA0690.1.TBX21	chr12	112720147	112720156	-	0.000	0.000	Merged-chr12-112720162-15
NR1232--MA0690.1.TBX21	chr2	61755146	61755155	+	0.000	0.000	Merged-chr2-61755182-23
NR1973--MA0690.1.TBX21	chr7	25647993	25648002	+	0.000	0.000	Merged-chr7-25647877-43
NR1877--MA0690.1.TBX21	chr6	108338393	108338402	+	0.000	0.000	Merged-chr6-108338556-41
NR1681--MA0690.1.TBX21	chr5	64662588	64662597	+	0.000	0.000	Merged-chr5-64662440-49
NR1585--MA0690.1.TBX21	chr4	115088735	115088744	-	0.000	0.000	Merged-chr4-115088941-29
NR1171--MA0690.1.TBX21	chr19	60182257	60182266	+	0.000	0.000	Merged-chr19-60182316-4
NR2057--MA0690.1.TBX21	chr7	125192225	125192234	-	0.000	0.000	Merged-chr7-125192121-14
NR1660--MA0690.1.TBX21	chr5	24518233	24518242	-	0.000	0.000	Merged-chr5-24518156-18
NR1163--MA0690.1.TBX21	chr19	53760526	53760535	+	0.000	0.000	Merged-chr19-53760542-10
NR1705--MA0690.1.TBX21	chr5	92234310	92234319	-	0.000	0.000	Merged-chr5-92234329-23
NR52--MA0690.1.TBX21	chr1	74570562	74570571	-	0.000	0.000	Merged-chr1-74570528-25
NR762--MA0690.1.TBX21	chr14	120313615	120313624	-	0.000	0.000	Merged-chr14-120313531-118
NR1699--MA0690.1.TBX21	chr5	89045090	89045099	-	0.000	0.000	Merged-chr5-89044916-44
NR903--MA0690.1.TBX21	chr16	52230078	52230087	-	0.000	0.000	Merged-chr16-52230114-26
NR1418--MA0690.1.TBX21	chr3	89906194	89906203	-	0.000	0.000	Merged-chr3-89906356-37
NR985--MA0690.1.TBX21	chr17	45703392	45703401	+	0.000	0.000	Merged-chr17-45703436-19
NR1256--MA0690.1.TBX21	chr2	102034538	102034547	+	0.000	0.000	Merged-chr2-102034492-49
NR693--MA0690.1.TBX21	chr14	25646302	25646311	-	0.000	0.000	Merged-chr14-25646256-47
NR821--MA0690.1.TBX21	chr15	66818856	66818865	+	0.000	0.000	Merged-chr15-66818844-13
NR1182--MA0690.1.TBX21	chr2	17597866	17597875	-	0.000	0.000	Merged-chr2-17597899-18
NR847--MA0690.1.TBX21	chr15	84702072	84702081	-	0.000	0.000	Merged-chr15-84702122-13
NR162--MA0690.1.TBX21	chr1	175672133	175672142	+	0.000	0.000	Merged-chr1-175671979-22
NR890--MA0690.1.TBX21	chr16	37094606	37094615	+	0.000	0.000	Merged-chr16-37094405-73
NR412--MA0690.1.TBX21	chr11	82424780	82424789	+	0.000	0.000	Merged-chr11-82424845-7
NR2252--MA0690.1.TBX21	chr9	55285443	55285452	-	0.000	0.000	Merged-chr9-55285466-14
NR250--MA0690.1.TBX21	chr10	39517617	39517626	+	0.000	0.000	Merged-chr10-39517662-15
