#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1504--MA0684.1.RUNX3	chr11	10276428	10276437	-	0.000	0.000	Merged-chr11-10276392-45
NR5444--MA0002.2.RUNX1	chr2	73463871	73463881	-	0.000	0.000	Merged-chr2-73463969-56
NR4147--MA0684.1.RUNX3	chr17	12165580	12165589	+	0.000	0.000	Merged-chr17-12165459-54
NR7524--MA0684.1.RUNX3	chr5	100875965	100875974	+	0.000	0.000	Merged-chr5-100875815-38
NR575--MA0002.2.RUNX1	chr1	155476448	155476458	+	0.000	0.000	Merged-chr1-155476472-40
NR9579--MA0002.2.RUNX1	chr9	33061074	33061084	-	0.000	0.000	Merged-chr9-33060885-64
NR9707--MA0002.2.RUNX1	chr9	63726813	63726823	-	0.000	0.000	Merged-chr9-63726755-24
NR2543--MA0002.2.RUNX1	chr13	37541894	37541904	-	0.000	0.000	Merged-chr13-37541855-48
NR1180--MA0684.1.RUNX3	chr10	80271339	80271348	-	0.000	0.000	Merged-chr10-80271512-28
NR6188--MA0684.1.RUNX3	chr3	94375472	94375481	-	0.000	0.000	Merged-chr3-94375656-27
NR6631--MA0002.2.RUNX1	chr4	11771740	11771750	-	0.000	0.000	Merged-chr4-11771838-52
NR5827--MA0511.2.RUNX2	chr2	167363581	167363589	+	0.000	0.000	Merged-chr2-167363421-42
NR8199--MA0511.2.RUNX2	chr6	108630934	108630942	-	0.000	0.000	Merged-chr6-108631007-44
NR2652--MA0002.2.RUNX1	chr13	63189852	63189862	-	0.000	0.000	Merged-chr13-63189715-33
NR5394--MA0511.2.RUNX2	chr2	65133924	65133932	+	0.000	0.000	Merged-chr2-65133825-19
NR3763--MA0684.1.RUNX3	chr16	14088467	14088476	-	0.000	0.000	Merged-chr16-14088440-49
NR716--MA0002.2.RUNX1	chr1	176827609	176827619	+	0.000	0.000	Merged-chr1-176827492-35
NR1606--MA0002.2.RUNX1	chr11	52046631	52046641	+	0.000	0.000	Merged-chr11-52046638-57
NR9449--MA0002.2.RUNX1	chr8	122530695	122530705	+	0.000	0.000	Merged-chr8-122530722-16
NR3538--MA0002.2.RUNX1	chr15	66445634	66445644	+	0.000	0.000	Merged-chr15-66445527-47
NR9035--MA0002.2.RUNX1	chr7	137476758	137476768	+	0.000	0.000	Merged-chr7-137476773-22
NR924--MA0511.2.RUNX2	chr10	19578236	19578244	+	0.000	0.000	Merged-chr10-19578163-111
NR9862--MA0511.2.RUNX2	chr9	94993757	94993765	+	0.000	0.000	Merged-chr9-94993790-30
NR3124--MA0002.2.RUNX1	chr14	64666912	64666922	-	0.000	0.000	Merged-chr14-64666873-42
NR7755--MA0684.1.RUNX3	chr5	136460078	136460087	+	0.000	0.000	Merged-chr5-136460136-37
NR1696--MA0002.2.RUNX1	chr11	75935989	75935999	-	0.000	0.000	Merged-chr11-75935950-26
NR7193--MA0002.2.RUNX1	chr4	154246713	154246723	-	0.000	0.000	Merged-chr4-154246608-23
NR9766--MA0511.2.RUNX2	chr9	80070226	80070234	-	0.000	0.000	Merged-chr9-80070269-16
NR934--MA0002.2.RUNX1	chr10	21479581	21479591	-	0.000	0.000	Merged-chr10-21479566-37
NR871--MA0511.2.RUNX2	chr10	8176544	8176552	-	0.000	0.000	Merged-chr10-8176500-34
NR2360--MA0002.2.RUNX1	chr12	115145466	115145476	+	0.000	0.000	Merged-chr12-115145586-48
NR7768--MA0684.1.RUNX3	chr5	140567499	140567508	-	0.000	0.000	Merged-chr5-140567603-46
NR1857--MA0684.1.RUNX3	chr11	109790430	109790439	-	0.000	0.000	Merged-chr11-109790418-22
NR1109--MA0002.2.RUNX1	chr10	68512654	68512664	+	0.000	0.000	Merged-chr10-68512591-23
NR7704--MA0511.2.RUNX2	chr5	124446589	124446597	-	0.000	0.000	Merged-chr5-124446724-12
NR1238--MA0684.1.RUNX3	chr10	89415728	89415737	+	0.000	0.000	Merged-chr10-89415714-14
NR10043--MA0002.2.RUNX1	chr9	123941456	123941466	-	0.000	0.000	Merged-chr9-123941453-43
NR3202--MA0511.2.RUNX2	chr14	78692184	78692192	-	0.000	0.000	Merged-chr14-78692214-30
NR5178--MA0002.2.RUNX1	chr2	9564614	9564624	+	0.000	0.000	Merged-chr2-9564694-16
NR262--MA0002.2.RUNX1	chr1	80015642	80015652	-	0.000	0.000	Merged-chr1-80015644-32
NR7685--MA0511.2.RUNX2	chr5	122430271	122430279	+	0.000	0.000	Merged-chr5-122430278-22
NR9808--MA0002.2.RUNX1	chr9	85671750	85671760	+	0.000	0.000	Merged-chr9-85671881-60
NR9937--MA0684.1.RUNX3	chr9	110896836	110896845	-	0.000	0.000	Merged-chr9-110896831-29
NR6097--MA0511.2.RUNX2	chr3	79210462	79210470	+	0.000	0.000	Merged-chr3-79210417-27
NR8812--MA0684.1.RUNX3	chr7	99429114	99429123	-	0.000	0.000	Merged-chr7-99429027-29
NR6590--MA0684.1.RUNX3	chr3	157803537	157803546	-	0.000	0.000	Merged-chr3-157803404-34
NR3878--MA0002.2.RUNX1	chr16	44811726	44811736	-	0.000	0.000	Merged-chr16-44811713-22
NR8664--MA0002.2.RUNX1	chr7	63925515	63925525	-	0.000	0.000	Merged-chr7-63925651-49
NR7572--MA0684.1.RUNX3	chr5	105840058	105840067	-	0.000	0.000	Merged-chr5-105840151-44
NR7638--MA0684.1.RUNX3	chr5	115516845	115516854	+	0.000	0.000	Merged-chr5-115516638-85
NR3136--MA0684.1.RUNX3	chr14	67911799	67911808	+	0.000	0.000	Merged-chr14-67911920-26
NR7175--MA0511.2.RUNX2	chr4	150808645	150808653	-	0.000	0.000	Merged-chr4-150808794-106
NR2610--MA0002.2.RUNX1	chr13	53000590	53000600	-	0.000	0.000	Merged-chr13-53000704-16
NR9854--MA0511.2.RUNX2	chr9	94441585	94441593	+	0.000	0.000	Merged-chr9-94441414-62
NR3388--MA0684.1.RUNX3	chr15	27579082	27579091	-	0.000	0.000	Merged-chr15-27579137-17
NR4271--MA0002.2.RUNX1	chr17	44463895	44463905	+	0.000	0.000	Merged-chr17-44463845-28
NR9279--MA0002.2.RUNX1	chr8	71286320	71286330	+	0.000	0.000	Merged-chr8-71286337-41
NR5253--MA0002.2.RUNX1	chr2	27693898	27693908	-	0.000	0.000	Merged-chr2-27693880-30
NR3097--MA0002.2.RUNX1	chr14	59397271	59397281	+	0.000	0.000	Merged-chr14-59397210-50
NR1688--MA0002.2.RUNX1	chr11	74908052	74908062	+	0.000	0.000	Merged-chr11-74908000-16
NR926--MA0002.2.RUNX1	chr10	20119533	20119543	-	0.000	0.000	Merged-chr10-20119637-31
NR10022--MA0002.2.RUNX1	chr9	120023216	120023226	-	0.000	0.000	Merged-chr9-120023283-16
NR9073--MA0511.2.RUNX2	chr7	141637456	141637464	-	0.000	0.000	Merged-chr7-141637525-19
NR1469--MA0684.1.RUNX3	chr10	130439227	130439236	-	0.000	0.000	Merged-chr10-130439179-24
NR8372--MA0002.2.RUNX1	chr6	130387068	130387078	-	0.000	0.000	Merged-chr6-130387166-57
NR4955--MA0684.1.RUNX3	chr19	20390560	20390569	-	0.000	0.000	Merged-chr19-20390603-26
NR9083--MA0002.2.RUNX1	chr7	142393439	142393449	+	0.000	0.000	Merged-chr7-142393362-24
NR8895--MA0002.2.RUNX1	chr7	114671162	114671172	-	0.000	0.000	Merged-chr7-114671342-44
NR4935--MA0002.2.RUNX1	chr19	14620504	14620514	+	0.000	0.000	Merged-chr19-14620634-30
NR1514--MA0511.2.RUNX2	chr11	14142623	14142631	-	0.000	0.000	Merged-chr11-14142731-31
NR7184--MA0684.1.RUNX3	chr4	151977977	151977986	-	0.000	0.000	Merged-chr4-151978013-24
NR7041--MA0684.1.RUNX3	chr4	132732479	132732488	+	0.000	0.000	Merged-chr4-132732449-43
NR511--MA0684.1.RUNX3	chr1	138931077	138931086	+	0.000	0.000	Merged-chr1-138931080-29
NR9515--MA0684.1.RUNX3	chr9	5298619	5298628	-	0.000	0.000	Merged-chr9-5298744-86
NR7088--MA0684.1.RUNX3	chr4	137854093	137854102	+	0.000	0.000	Merged-chr4-137854061-36
NR9367--MA0002.2.RUNX1	chr8	106821447	106821457	+	0.000	0.000	Merged-chr8-106821433-20
NR1382--MA0684.1.RUNX3	chr10	118407016	118407025	+	0.000	0.000	Merged-chr10-118407091-36
NR9989--MA0511.2.RUNX2	chr9	116214507	116214515	-	0.000	0.000	Merged-chr9-116214567-36
