#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR11466--MA0591.1.Bach1::Mafk	chr5	149235159	149235173	+	0.000	0.000	Merged-chr5-149235115-37
NR10231--MA0591.1.Bach1::Mafk	chr4	108371533	108371547	+	0.000	0.000	Merged-chr4-108371608-19
NR14550--MA0591.1.Bach1::Mafk	chr9	96714260	96714274	+	0.000	0.000	Merged-chr9-96714307-38
NR5910--MA0089.1.MAFG::NFE2L1	chr16	75920923	75920928	+	0.000	0.000	Merged-chr16-75921068-56
NR3081--MA0496.2.MAFK	chr12	69458506	69458524	-	0.000	0.000	Merged-chr12-69458442-59
NR6123--MA0495.2.MAFF	chr17	5802392	5802412	+	0.000	0.000	Merged-chr17-5802429-65
NR2810--MA0591.1.Bach1::Mafk	chr11	117832606	117832620	+	0.000	0.000	Merged-chr11-117832456-80
NR1509--MA0591.1.Bach1::Mafk	chr10	44434868	44434882	-	0.000	0.000	Merged-chr10-44434814-22
NR8761--MA0117.2.Mafb	chr2	180305821	180305832	-	0.000	0.000	Merged-chr2-180305728-36
NR1103--MA0496.2.MAFK	chr1	181866629	181866647	-	0.000	0.000	Merged-chr1-181866572-42
NR14269--MA0495.2.MAFF	chr9	45247852	45247872	+	0.000	0.000	Merged-chr9-45247703-45
NR1362--MA0591.1.Bach1::Mafk	chr10	18008292	18008306	-	0.000	0.000	Merged-chr10-18008216-34
NR14976--MA0089.1.MAFG::NFE2L1	chrX	106704807	106704812	+	0.000	0.000	Merged-chrX-106704745-40
NR13556--MA0089.1.MAFG::NFE2L1	chr8	61517654	61517659	-	0.000	0.000	Merged-chr8-61517791-23
NR140--MA0495.2.MAFF	chr1	37308181	37308201	+	0.000	0.000	Merged-chr1-37308112-49
NR4853--MA0591.1.Bach1::Mafk	chr14	99266004	99266018	-	0.000	0.000	Merged-chr14-99266048-28
NR1239--MA0089.1.MAFG::NFE2L1	chr1	191780529	191780534	+	0.000	0.000	Merged-chr1-191780513-20
NR1233--MA0496.2.MAFK	chr1	191420991	191421009	+	0.000	0.000	Merged-chr1-191421132-37
NR6125--MA0117.2.Mafb	chr17	5802392	5802403	+	0.000	0.000	Merged-chr17-5802429-65
NR8142--MA0591.1.Bach1::Mafk	chr2	117447054	117447068	+	0.000	0.000	Merged-chr2-117447085-57
NR2168--MA0591.1.Bach1::Mafk	chr11	5762415	5762429	-	0.000	0.000	Merged-chr11-5762236-58
