#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR1755--MA0690.1.TBX21	chr7	115218901	115218910	+	0.000	0.000	Merged-chr7-115218920-27
NR2049--MA0690.1.TBX21	chrX	152327592	152327601	+	0.000	0.000	Merged-chrX-152327497-47
NR1649--MA0690.1.TBX21	chr6	140314167	140314176	-	0.000	0.000	Merged-chr6-140314075-23
NR1466--MA0690.1.TBX21	chr5	114806262	114806271	-	0.000	0.000	Merged-chr5-114806233-37
NR956--MA0690.1.TBX21	chr19	58051189	58051198	+	0.000	0.000	Merged-chr19-58051277-2
NR1940--MA0690.1.TBX21	chr9	44022285	44022294	-	0.000	0.000	Merged-chr9-44022447-49
NR444--MA0690.1.TBX21	chr13	35841997	35842006	+	0.000	0.000	Merged-chr13-35841945-14
NR837--MA0690.1.TBX21	chr17	88701105	88701114	+	0.000	0.000	Merged-chr17-88701095-28
NR1850--MA0690.1.TBX21	chr8	48425274	48425283	+	0.000	0.000	Merged-chr8-48425330-34
NR189--MA0690.1.TBX21	chr10	30716209	30716218	+	0.000	0.000	Merged-chr10-30716378-49
NR1709--MA0690.1.TBX21	chr7	75755518	75755527	+	0.000	0.000	Merged-chr7-75755534-4
NR1138--MA0690.1.TBX21	chr3	21598181	21598190	-	0.000	0.000	Merged-chr3-21598278-24
NR562--MA0690.1.TBX21	chr14	30014621	30014630	+	0.000	0.000	Merged-chr14-30014704-42
NR716--MA0690.1.TBX21	chr16	38549714	38549723	-	0.000	0.000	Merged-chr16-38549784-1
NR3--MA0690.1.TBX21	chr1	9859392	9859401	+	0.000	0.000	Merged-chr1-9859361-47
NR1396--MA0690.1.TBX21	chr5	24776979	24776988	-	0.000	0.000	Merged-chr5-24777004-40
NR464--MA0690.1.TBX21	chr13	55513583	55513592	+	0.000	0.000	Merged-chr13-55513377-73
NR953--MA0690.1.TBX21	chr19	55860272	55860281	+	0.000	0.000	Merged-chr19-55860279-23
NR313--MA0690.1.TBX21	chr11	72342357	72342366	-	0.000	0.000	Merged-chr11-72342522-29
NR836--MA0690.1.TBX21	chr17	88701067	88701076	+	0.000	0.000	Merged-chr17-88701095-28
NR578--MA0690.1.TBX21	chr14	62627492	62627501	+	0.000	0.000	Merged-chr14-62627525-13
NR1950--MA0690.1.TBX21	chr9	59565757	59565766	+	0.000	0.000	Merged-chr9-59565831-20
NR629--MA0690.1.TBX21	chr14	122187098	122187107	-	0.000	0.000	Merged-chr14-122187060-26
NR1161--MA0690.1.TBX21	chr3	65650797	65650806	+	0.000	0.000	Merged-chr3-65650597-39
NR289--MA0690.1.TBX21	chr11	32562199	32562208	+	0.000	0.000	Merged-chr11-32562092-2
NR1939--MA0690.1.TBX21	chr9	42428261	42428270	+	0.000	0.000	Merged-chr9-42428330-46
NR1878--MA0690.1.TBX21	chr8	84201493	84201502	-	0.000	0.000	Merged-chr8-84201386-2
NR803--MA0690.1.TBX21	chr17	51396128	51396137	-	0.000	0.000	Merged-chr17-51396225-19
NR1849--MA0690.1.TBX21	chr8	46859689	46859698	+	0.000	0.000	Merged-chr8-46859659-64
NR1273--MA0690.1.TBX21	chr4	21751858	21751867	+	0.000	0.000	Merged-chr4-21752041-18
NR1305--MA0690.1.TBX21	chr4	70304062	70304071	+	0.000	0.000	Merged-chr4-70303963-30
NR721--MA0690.1.TBX21	chr16	44337730	44337739	-	0.000	0.000	Merged-chr16-44337753-20
NR312--MA0690.1.TBX21	chr11	72342371	72342380	+	0.000	0.000	Merged-chr11-72342522-29
NR1561--MA0690.1.TBX21	chr6	67129047	67129056	-	0.000	0.000	Merged-chr6-67129210-17
NR1941--MA0690.1.TBX21	chr9	44691793	44691802	+	0.000	0.000	Merged-chr9-44691735-2
NR1423--MA0690.1.TBX21	chr5	65929339	65929348	-	0.000	0.000	Merged-chr5-65929353-41
