#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR11107--MA0089.1.MAFG::NFE2L1	chr7	80779424	80779429	+	0.000	0.000	Merged-chr7-80779458-48
NR5822--MA0501.1.MAF::NFE2	chr18	39031391	39031405	-	0.000	0.000	Merged-chr18-39031215-33
NR5169--MA0089.1.MAFG::NFE2L1	chr16	87709519	87709524	+	0.000	0.000	Merged-chr16-87709397-19
NR10608--MA0501.1.MAF::NFE2	chr6	140516456	140516470	+	0.000	0.000	Merged-chr6-140516566-6
NR2268--MA0659.1.MAFG	chr11	87074101	87074121	-	0.000	0.000	Merged-chr11-87073947-35
NR5656--MA0089.1.MAFG::NFE2L1	chr17	88060197	88060202	-	0.000	0.000	Merged-chr17-88060218-12
NR1346--MA0089.1.MAFG::NFE2L1	chr10	59636948	59636953	+	0.000	0.000	Merged-chr10-59636988-40
NR3600--MA0117.2.Mafb	chr13	93340894	93340905	+	0.000	0.000	Merged-chr13-93341062-38
NR3907--MA0496.2.MAFK	chr14	16244007	16244025	+	0.000	0.000	Merged-chr14-16243907-1
NR4496--MA0495.2.MAFF	chr15	55838807	55838827	+	0.000	0.000	Merged-chr15-55838772-33
NR3721--MA0501.1.MAF::NFE2	chr13	109238842	109238856	+	0.000	0.000	Merged-chr13-109238823-1
NR1200--MA0591.1.Bach1::Mafk	chr10	20855283	20855297	-	0.000	0.000	Merged-chr10-20855169-17
NR4498--MA0117.2.Mafb	chr15	55838807	55838818	+	0.000	0.000	Merged-chr15-55838772-33
NR7446--MA0501.1.MAF::NFE2	chr2	168591526	168591540	-	0.000	0.000	Merged-chr2-168591388-1
NR6783--MA0496.2.MAFK	chr2	65134009	65134027	-	0.000	0.000	Merged-chr2-65133825-19
NR10587--MA0591.1.Bach1::Mafk	chr6	137535762	137535776	+	0.000	0.000	Merged-chr6-137535864-11
NR8862--MA0117.2.Mafb	chr4	132883795	132883806	+	0.000	0.000	Merged-chr4-132883673-3
NR11360--MA0495.2.MAFF	chr7	117449844	117449864	-	0.000	0.000	Merged-chr7-117449738-12
NR7412--MA0496.2.MAFK	chr2	165453544	165453562	+	0.000	0.000	Merged-chr2-165453384-56
NR4645--MA0089.1.MAFG::NFE2L1	chr15	80216733	80216738	-	0.000	0.000	Merged-chr15-80216610-25
NR11362--MA0659.1.MAFG	chr7	117449844	117449864	-	0.000	0.000	Merged-chr7-117449738-12
NR2031--MA0591.1.Bach1::Mafk	chr11	54017771	54017785	-	0.000	0.000	Merged-chr11-54017821-14
NR10580--MA0089.1.MAFG::NFE2L1	chr6	136902660	136902665	-	0.000	0.000	Merged-chr6-136902691-26
NR9585--MA0591.1.Bach1::Mafk	chr5	105675693	105675707	-	0.000	0.000	Merged-chr5-105675662-27
NR8586--MA0089.1.MAFG::NFE2L1	chr4	83234360	83234365	-	0.000	0.000	Merged-chr4-83234214-31
NR4310--MA0591.1.Bach1::Mafk	chr14	121313555	121313569	-	0.000	0.000	Merged-chr14-121313397-5
NR3625--MA0089.1.MAFG::NFE2L1	chr13	99148661	99148666	-	0.000	0.000	Merged-chr13-99148566-18
NR7844--MA0089.1.MAFG::NFE2L1	chr3	96198476	96198481	+	0.000	0.000	Merged-chr3-96198410-32
