#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1284--MA0731.1.BCL6B	chr3	123173829	123173845	+	0.000	0.000	Merged-chr3-123173705-1
NR740--MA0731.1.BCL6B	chr16	10814859	10814875	+	0.000	0.000	Merged-chr16-10814720-1
NR1011--MA0731.1.BCL6B	chr19	56295265	56295281	-	0.000	0.000	Merged-chr19-56295235-24
NR1778--MA0731.1.BCL6B	chr7	39544305	39544321	-	0.000	0.000	Merged-chr7-39544508-62
NR1505--MA0731.1.BCL6B	chr5	37147788	37147804	+	0.000	0.000	Merged-chr5-37147664-17
NR1010--MA0463.1.Bcl6	chr19	56295268	56295281	+	0.000	0.000	Merged-chr19-56295235-24
NR1757--MA0731.1.BCL6B	chr7	16012876	16012892	+	0.000	0.000	Merged-chr7-16013066-32
NR1030--MA0731.1.BCL6B	chr2	18911779	18911795	+	0.000	0.000	Merged-chr2-18911586-19
NR925--MA0463.1.Bcl6	chr18	60632960	60632973	-	0.000	0.000	Merged-chr18-60633052-25
NR276--MA0463.1.Bcl6	chr10	120646235	120646248	+	0.000	0.000	Merged-chr10-120646351-10
NR926--MA0731.1.BCL6B	chr18	60632960	60632976	+	0.000	0.000	Merged-chr18-60633052-25
NR682--MA0731.1.BCL6B	chr15	9435904	9435920	-	0.000	0.000	Merged-chr15-9435954-24
NR2121--MA0463.1.Bcl6	chrX	151521073	151521086	-	0.000	0.000	Merged-chrX-151521261-1
NR381--MA0463.1.Bcl6	chr11	114873360	114873373	-	0.000	0.000	Merged-chr11-114873395-35
NR687--MA0731.1.BCL6B	chr15	18951744	18951760	+	0.000	0.000	Merged-chr15-18951851-25
NR1854--MA0731.1.BCL6B	chr7	123327150	123327166	+	0.000	0.000	Merged-chr7-123327122-14
NR1440--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR89--MA0463.1.Bcl6	chr1	144719141	144719154	+	0.000	0.000	Merged-chr1-144719233-1
NR459--MA0731.1.BCL6B	chr12	111406845	111406861	-	0.000	0.000	Merged-chr12-111406868-16
NR1388--MA0463.1.Bcl6	chr4	59682660	59682673	+	0.000	0.000	Merged-chr4-59682801-45
NR1504--MA0731.1.BCL6B	chr5	35813679	35813695	+	0.000	0.000	Merged-chr5-35813752-8
NR1439--MA0463.1.Bcl6	chr4	128884559	128884572	-	0.000	0.000	Merged-chr4-128884596-1
NR915--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR511--MA0731.1.BCL6B	chr13	34096172	34096188	+	0.000	0.000	Merged-chr13-34096039-50
NR303--MA0463.1.Bcl6	chr11	32039801	32039814	-	0.000	0.000	Merged-chr11-32039842-30
NR1777--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR856--MA0731.1.BCL6B	chr17	52461996	52462012	+	0.000	0.000	Merged-chr17-52461953-32
NR1275--MA0463.1.Bcl6	chr3	107931788	107931801	-	0.000	0.000	Merged-chr3-107931821-21
NR448--MA0463.1.Bcl6	chr12	107011658	107011671	+	0.000	0.000	Merged-chr12-107011663-34
NR1869--MA0731.1.BCL6B	chr7	131112869	131112885	+	0.000	0.000	Merged-chr7-131112700-22
NR1421--MA0731.1.BCL6B	chr4	114468230	114468246	-	0.000	0.000	Merged-chr4-114468336-4
NR613--MA0463.1.Bcl6	chr14	48236232	48236245	+	0.000	0.000	Merged-chr14-48236278-24
NR927--MA0731.1.BCL6B	chr18	60632960	60632976	-	0.000	0.000	Merged-chr18-60633052-25
NR855--MA0463.1.Bcl6	chr17	52461996	52462009	-	0.000	0.000	Merged-chr17-52461953-32
NR1868--MA0463.1.Bcl6	chr7	131112869	131112882	-	0.000	0.000	Merged-chr7-131112700-22
NR1553--MA0463.1.Bcl6	chr5	97090395	97090408	+	0.000	0.000	Merged-chr5-97090318-20
NR1998--MA0731.1.BCL6B	chr9	42897667	42897683	-	0.000	0.000	Merged-chr9-42897501-20
NR590--MA0463.1.Bcl6	chr14	7791703	7791716	+	0.000	0.000	Merged-chr14-7791631-72
