#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1332--MA0768.1.LEF1	chr6	108482613	108482627	+	0.000	0.000	Merged-chr6-108482601-32
NR1350--MA0768.1.LEF1	chr6	129239825	129239839	+	0.000	0.000	Merged-chr6-129239949-37
NR561--MA0768.1.LEF1	chr15	6569125	6569139	-	0.000	0.000	Merged-chr15-6569076-63
NR1462--MA0768.1.LEF1	chr7	123354475	123354489	+	0.000	0.000	Merged-chr7-123354508-1
NR1010--MA0768.1.LEF1	chr3	101066412	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR566--MA0768.1.LEF1	chr15	25892137	25892151	-	0.000	0.000	Merged-chr15-25891873-55
NR472--MA0768.1.LEF1	chr13	101669078	101669092	-	0.000	0.000	Merged-chr13-101669067-25
NR678--MA0768.1.LEF1	chr16	95869617	95869631	+	0.000	0.000	Merged-chr16-95869616-44
NR1579--MA0768.1.LEF1	chr9	46015111	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR1382--MA0768.1.LEF1	chr6	148136272	148136286	-	0.000	0.000	Merged-chr6-148136166-24
NR1257--MA0768.1.LEF1	chr5	134333000	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR1154--MA0768.1.LEF1	chr4	141184061	141184075	-	0.000	0.000	Merged-chr4-141184066-30
NR271--MA0768.1.LEF1	chr11	74100908	74100922	+	0.000	0.000	Merged-chr11-74100988-13
NR1190--MA0768.1.LEF1	chr5	22587656	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR164--MA0768.1.LEF1	chr10	58354863	58354877	-	0.000	0.000	Merged-chr10-58354769-20
NR943--MA0768.1.LEF1	chr2	150578758	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR1074--MA0768.1.LEF1	chr3	152212096	152212110	-	0.000	0.000	Merged-chr3-152212044-45
NR1195--MA0768.1.LEF1	chr5	34466413	34466427	+	0.000	0.000	Merged-chr5-34466431-61
NR603--MA0768.1.LEF1	chr15	82914517	82914531	+	0.000	0.000	Merged-chr15-82914694-36
NR715--MA0768.1.LEF1	chr17	52592021	52592035	-	0.000	0.000	Merged-chr17-52591988-50
NR31--MA0768.1.LEF1	chr1	80441128	80441142	+	0.000	0.000	Merged-chr1-80441020-53
NR733--MA0768.1.LEF1	chr17	88213658	88213672	+	0.000	0.000	Merged-chr17-88213709-19
NR863--MA0768.1.LEF1	chr2	48322471	48322485	-	0.000	0.000	Merged-chr2-48322438-54
NR747--MA0768.1.LEF1	chr18	32945743	32945757	+	0.000	0.000	Merged-chr18-32945625-57
NR210--MA0768.1.LEF1	chr10	117948088	117948102	-	0.000	0.000	Merged-chr10-117948025-58
NR331--MA0768.1.LEF1	chr12	40536138	40536152	+	0.000	0.000	Merged-chr12-40536190-67
NR68--MA0768.1.LEF1	chr1	128794047	128794061	+	0.000	0.000	Merged-chr1-128794102-26
NR596--MA0768.1.LEF1	chr15	73156613	73156627	+	0.000	0.000	Merged-chr15-73156567-42
NR247--MA0768.1.LEF1	chr11	49722941	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR923--MA0768.1.LEF1	chr2	132669231	132669245	+	0.000	0.000	Merged-chr2-132669439-31
NR820--MA0768.1.LEF1	chr19	47910285	47910299	-	0.000	0.000	Merged-chr19-47910337-85
NR919--MA0768.1.LEF1	chr2	128544644	128544658	+	0.000	0.000	Merged-chr2-128544786-45
NR825--MA0768.1.LEF1	chr19	56821397	56821411	-	0.000	0.000	Merged-chr19-56821372-20
NR843--MA0768.1.LEF1	chr2	17861893	17861907	+	0.000	0.000	Merged-chr2-17861880-15
NR297--MA0768.1.LEF1	chr11	106961829	106961843	+	0.000	0.000	Merged-chr11-106961822-47
NR973--MA0768.1.LEF1	chr3	38280376	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR43--MA0768.1.LEF1	chr1	91405857	91405871	+	0.000	0.000	Merged-chr1-91405791-30
NR745--MA0768.1.LEF1	chr18	19524572	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR763--MA0768.1.LEF1	chr18	61614574	61614588	+	0.000	0.000	Merged-chr18-61614590-32
NR875--MA0768.1.LEF1	chr2	68882156	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR1409--MA0768.1.LEF1	chr7	67353793	67353807	+	0.000	0.000	Merged-chr7-67353683-35
NR1100--MA0768.1.LEF1	chr4	53227934	53227948	+	0.000	0.000	Merged-chr4-53228038-46
NR647--MA0768.1.LEF1	chr16	51878503	51878517	+	0.000	0.000	Merged-chr16-51878445-21
NR1333--MA0768.1.LEF1	chr6	108509113	108509127	+	0.000	0.000	Merged-chr6-108509162-15
NR562--MA0768.1.LEF1	chr15	9533555	9533569	+	0.000	0.000	Merged-chr15-9533546-44
NR683--MA0768.1.LEF1	chr17	5747999	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR1481--MA0768.1.LEF1	chr7	140947310	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR1235--MA0768.1.LEF1	chr5	98018288	98018302	+	0.000	0.000	Merged-chr5-98018284-53
NR1253--MA0768.1.LEF1	chr5	124022512	124022526	-	0.000	0.000	Merged-chr5-124022476-27
NR106--MA0768.1.LEF1	chr1	163374838	163374852	+	0.000	0.000	Merged-chr1-163374764-34
NR585--MA0768.1.LEF1	chr15	59010889	59010903	-	0.000	0.000	Merged-chr15-59010782-34
NR124--MA0768.1.LEF1	chr1	183987878	183987892	+	0.000	0.000	Merged-chr1-183987914-47
NR1598--MA0768.1.LEF1	chr9	77806904	77806918	+	0.000	0.000	Merged-chr9-77806830-39
NR1258--MA0768.1.LEF1	chr5	140586859	140586873	-	0.000	0.000	Merged-chr5-140586794-18
NR1043--MA0768.1.LEF1	chr3	133076678	133076692	+	0.000	0.000	Merged-chr3-133076578-21
NR375--MA0768.1.LEF1	chr12	102581813	102581827	+	0.000	0.000	Merged-chr12-102581960-56
NR1388--MA0768.1.LEF1	chr7	15949534	15949548	+	0.000	0.000	Merged-chr7-15949519-32
NR1285--MA0768.1.LEF1	chr6	39348107	39348121	+	0.000	0.000	Merged-chr6-39348126-65
NR944--MA0768.1.LEF1	chr2	151944250	151944264	+	0.000	0.000	Merged-chr2-151944383-43
NR1617--MA0768.1.LEF1	chr9	92218022	92218036	+	0.000	0.000	Merged-chr9-92217904-40
NR1420--MA0768.1.LEF1	chr7	83852807	83852821	+	0.000	0.000	Merged-chr7-83852721-40
NR640--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR1532--MA0768.1.LEF1	chr8	115136848	115136862	-	0.000	0.000	Merged-chr8-115136921-34
NR1653--MA0768.1.LEF1	chr9	123734306	123734320	-	0.000	0.000	Merged-chr9-123734197-54
NR426--MA0768.1.LEF1	chr13	30777866	30777880	-	0.000	0.000	Merged-chr13-30777847-15
NR211--MA0768.1.LEF1	chr10	118064942	118064956	+	0.000	0.000	Merged-chr10-118064945-40
NR1327--MA0768.1.LEF1	chr6	101359848	101359862	-	0.000	0.000	Merged-chr6-101359900-41
NR538--MA0768.1.LEF1	chr14	79236620	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR556--MA0768.1.LEF1	chr14	122952204	122952218	-	0.000	0.000	Merged-chr14-122951933-82
NR592--MA0768.1.LEF1	chr15	66998422	66998436	+	0.000	0.000	Merged-chr15-66998486-48
NR1493--MA0768.1.LEF1	chr8	33548680	33548694	+	0.000	0.000	Merged-chr8-33548647-24
NR494--MA0768.1.LEF1	chr13	113071294	113071308	+	0.000	0.000	Merged-chr13-113071273-26
NR915--MA0768.1.LEF1	chr2	117418885	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR1055--MA0768.1.LEF1	chr3	138334341	138334355	-	0.000	0.000	Merged-chr3-138334424-50
NR705--MA0768.1.LEF1	chr17	36824361	36824375	+	0.000	0.000	Merged-chr17-36824195-38
NR1082--MA0768.1.LEF1	chr4	7455298	7455312	+	0.000	0.000	Merged-chr4-7455242-36
NR21--MA0768.1.LEF1	chr1	67023522	67023536	+	0.000	0.000	Merged-chr1-67023383-28
NR1414--MA0768.1.LEF1	chr7	75642373	75642387	+	0.000	0.000	Merged-chr7-75642451-22
NR746--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR876--MA0768.1.LEF1	chr2	72282907	72282921	+	0.000	0.000	Merged-chr2-72282934-17
NR415--MA0768.1.LEF1	chr13	8458069	8458083	+	0.000	0.000	Merged-chr13-8458004-23
NR1316--MA0768.1.LEF1	chr6	90391830	90391844	-	0.000	0.000	Merged-chr6-90391920-9
NR1580--MA0768.1.LEF1	chr9	52259750	52259764	+	0.000	0.000	Merged-chr9-52259787-26
NR1334--MA0768.1.LEF1	chr6	108512289	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR545--MA0768.1.LEF1	chr14	103017268	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR666--MA0768.1.LEF1	chr16	87754942	87754956	-	0.000	0.000	Merged-chr16-87755077-33
NR1106--MA0768.1.LEF1	chr4	63627195	63627209	-	0.000	0.000	Merged-chr4-63627315-28
NR111--MA0768.1.LEF1	chr1	165986103	165986117	-	0.000	0.000	Merged-chr1-165985990-54
NR317--MA0768.1.LEF1	chr11	121777141	121777155	-	0.000	0.000	Merged-chr11-121777303-26
NR1124--MA0768.1.LEF1	chr4	102982919	102982933	+	0.000	0.000	Merged-chr4-102982899-26
