#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR1699--MA0690.1.TBX21	chr7	58759486	58759495	+	0.000	0.000	Merged-chr7-58759463-23
NR863--MA0690.1.TBX21	chr18	39657190	39657199	+	0.000	0.000	Merged-chr18-39657147-8
NR311--MA0690.1.TBX21	chr11	72320863	72320872	-	0.000	0.000	Merged-chr11-72321004-18
NR1989--MA0690.1.TBX21	chr9	107334440	107334449	-	0.000	0.000	Merged-chr9-107334469-86
NR685--MA0690.1.TBX21	chr15	84168898	84168907	-	0.000	0.000	Merged-chr15-84168860-11
NR1607--MA0690.1.TBX21	chr6	108310211	108310220	-	0.000	0.000	Merged-chr6-108310107-36
NR760--MA0690.1.TBX21	chr16	93687077	93687086	-	0.000	0.000	Merged-chr16-93687116-36
NR935--MA0690.1.TBX21	chr19	24984245	24984254	+	0.000	0.000	Merged-chr19-24984187-40
NR1567--MA0690.1.TBX21	chr6	72660174	72660183	+	0.000	0.000	Merged-chr6-72660096-30
NR409--MA0690.1.TBX21	chr12	106008852	106008861	+	0.000	0.000	Merged-chr12-106008779-30
NR574--MA0690.1.TBX21	chr14	54061509	54061518	-	0.000	0.000	Merged-chr14-54061633-25
NR1704--MA0690.1.TBX21	chr7	68288137	68288146	-	0.000	0.000	Merged-chr7-68288130-13
NR1112--MA0690.1.TBX21	chr2	170307092	170307101	+	0.000	0.000	Merged-chr2-170306902-1
NR963--MA0690.1.TBX21	chr2	6309730	6309739	+	0.000	0.000	Merged-chr2-6309619-42
NR1866--MA0690.1.TBX21	chr8	69822478	69822487	-	0.000	0.000	Merged-chr8-69822616-46
NR1627--MA0690.1.TBX21	chr6	122496559	122496568	+	0.000	0.000	Merged-chr6-122496734-16
NR990--MA0690.1.TBX21	chr2	31303429	31303438	-	0.000	0.000	Merged-chr2-31303456-10
NR987--MA0690.1.TBX21	chr2	30470172	30470181	-	0.000	0.000	Merged-chr2-30470096-26
NR2023--MA0690.1.TBX21	chr9	123836112	123836121	-	0.000	0.000	Merged-chr9-123836013-41
NR130--MA0690.1.TBX21	chr1	165722650	165722659	+	0.000	0.000	Merged-chr1-165722797-48
NR1801--MA0690.1.TBX21	chr7	142114093	142114102	-	0.000	0.000	Merged-chr7-142113991-20
NR265--MA0690.1.TBX21	chr10	120697615	120697624	-	0.000	0.000	Merged-chr10-120697518-32
NR419--MA0690.1.TBX21	chr12	117566383	117566392	+	0.000	0.000	Merged-chr12-117566493-34
NR1153--MA0690.1.TBX21	chr3	52784723	52784732	+	0.000	0.000	Merged-chr3-52784763-15
NR1995--MA0690.1.TBX21	chr9	111119168	111119177	+	0.000	0.000	Merged-chr9-111119231-12
NR1626--MA0690.1.TBX21	chr6	122270272	122270281	-	0.000	0.000	Merged-chr6-122270304-33
NR1368--MA0690.1.TBX21	chr4	145319385	145319394	+	0.000	0.000	Merged-chr4-145319470-38
NR920--MA0690.1.TBX21	chr19	10198893	10198902	+	0.000	0.000	Merged-chr19-10198987-5
NR1599--MA0690.1.TBX21	chr6	100410328	100410337	+	0.000	0.000	Merged-chr6-100410333-26
NR442--MA0690.1.TBX21	chr13	33995352	33995361	+	0.000	0.000	Merged-chr13-33995395-11
NR694--MA0690.1.TBX21	chr15	103154462	103154471	-	0.000	0.000	Merged-chr15-103154383-18
NR142--MA0690.1.TBX21	chr1	177457133	177457142	-	0.000	0.000	Merged-chr1-177456987-38
NR264--MA0690.1.TBX21	chr10	120697393	120697402	-	0.000	0.000	Merged-chr10-120697518-32
NR243--MA0690.1.TBX21	chr10	93819037	93819046	+	0.000	0.000	Merged-chr10-93818937-32
