#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR534--MA0768.1.LEF1	chr13	42049142	42049156	+	0.000	0.000	Merged-chr13-42049130-34
NR646--MA0768.1.LEF1	chr14	55913598	55913612	-	0.000	0.000	Merged-chr14-55913661-13
NR664--MA0768.1.LEF1	chr14	68078399	68078413	-	0.000	0.000	Merged-chr14-68078565-20
NR203--MA0768.1.LEF1	chr10	19504574	19504588	+	0.000	0.000	Merged-chr10-19504569-39
NR1677--MA0768.1.LEF1	chr6	50146432	50146446	-	0.000	0.000	Merged-chr6-50146420-23
NR1104--MA0768.1.LEF1	chr2	34198752	34198766	+	0.000	0.000	Merged-chr2-34198771-20
NR351--MA0768.1.LEF1	chr11	70113938	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR1364--MA0768.1.LEF1	chr3	136531623	136531637	-	0.000	0.000	Merged-chr3-136531691-41
NR338--MA0768.1.LEF1	chr11	55131299	55131313	-	0.000	0.000	Merged-chr11-55131266-10
NR911--MA0768.1.LEF1	chr17	47564719	47564733	-	0.000	0.000	Merged-chr17-47564757-20
NR1136--MA0768.1.LEF1	chr2	72282907	72282921	+	0.000	0.000	Merged-chr2-72282934-17
NR128--MA0768.1.LEF1	chr1	156710948	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR1038--MA0768.1.LEF1	chr19	32455179	32455193	+	0.000	0.000	Merged-chr19-32455050-22
NR1826--MA0768.1.LEF1	chr7	74509444	74509458	-	0.000	0.000	Merged-chr7-74509389-8
NR831--MA0768.1.LEF1	chr16	45764044	45764058	+	0.000	0.000	Merged-chr16-45763997-18
NR1732--MA0768.1.LEF1	chr6	114920815	114920829	-	0.000	0.000	Merged-chr6-114920768-38
NR943--MA0768.1.LEF1	chr17	86200451	86200465	-	0.000	0.000	Merged-chr17-86200490-5
NR1844--MA0768.1.LEF1	chr7	84166258	84166272	+	0.000	0.000	Merged-chr7-84166236-11
NR1289--MA0768.1.LEF1	chr3	86206677	86206691	+	0.000	0.000	Merged-chr3-86206725-10
NR733--MA0768.1.LEF1	chr15	38326500	38326514	-	0.000	0.000	Merged-chr15-38326552-13
NR1849--MA0768.1.LEF1	chr7	90345140	90345154	-	0.000	0.000	Merged-chr7-90345081-52
NR1670--MA0768.1.LEF1	chr6	37860573	37860587	-	0.000	0.000	Merged-chr6-37860526-13
NR523--MA0768.1.LEF1	chr13	30754212	30754226	+	0.000	0.000	Merged-chr13-30754228-8
NR765--MA0768.1.LEF1	chr15	73182578	73182592	+	0.000	0.000	Merged-chr15-73182706-35
NR1460--MA0768.1.LEF1	chr4	86719136	86719150	-	0.000	0.000	Merged-chr4-86719231-11
NR1666--MA0768.1.LEF1	chr6	30347684	30347698	+	0.000	0.000	Merged-chr6-30347587-11
NR998--MA0768.1.LEF1	chr18	73765127	73765141	-	0.000	0.000	Merged-chr18-73765273-28
NR210--MA0768.1.LEF1	chr10	30570577	30570591	+	0.000	0.000	Merged-chr10-30570499-22
NR1586--MA0768.1.LEF1	chr5	77166255	77166269	+	0.000	0.000	Merged-chr5-77166256-29
NR591--MA0768.1.LEF1	chr13	108303402	108303416	-	0.000	0.000	Merged-chr13-108303499-73
